               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066758,             0.03212,            0.025242,             0.68149,             0.41712,             0.43768,                0.26,             0.05091,            0.011172,            0.018728,            0.070052,           0.0033276,           0.0033276
                   1,            0.048978,             0.02655,            0.012833,             0.56926,              0.5267,             0.52187,             0.31528,             0.04825,            0.010813,            0.012773,            0.040045,           0.0066543,           0.0066543
                   2,            0.046714,            0.026521,             0.01118,             0.63276,             0.53775,               0.561,              0.3024,            0.048065,            0.011297,            0.012376,            0.010032,           0.0099745,           0.0099745
                   3,            0.045459,            0.027351,            0.010838,             0.68298,             0.54856,             0.59881,             0.34624,              0.0454,            0.011531,            0.011363,           0.0099703,           0.0099703,           0.0099703
                   4,            0.042887,            0.026497,            0.010007,             0.63098,             0.56333,             0.56984,             0.34608,            0.043108,            0.011347,            0.010881,           0.0099703,           0.0099703,           0.0099703
                   5,            0.041367,            0.026472,           0.0092068,             0.70861,             0.56174,             0.59444,             0.36944,            0.041881,            0.010871,           0.0099828,           0.0099604,           0.0099604,           0.0099604
                   6,            0.040036,            0.025354,           0.0082327,             0.75443,             0.55689,             0.63107,              0.4003,            0.040032,            0.010675,            0.011291,           0.0099505,           0.0099505,           0.0099505
                   7,            0.038953,            0.025193,           0.0080532,             0.77053,             0.58279,             0.64545,             0.40069,            0.040756,            0.010546,           0.0096521,           0.0099406,           0.0099406,           0.0099406
                   8,            0.038185,            0.024789,           0.0078707,             0.84201,             0.58209,             0.65146,             0.40291,            0.039163,            0.010707,           0.0095103,           0.0099307,           0.0099307,           0.0099307
                   9,            0.037702,            0.024434,           0.0070969,             0.75293,             0.63058,             0.66148,             0.40553,             0.03868,            0.010193,           0.0097946,           0.0099208,           0.0099208,           0.0099208
                  10,            0.036839,            0.024061,           0.0067671,             0.72801,             0.60654,             0.63038,              0.3883,             0.04032,            0.010311,            0.010474,           0.0099109,           0.0099109,           0.0099109
                  11,             0.03668,            0.024334,           0.0066944,             0.79826,             0.62933,             0.65482,             0.43948,            0.039281,           0.0099872,           0.0086798,            0.009901,            0.009901,            0.009901
                  12,            0.036267,            0.024011,            0.006446,             0.79403,             0.62681,             0.66881,             0.40696,            0.038585,            0.010291,           0.0086749,           0.0098911,           0.0098911,           0.0098911
                  13,            0.035907,            0.023432,           0.0061613,             0.77038,              0.6601,             0.67023,             0.44953,             0.03793,            0.010105,           0.0094885,           0.0098812,           0.0098812,           0.0098812
                  14,            0.035363,            0.023642,           0.0060405,             0.83697,             0.63933,             0.67776,             0.42178,            0.038425,            0.010366,            0.010812,           0.0098713,           0.0098713,           0.0098713
                  15,            0.035381,            0.023218,           0.0059499,             0.76613,             0.62281,             0.66463,              0.4358,            0.037967,            0.010506,            0.011028,           0.0098614,           0.0098614,           0.0098614
                  16,               0.035,            0.022739,           0.0057599,              0.7856,              0.6653,             0.68496,             0.44884,            0.036786,            0.010094,           0.0090542,           0.0098515,           0.0098515,           0.0098515
                  17,            0.034555,             0.02286,           0.0053486,             0.72845,             0.65875,             0.67963,             0.46421,            0.036908,            0.010016,           0.0095536,           0.0098416,           0.0098416,           0.0098416
                  18,            0.034478,            0.022789,           0.0054555,             0.80395,              0.6304,             0.66825,             0.46207,            0.036479,            0.010154,           0.0085203,           0.0098317,           0.0098317,           0.0098317
                  19,            0.034324,            0.022362,           0.0052092,             0.72889,             0.64531,             0.64861,              0.4408,            0.037668,            0.010381,            0.011091,           0.0098218,           0.0098218,           0.0098218
                  20,             0.03349,             0.02222,           0.0047837,             0.76537,             0.66746,             0.65787,             0.42441,            0.038138,            0.010085,            0.010858,           0.0098119,           0.0098119,           0.0098119
                  21,            0.033304,            0.022279,           0.0048654,             0.76513,             0.64842,              0.6618,             0.43493,            0.036501,            0.010275,             0.01151,            0.009802,            0.009802,            0.009802
                  22,            0.033309,            0.022059,           0.0050683,             0.78226,             0.66244,             0.69297,             0.45792,            0.036867,             0.01009,            0.010809,           0.0097921,           0.0097921,           0.0097921
                  23,            0.032841,            0.021761,           0.0046691,             0.83437,             0.63769,             0.67856,             0.45971,            0.036418,            0.010201,            0.010211,           0.0097822,           0.0097822,           0.0097822
                  24,             0.03258,            0.021944,           0.0046258,             0.80119,              0.6975,             0.70142,             0.46297,            0.037353,            0.010262,            0.010747,           0.0097723,           0.0097723,           0.0097723
                  25,            0.032427,            0.021536,           0.0045796,             0.77428,             0.66619,             0.69802,             0.46283,            0.036494,           0.0099131,            0.011023,           0.0097624,           0.0097624,           0.0097624
                  26,             0.03264,            0.021643,           0.0045896,             0.79641,             0.67741,             0.68995,             0.46661,            0.037244,              0.0101,            0.011135,           0.0097525,           0.0097525,           0.0097525
                  27,            0.032434,            0.021438,           0.0043328,             0.74093,             0.66725,             0.66906,             0.44847,            0.036701,            0.010229,            0.011379,           0.0097426,           0.0097426,           0.0097426
                  28,            0.032303,            0.021353,           0.0044463,              0.7747,              0.6524,             0.67394,             0.45291,            0.036416,            0.010351,            0.011027,           0.0097327,           0.0097327,           0.0097327
                  29,            0.031998,            0.021434,            0.004353,             0.75639,              0.6174,             0.64014,             0.43688,            0.035902,            0.010112,           0.0098911,           0.0097228,           0.0097228,           0.0097228
                  30,            0.031799,            0.021383,           0.0041468,             0.79981,             0.65333,             0.66941,             0.44939,            0.036603,            0.010055,            0.011447,           0.0097129,           0.0097129,           0.0097129
                  31,            0.031728,            0.020919,           0.0042971,             0.81971,             0.65452,             0.68959,              0.4709,            0.035072,            0.010198,           0.0094894,            0.009703,            0.009703,            0.009703
                  32,            0.031291,            0.020975,           0.0039899,                 0.8,             0.64411,             0.67717,              0.4546,            0.036226,            0.010283,            0.010389,           0.0096931,           0.0096931,           0.0096931
                  33,            0.031173,             0.02104,           0.0038425,             0.79008,             0.66037,             0.67495,             0.46521,            0.036144,            0.010166,            0.010959,           0.0096832,           0.0096832,           0.0096832
                  34,            0.030997,            0.020437,           0.0037764,             0.83084,              0.6357,             0.67188,             0.45788,            0.035795,            0.010393,            0.010958,           0.0096733,           0.0096733,           0.0096733
                  35,            0.030989,            0.020345,           0.0037423,             0.77273,             0.66698,             0.68865,             0.46598,            0.036088,             0.01038,           0.0089388,           0.0096634,           0.0096634,           0.0096634
                  36,            0.030633,            0.020407,           0.0038513,             0.85257,             0.66388,             0.69502,             0.47371,             0.03637,            0.010231,              0.0112,           0.0096535,           0.0096535,           0.0096535
                  37,            0.030682,             0.02004,           0.0036719,             0.80892,             0.62952,             0.68864,             0.47586,            0.035367,             0.01009,            0.010244,           0.0096436,           0.0096436,           0.0096436
                  38,             0.03044,            0.020083,           0.0035505,             0.77731,             0.68403,             0.67965,             0.47815,            0.034957,            0.010334,           0.0088439,           0.0096337,           0.0096337,           0.0096337
                  39,            0.030246,            0.020306,           0.0036718,             0.80995,             0.67139,             0.70149,              0.4796,            0.035035,            0.010309,            0.011158,           0.0096238,           0.0096238,           0.0096238
                  40,            0.030375,            0.020226,           0.0037682,             0.85435,             0.63656,             0.68465,             0.47057,            0.035433,            0.010573,            0.010674,           0.0096139,           0.0096139,           0.0096139
                  41,            0.030447,            0.020086,           0.0038191,             0.81154,             0.68719,             0.70459,             0.48177,            0.035243,             0.01052,           0.0097325,            0.009604,            0.009604,            0.009604
                  42,            0.030331,            0.019798,           0.0038325,             0.80148,             0.66101,             0.69173,             0.46585,            0.035449,            0.010465,           0.0096615,           0.0095941,           0.0095941,           0.0095941
                  43,            0.030201,            0.020003,           0.0036032,             0.81425,             0.64141,             0.70163,             0.48458,            0.034869,            0.010259,            0.010245,           0.0095842,           0.0095842,           0.0095842
                  44,            0.030137,            0.019985,           0.0035763,             0.74476,             0.71661,             0.70456,             0.48141,            0.035462,            0.010549,            0.010802,           0.0095743,           0.0095743,           0.0095743
                  45,            0.029812,            0.019963,           0.0034655,             0.75704,             0.66754,             0.68293,             0.46817,            0.035254,            0.010697,            0.010498,           0.0095644,           0.0095644,           0.0095644
                  46,            0.029864,            0.019874,           0.0036539,             0.79632,             0.65947,             0.68478,             0.46794,            0.035328,            0.010373,           0.0098722,           0.0095545,           0.0095545,           0.0095545
                  47,            0.029531,            0.019661,           0.0034031,             0.81923,             0.66212,             0.67993,              0.4665,             0.03587,            0.010591,            0.010664,           0.0095446,           0.0095446,           0.0095446
                  48,            0.029531,            0.019756,           0.0033212,              0.7458,             0.70355,             0.68488,             0.48542,            0.035426,            0.010453,            0.011256,           0.0095347,           0.0095347,           0.0095347
                  49,            0.029272,            0.019248,           0.0032964,             0.80673,             0.67104,             0.68875,             0.47654,            0.035621,             0.01066,            0.011885,           0.0095248,           0.0095248,           0.0095248
                  50,            0.029296,            0.019389,           0.0034124,             0.82232,              0.6502,             0.69689,             0.49406,            0.034859,            0.010355,            0.011569,           0.0095149,           0.0095149,           0.0095149
                  51,            0.029156,            0.019215,           0.0031991,             0.80852,             0.67297,             0.70698,             0.48439,            0.035153,            0.010608,            0.010891,            0.009505,            0.009505,            0.009505
