               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10645,            0.032721,            0.045348,           0.0022883,              0.3218,            0.009564,           0.0024334,            0.090374,             0.02241,            0.038969,            0.067589,          0.00032738,          0.00032738
                   1,            0.084941,            0.036612,            0.034759,             0.86418,             0.11975,             0.11101,            0.042098,            0.075149,            0.022034,            0.030047,            0.034589,          0.00066006,          0.00066006
                   2,            0.070808,            0.034339,            0.026734,             0.76762,              0.2878,             0.25965,             0.10978,            0.062874,            0.019197,             0.02394,           0.0015873,          0.00099208,          0.00099208
                   3,            0.061035,            0.030961,            0.022089,             0.85558,             0.34572,              0.3798,             0.19294,            0.055212,            0.016614,            0.019656,          0.00099703,          0.00099703,          0.00099703
                   4,            0.055391,            0.028458,            0.018556,             0.90583,             0.37212,             0.49839,             0.23007,             0.05025,            0.014886,            0.016753,          0.00099703,          0.00099703,          0.00099703
                   5,            0.051866,            0.026625,            0.016277,             0.64542,             0.58205,             0.56411,             0.24649,            0.048438,              0.0137,            0.013958,          0.00099604,          0.00099604,          0.00099604
                   6,            0.049318,             0.02542,            0.014085,             0.70458,             0.61018,              0.5795,             0.24799,            0.049887,            0.012811,            0.011709,          0.00099505,          0.00099505,          0.00099505
                   7,            0.047601,            0.023517,            0.012406,             0.69621,             0.61293,             0.61505,             0.27157,            0.046959,            0.012401,           0.0097301,          0.00099406,          0.00099406,          0.00099406
                   8,            0.046408,            0.023022,            0.011202,             0.68555,              0.6649,             0.66262,             0.35311,            0.041458,            0.011731,           0.0085815,          0.00099307,          0.00099307,          0.00099307
                   9,            0.044859,            0.022312,            0.010007,              0.7388,             0.67801,             0.70922,             0.36621,            0.041006,            0.011358,           0.0070181,          0.00099208,          0.00099208,          0.00099208
                  10,            0.044787,            0.021955,           0.0094528,              0.7205,             0.67749,             0.69825,             0.33207,            0.042316,            0.011029,           0.0065075,          0.00099109,          0.00099109,          0.00099109
                  11,            0.043404,            0.020937,           0.0087802,             0.74786,             0.69856,             0.71857,             0.37943,            0.040156,            0.010727,           0.0058085,           0.0009901,           0.0009901,           0.0009901
                  12,            0.043018,            0.020796,           0.0080932,              0.7382,             0.72287,             0.74156,             0.37805,            0.040139,            0.010449,           0.0052822,          0.00098911,          0.00098911,          0.00098911
                  13,            0.042576,            0.021074,           0.0077921,             0.70499,             0.74117,             0.71712,             0.37488,            0.039623,            0.010252,           0.0048933,          0.00098812,          0.00098812,          0.00098812
                  14,            0.041735,            0.020578,           0.0066731,             0.76126,             0.74433,             0.75805,             0.40759,            0.037823,            0.010156,           0.0045258,          0.00098713,          0.00098713,          0.00098713
                  15,            0.041791,             0.02007,           0.0069209,             0.78235,             0.77481,             0.77877,             0.39322,             0.03948,            0.010009,           0.0042026,          0.00098614,          0.00098614,          0.00098614
                  16,            0.041226,            0.019793,           0.0067981,             0.78191,             0.76996,             0.78927,             0.41552,            0.038323,           0.0097993,           0.0039986,          0.00098515,          0.00098515,          0.00098515
                  17,            0.040901,            0.020145,           0.0062007,             0.82063,             0.76052,             0.78576,             0.40723,            0.037772,           0.0097527,           0.0039782,          0.00098416,          0.00098416,          0.00098416
                  18,            0.039562,            0.019905,           0.0063783,             0.80077,             0.76642,             0.78566,             0.38997,            0.039619,           0.0097348,           0.0036264,          0.00098317,          0.00098317,          0.00098317
                  19,            0.039226,            0.019364,           0.0060788,             0.83369,             0.77697,              0.8047,             0.42861,            0.037313,            0.009597,           0.0035285,          0.00098218,          0.00098218,          0.00098218
                  20,            0.039136,            0.019477,           0.0059643,             0.83981,             0.79226,             0.81909,             0.43514,            0.036828,            0.009445,           0.0034585,          0.00098119,          0.00098119,          0.00098119
                  21,            0.039652,            0.019112,           0.0059045,             0.83942,             0.78724,             0.81381,             0.42103,            0.037989,           0.0094494,           0.0032437,           0.0009802,           0.0009802,           0.0009802
                  22,            0.039297,            0.018925,           0.0060622,             0.81872,             0.78394,             0.80663,             0.41938,            0.037626,           0.0093369,           0.0032191,          0.00097921,          0.00097921,          0.00097921
                  23,            0.038506,            0.018731,           0.0059803,              0.8232,             0.81745,             0.82106,             0.42747,            0.036468,           0.0093308,           0.0032481,          0.00097822,          0.00097822,          0.00097822
                  24,            0.038095,            0.018618,           0.0059695,             0.84257,             0.80606,             0.83272,             0.44042,             0.03556,           0.0091685,           0.0029914,          0.00097723,          0.00097723,          0.00097723
