               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12549,            0.047841,            0.056606,          0.00050083,            0.046154,          0.00082241,          0.00029833,             0.11882,            0.026527,             0.05703,             0.09703,               3e-05,               3e-05
                   1,             0.12431,            0.042267,            0.057252,           0.0018297,             0.14359,           0.0025793,          0.00040998,             0.11731,            0.024729,            0.056656,             0.09307,          6.9931e-05,          6.9931e-05
                   2,             0.12273,            0.047521,            0.055359,           0.0017484,             0.15641,            0.005897,           0.0010593,             0.11507,            0.023065,            0.056027,             0.08911,          0.00010978,          0.00010978
                   3,             0.11794,            0.043447,            0.054673,           0.0018691,             0.18974,           0.0048537,          0.00073795,              0.1116,            0.021912,            0.055364,             0.08515,          0.00014955,          0.00014955
                   4,             0.11631,            0.046086,            0.055585,           0.0014691,             0.15641,           0.0048907,          0.00073886,             0.10784,             0.02105,            0.054708,            0.081189,          0.00018925,          0.00018925
                   5,             0.11373,            0.039956,            0.052999,           0.0014838,             0.17179,           0.0057372,           0.0008089,             0.10583,             0.02034,            0.054211,            0.077229,          0.00022886,          0.00022886
                   6,             0.10962,            0.044299,            0.052557,           0.0014945,             0.18718,           0.0036806,          0.00076019,             0.10114,            0.020237,            0.053219,            0.073268,           0.0002684,           0.0002684
                   7,             0.10712,            0.040743,            0.052001,           0.0019192,              0.2359,           0.0055049,            0.001103,            0.098115,            0.019922,            0.052518,            0.069308,          0.00030785,          0.00030785
                   8,             0.10628,            0.044673,            0.051421,           0.0023622,             0.28462,            0.019151,           0.0028971,            0.095765,            0.019524,             0.05204,            0.065347,          0.00034723,          0.00034723
                   9,             0.10327,            0.041136,            0.050481,            0.002372,             0.28462,            0.027603,           0.0073206,            0.092464,            0.019632,             0.05182,            0.061387,          0.00038653,          0.00038653
