               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074717,            0.033003,            0.029128,             0.85319,             0.29839,             0.33916,             0.18566,            0.058713,            0.012819,            0.022987,            0.070103,           0.0033219,           0.0033219
                   1,            0.054288,            0.029226,            0.016101,             0.69537,             0.42072,             0.42559,             0.20151,            0.053177,            0.012007,            0.018562,            0.040097,           0.0066486,           0.0066486
                   2,            0.052071,            0.028749,            0.014158,             0.36134,             0.43116,             0.35484,              0.1476,            0.057955,            0.016408,            0.018851,            0.010083,           0.0099688,           0.0099688
                   3,            0.049544,            0.029241,            0.013005,             0.52111,             0.44946,             0.45823,             0.23508,            0.049048,            0.012234,            0.015072,           0.0099703,           0.0099703,           0.0099703
                   4,            0.046253,            0.028055,            0.011454,             0.61964,             0.52103,               0.514,             0.27696,            0.047906,            0.011887,            0.013161,           0.0099703,           0.0099703,           0.0099703
                   5,            0.045043,            0.028385,            0.010764,             0.72832,             0.54003,             0.55561,             0.31404,            0.044495,            0.011531,            0.012621,           0.0099604,           0.0099604,           0.0099604
                   6,            0.043807,            0.027406,            0.010147,             0.78555,             0.50728,             0.56401,             0.31207,            0.045056,            0.011437,            0.012449,           0.0099505,           0.0099505,           0.0099505
                   7,            0.042906,            0.027427,           0.0097705,             0.67374,             0.53167,             0.55557,             0.31129,            0.043635,            0.011597,            0.011008,           0.0099406,           0.0099406,           0.0099406
                   8,            0.042268,            0.027009,           0.0092974,             0.68929,             0.54498,             0.54722,             0.31584,            0.043375,            0.011741,             0.01565,           0.0099307,           0.0099307,           0.0099307
                   9,            0.041548,            0.026701,           0.0088664,             0.61864,             0.54885,             0.55022,             0.31349,            0.042304,            0.011805,            0.012218,           0.0099208,           0.0099208,           0.0099208
                  10,              0.0411,            0.026417,           0.0086462,             0.65893,             0.56617,             0.56608,             0.31587,            0.043079,            0.011448,            0.012247,           0.0099109,           0.0099109,           0.0099109
