               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12684,            0.015224,            0.034778,           0.0006627,           0.0099502,          0.00026008,          4.6881e-05,             0.11648,            0.012857,            0.028795,          0.00032906,          0.00032906,            0.067423
                   1,             0.11508,            0.019041,            0.023632,             0.68406,            0.056385,           0.0074016,           0.0011669,             0.10212,            0.015168,            0.020008,          0.00066174,          0.00066174,            0.034422
                   2,            0.096551,            0.022061,            0.016824,             0.69785,            0.072968,            0.022266,           0.0037028,            0.090075,            0.014197,            0.016469,          0.00099375,          0.00099375,           0.0014211
                   3,            0.082239,            0.019906,            0.014603,             0.84943,             0.20398,             0.19007,            0.066003,            0.075204,            0.012509,            0.012561,          0.00099703,          0.00099703,          0.00099703
                   4,            0.072908,            0.019354,            0.012367,             0.88983,               0.199,              0.2082,            0.063377,            0.067871,            0.011968,            0.010896,          0.00099703,          0.00099703,          0.00099703
                   5,             0.06564,            0.018131,            0.011417,             0.92935,             0.24046,             0.26565,            0.097487,            0.061889,            0.011311,           0.0099141,          0.00099604,          0.00099604,          0.00099604
                   6,            0.059947,            0.017223,           0.0092423,             0.94899,             0.23881,             0.33161,             0.13785,            0.058623,            0.010747,           0.0085958,          0.00099505,          0.00099505,          0.00099505
                   7,            0.057613,            0.016603,           0.0081255,             0.67937,              0.3674,             0.35529,             0.11395,            0.058813,            0.010189,           0.0078673,          0.00099406,          0.00099406,          0.00099406
                   8,            0.054085,            0.015613,           0.0075923,             0.79223,             0.36795,             0.38252,             0.13544,            0.055146,             0.00987,           0.0071416,          0.00099307,          0.00099307,          0.00099307
                   9,            0.051035,            0.015327,           0.0065917,             0.74064,             0.40627,              0.3952,             0.15445,            0.052784,           0.0095044,           0.0066872,          0.00099208,          0.00099208,          0.00099208
                  10,            0.049638,            0.014271,           0.0064527,             0.70224,             0.43464,             0.36623,             0.15156,            0.049503,           0.0090926,           0.0060821,          0.00099109,          0.00099109,          0.00099109
                  11,            0.047866,            0.014075,           0.0062034,             0.78676,             0.40838,             0.43276,             0.19271,            0.047243,           0.0089425,           0.0059126,           0.0009901,           0.0009901,           0.0009901
                  12,            0.046401,            0.013808,           0.0055013,             0.77228,             0.39752,              0.4707,             0.21254,            0.048071,             0.00875,           0.0054458,          0.00098911,          0.00098911,          0.00098911
                  13,            0.047007,            0.013359,           0.0058359,             0.81645,             0.41119,             0.45332,             0.19128,            0.046724,           0.0085647,           0.0050382,          0.00098812,          0.00098812,          0.00098812
                  14,            0.045093,            0.013765,           0.0053927,             0.79672,             0.44339,             0.50777,             0.24135,            0.045066,           0.0084613,           0.0049266,          0.00098713,          0.00098713,          0.00098713
                  15,            0.044476,            0.012995,           0.0047148,             0.52603,             0.57909,             0.53332,             0.23499,            0.046408,           0.0083486,           0.0043773,          0.00098614,          0.00098614,          0.00098614
                  16,            0.043761,            0.012898,           0.0045219,             0.68712,             0.61167,             0.61731,             0.25814,             0.04555,           0.0082201,           0.0041145,          0.00098515,          0.00098515,          0.00098515
                  17,            0.042522,            0.012621,           0.0042929,             0.70759,              0.6103,             0.61138,             0.26362,            0.045458,           0.0082671,           0.0039388,          0.00098416,          0.00098416,          0.00098416
                  18,            0.041176,            0.012634,           0.0037695,             0.80065,             0.56163,             0.61191,             0.27917,            0.043326,           0.0080154,           0.0037734,          0.00098317,          0.00098317,          0.00098317
                  19,            0.041454,            0.012533,           0.0037439,             0.76898,             0.60758,             0.66956,             0.26565,            0.045763,           0.0080804,           0.0036692,          0.00098218,          0.00098218,          0.00098218
