               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071286,            0.019602,                   0,             0.28737,              0.2144,             0.11954,            0.026967,            0.077921,           0.0075593,                   0,          0.00033207,          0.00033207,            0.067125
                   1,            0.055957,            0.015889,                   0,             0.51154,             0.49842,             0.42444,             0.13141,            0.059321,           0.0076569,                   0,           0.0006654,           0.0006654,            0.034125
                   2,            0.050857,            0.015342,                   0,             0.53823,             0.51582,             0.46296,             0.18645,            0.052964,           0.0075292,                   0,          0.00099872,          0.00099872,           0.0011255
                   3,            0.048512,            0.014906,                   0,             0.60579,             0.56566,             0.52893,             0.20459,             0.05317,           0.0076631,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.046823,            0.014801,                   0,             0.62954,             0.54314,             0.52661,              0.1908,            0.051866,           0.0068411,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.044867,            0.014471,                   0,             0.65645,             0.54572,             0.53576,             0.21572,            0.050256,           0.0066546,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.043707,            0.014291,                   0,             0.68303,             0.55854,             0.55853,             0.18558,            0.052376,           0.0061131,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.043277,            0.014184,                   0,             0.70843,             0.59415,             0.61438,             0.22629,            0.050186,           0.0061008,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.042528,            0.014134,                   0,             0.66522,             0.61551,             0.58943,              0.2574,            0.047408,           0.0062125,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,            0.041483,             0.01405,                   0,             0.74588,             0.62658,             0.63476,             0.26729,            0.048842,           0.0058367,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.041248,            0.013872,                   0,             0.71766,             0.63746,             0.64613,             0.30859,            0.045908,           0.0061695,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,             0.04121,             0.01378,                   0,             0.64372,             0.61607,             0.58623,             0.24831,            0.050587,           0.0058597,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,            0.041073,            0.013871,                   0,             0.69709,             0.64478,             0.64011,             0.29445,            0.046417,           0.0059811,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,            0.040549,            0.013702,                   0,             0.70646,             0.62262,              0.6222,             0.28563,            0.046396,           0.0058243,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,            0.040482,            0.013669,                   0,             0.68327,             0.68671,             0.66354,             0.31721,            0.043002,           0.0060278,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.040273,            0.013723,                   0,             0.74649,               0.625,             0.64861,             0.29322,            0.046821,           0.0059629,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,            0.040021,            0.013593,                   0,             0.68776,             0.61863,             0.62233,             0.26022,            0.046286,           0.0065661,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,            0.040178,            0.013611,                   0,             0.71414,             0.67198,             0.65699,             0.31059,             0.04588,           0.0057403,                   0,          0.00099937,          0.00099937,          0.00099937
                  18,            0.039966,            0.013569,                   0,              0.7274,             0.65269,             0.67197,             0.30235,            0.046432,           0.0056535,                   0,          0.00099929,          0.00099929,          0.00099929
                  19,              0.0395,            0.013558,                   0,             0.73065,             0.66297,             0.67467,             0.30328,            0.044697,           0.0055336,                   0,          0.00099921,          0.00099921,          0.00099921
                  20,            0.039267,            0.013431,                   0,             0.73153,             0.67472,             0.66428,             0.31308,            0.044063,            0.005658,                   0,          0.00099912,          0.00099912,          0.00099912
                  21,              0.0393,            0.013489,                   0,             0.75942,             0.65032,             0.67301,             0.30102,            0.045201,           0.0056722,                   0,          0.00099902,          0.00099902,          0.00099902
                  22,            0.039117,             0.01342,                   0,             0.72951,             0.69778,             0.69309,             0.35791,            0.040677,           0.0057013,                   0,          0.00099892,          0.00099892,          0.00099892
                  23,            0.038782,            0.013349,                   0,             0.73231,             0.68434,              0.6547,              0.3277,            0.042972,           0.0058888,                   0,          0.00099882,          0.00099882,          0.00099882
                  24,            0.039022,              0.0135,                   0,             0.68117,              0.6606,             0.64251,             0.29333,            0.043013,            0.005979,                   0,          0.00099871,          0.00099871,          0.00099871
                  25,             0.03876,            0.013412,                   0,             0.74885,             0.68174,             0.69208,             0.34702,            0.041772,           0.0057831,                   0,          0.00099859,          0.00099859,          0.00099859
                  26,            0.038522,            0.013366,                   0,             0.70961,             0.69598,             0.67194,             0.32874,            0.043151,           0.0056197,                   0,          0.00099847,          0.00099847,          0.00099847
                  27,            0.038309,            0.013264,                   0,             0.73047,              0.6606,             0.65747,             0.30902,             0.04611,           0.0056743,                   0,          0.00099835,          0.00099835,          0.00099835
                  28,             0.03803,            0.013314,                   0,             0.73826,             0.67642,             0.66006,             0.32934,            0.040655,           0.0057318,                   0,          0.00099822,          0.00099822,          0.00099822
                  29,            0.038391,            0.013313,                   0,             0.72542,             0.67301,             0.65608,             0.29666,            0.045079,           0.0057361,                   0,          0.00099809,          0.00099809,          0.00099809
                  30,             0.03793,            0.013389,                   0,             0.71689,             0.69517,             0.67448,             0.33372,            0.043745,           0.0054526,                   0,          0.00099795,          0.00099795,          0.00099795
