               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071248,            0.017089,            0.042036,             0.90576,             0.12885,             0.15468,            0.075594,            0.045584,           0.0084166,            0.030565,           0.0033275,           0.0033275,            0.070052
                   1,            0.049118,            0.011685,            0.027875,             0.63675,             0.24089,             0.22608,            0.099204,            0.043974,           0.0066618,            0.027478,           0.0065949,           0.0065949,            0.039986
                   2,            0.045424,            0.010916,            0.025959,             0.41197,             0.39672,             0.26949,             0.13828,            0.039822,           0.0064733,            0.026097,           0.0097963,           0.0097963,           0.0098544
                   3,            0.042739,            0.010602,            0.024981,             0.52673,             0.30431,             0.27883,              0.1578,            0.037605,           0.0062522,            0.026754,            0.009703,            0.009703,            0.009703
                   4,            0.039848,            0.010153,            0.023274,             0.53129,             0.36283,             0.33426,             0.17679,            0.035499,           0.0057025,            0.024931,            0.009703,            0.009703,            0.009703
                   5,            0.037864,           0.0098057,            0.022154,             0.57053,             0.42621,             0.37913,             0.21675,            0.032359,           0.0056345,            0.022463,            0.009604,            0.009604,            0.009604
                   6,            0.035983,           0.0093854,            0.021195,             0.45906,             0.50943,             0.41919,             0.25116,            0.032632,           0.0053485,            0.021321,            0.009505,            0.009505,            0.009505
                   7,            0.035143,           0.0091781,            0.020277,             0.55043,             0.54456,             0.49704,             0.28888,            0.030851,           0.0050912,            0.020797,            0.009406,            0.009406,            0.009406
                   8,            0.033861,           0.0089456,            0.019325,             0.63589,             0.55096,             0.52516,             0.29641,            0.030517,           0.0049209,            0.019099,            0.009307,            0.009307,            0.009307
                   9,            0.033463,           0.0088934,            0.018964,             0.66955,             0.46937,             0.50875,             0.29398,            0.029379,           0.0048249,            0.019299,            0.009208,            0.009208,            0.009208
                  10,            0.032868,           0.0086922,            0.017753,             0.79263,             0.48881,             0.56225,             0.33976,             0.02889,           0.0047354,            0.018506,            0.009109,            0.009109,            0.009109
                  11,            0.031926,           0.0085064,            0.017346,             0.64626,             0.52139,             0.53171,             0.32268,            0.029788,           0.0048956,            0.018707,             0.00901,             0.00901,             0.00901
                  12,            0.031484,           0.0084498,            0.016578,             0.71668,             0.54406,             0.60251,             0.36864,            0.028328,           0.0046367,            0.016718,            0.008911,            0.008911,            0.008911
                  13,            0.031014,           0.0083815,            0.016304,             0.70564,             0.55772,             0.59844,             0.36517,             0.02745,           0.0046348,            0.018086,            0.008812,            0.008812,            0.008812
                  14,            0.030343,           0.0082328,            0.016098,             0.63143,             0.55425,             0.56497,             0.34436,            0.027994,           0.0045346,            0.018844,            0.008713,            0.008713,            0.008713
                  15,            0.030434,           0.0081265,            0.015267,             0.73793,             0.57567,             0.63624,             0.38886,            0.027031,           0.0043651,            0.016138,            0.008614,            0.008614,            0.008614
                  16,            0.029672,           0.0081722,             0.01501,             0.76044,             0.53812,             0.59145,             0.37253,            0.026704,           0.0044765,            0.016238,            0.008515,            0.008515,            0.008515
                  17,            0.029506,           0.0081271,              0.0151,             0.74539,             0.58484,             0.67509,             0.41814,            0.026654,           0.0043939,            0.016018,            0.008416,            0.008416,            0.008416
                  18,             0.02951,           0.0079131,            0.014523,             0.74556,             0.59436,             0.66281,             0.42008,            0.026754,           0.0044188,            0.016048,            0.008317,            0.008317,            0.008317
                  19,            0.029311,           0.0079988,            0.014397,             0.73581,             0.57023,             0.66677,             0.41076,            0.026194,           0.0043684,            0.015093,            0.008218,            0.008218,            0.008218
                  20,            0.029106,           0.0079977,            0.014683,             0.70262,             0.59512,             0.66143,             0.41506,            0.025911,           0.0043394,            0.015944,            0.008119,            0.008119,            0.008119
                  21,             0.02845,           0.0077451,            0.013919,             0.82132,             0.53384,             0.67243,             0.42833,            0.026007,           0.0043062,            0.014657,             0.00802,             0.00802,             0.00802
                  22,            0.028543,           0.0078969,            0.013516,             0.74664,              0.5996,             0.67956,             0.42297,            0.025579,           0.0042737,            0.015523,            0.007921,            0.007921,            0.007921
                  23,            0.028332,           0.0077731,            0.013281,             0.74116,             0.60463,             0.68112,             0.44611,             0.02564,           0.0042409,            0.015573,            0.007822,            0.007822,            0.007822
                  24,            0.028255,           0.0077876,            0.012874,             0.57319,              0.7619,             0.70319,             0.45912,            0.025511,           0.0041908,            0.015584,            0.007723,            0.007723,            0.007723
                  25,            0.027502,            0.007633,            0.012369,             0.68114,             0.72388,             0.71097,             0.44633,            0.024652,           0.0041866,            0.013268,            0.007624,            0.007624,            0.007624
                  26,            0.027408,           0.0075629,             0.01217,             0.74392,             0.67195,             0.67691,             0.43614,            0.025185,           0.0041759,            0.014223,            0.007525,            0.007525,            0.007525
                  27,            0.027399,           0.0076466,            0.011945,             0.73669,             0.67739,             0.71187,             0.46644,            0.025136,           0.0041776,            0.013832,            0.007426,            0.007426,            0.007426
                  28,            0.027295,           0.0075705,            0.011559,             0.75183,             0.69333,             0.72104,             0.45597,             0.02473,           0.0040962,            0.013053,            0.007327,            0.007327,            0.007327
                  29,            0.027065,            0.007527,            0.011538,             0.83653,               0.671,             0.73602,             0.47926,            0.024661,           0.0040249,            0.013923,            0.007228,            0.007228,            0.007228
                  30,            0.026456,           0.0074014,            0.011299,             0.78304,             0.67987,             0.73992,             0.47146,            0.024208,           0.0040975,             0.01408,            0.007129,            0.007129,            0.007129
                  31,            0.026753,           0.0074322,            0.011329,             0.75309,             0.66286,               0.713,             0.45384,            0.024165,           0.0040364,             0.01494,             0.00703,             0.00703,             0.00703
                  32,            0.026598,           0.0073649,              0.0115,             0.74021,             0.68714,             0.72696,              0.4428,            0.023754,           0.0040071,            0.013172,            0.006931,            0.006931,            0.006931
                  33,             0.02663,           0.0074329,             0.01079,             0.83852,              0.6452,              0.7287,             0.45373,            0.024052,           0.0039396,            0.013322,            0.006832,            0.006832,            0.006832
                  34,            0.026281,           0.0073627,            0.010784,             0.78104,             0.65671,             0.72226,             0.45097,            0.023748,           0.0039714,             0.01311,            0.006733,            0.006733,            0.006733
                  35,            0.026096,           0.0073052,            0.010343,             0.72019,             0.70321,             0.72257,             0.44415,            0.023398,           0.0038878,            0.013555,            0.006634,            0.006634,            0.006634
                  36,            0.025844,           0.0072793,           0.0094715,             0.77154,             0.70149,             0.75769,             0.47704,            0.024053,           0.0039216,            0.012399,            0.006535,            0.006535,            0.006535
                  37,            0.025471,           0.0070831,           0.0098032,             0.79516,             0.70397,              0.7633,             0.50948,            0.023412,           0.0038693,            0.012513,            0.006436,            0.006436,            0.006436
                  38,            0.025508,           0.0070878,           0.0095809,             0.78209,             0.72523,             0.77285,             0.49876,             0.02331,           0.0038821,             0.01231,            0.006337,            0.006337,            0.006337
                  39,            0.025317,           0.0071452,            0.009722,             0.77762,             0.67036,             0.75148,             0.47547,            0.022969,           0.0038135,            0.011978,            0.006238,            0.006238,            0.006238
                  40,            0.025226,           0.0071842,           0.0091655,             0.78487,             0.70697,             0.77261,             0.51427,            0.022844,           0.0038469,            0.010679,            0.006139,            0.006139,            0.006139
                  41,            0.025329,           0.0071841,           0.0085654,             0.82575,             0.66313,             0.73865,              0.4953,            0.023257,           0.0037865,            0.011902,             0.00604,             0.00604,             0.00604
                  42,            0.024914,           0.0070831,           0.0089175,             0.79836,             0.70549,             0.77303,             0.51031,            0.022476,           0.0037531,            0.011809,            0.005941,            0.005941,            0.005941
                  43,            0.025171,            0.007096,           0.0089593,             0.77224,              0.7406,             0.76463,             0.50717,            0.022663,            0.003755,            0.011176,            0.005842,            0.005842,            0.005842
                  44,            0.024396,           0.0069354,           0.0084279,             0.86031,             0.69448,             0.80493,             0.51758,            0.022074,            0.003728,            0.010283,            0.005743,            0.005743,            0.005743
                  45,            0.024518,           0.0069613,           0.0083283,             0.80811,             0.75321,             0.83124,             0.54626,            0.021923,           0.0036595,            0.010209,            0.005644,            0.005644,            0.005644
                  46,            0.024217,           0.0069351,           0.0078521,             0.82001,             0.73034,             0.79796,             0.53448,            0.021973,           0.0036559,            0.010687,            0.005545,            0.005545,            0.005545
                  47,            0.024239,           0.0068473,           0.0079525,             0.78742,             0.74474,              0.7779,             0.53628,            0.021466,           0.0036794,            0.010282,            0.005446,            0.005446,            0.005446
                  48,            0.023867,           0.0067706,           0.0074658,             0.88155,             0.75253,             0.82608,             0.55126,            0.021422,           0.0036959,            0.010166,            0.005347,            0.005347,            0.005347
                  49,            0.023721,           0.0068146,           0.0074468,             0.88352,             0.70721,             0.80873,             0.53987,            0.021528,           0.0036971,             0.01003,            0.005248,            0.005248,            0.005248
                  50,            0.023683,           0.0067092,           0.0074163,               0.861,             0.72179,             0.82453,             0.56581,            0.021287,           0.0035909,            0.010797,            0.005149,            0.005149,            0.005149
                  51,            0.023326,           0.0066852,           0.0068621,             0.85899,             0.71977,             0.81344,             0.55142,            0.021292,           0.0036074,            0.010751,             0.00505,             0.00505,             0.00505
                  52,            0.023318,           0.0066138,           0.0068768,             0.87873,             0.71804,             0.83228,             0.57418,             0.02155,           0.0036411,            0.010782,            0.004951,            0.004951,            0.004951
                  53,            0.023376,           0.0066759,           0.0070283,              0.8549,             0.71948,             0.84133,             0.59494,            0.021525,           0.0035957,            0.010354,            0.004852,            0.004852,            0.004852
                  54,            0.023455,           0.0065669,           0.0069668,              0.8385,             0.78491,             0.85049,             0.58905,            0.021408,           0.0036021,            0.010142,            0.004753,            0.004753,            0.004753
                  55,            0.023139,           0.0065882,           0.0066681,             0.76183,             0.84688,             0.85344,             0.58701,            0.021123,           0.0036133,           0.0098349,            0.004654,            0.004654,            0.004654
                  56,             0.02306,           0.0065471,           0.0066739,             0.80772,             0.83881,             0.87697,             0.60406,            0.021104,           0.0036002,           0.0094122,            0.004555,            0.004555,            0.004555
                  57,            0.022903,           0.0065318,           0.0061015,             0.85394,             0.79613,             0.85514,             0.57968,            0.020905,           0.0035137,            0.010068,            0.004456,            0.004456,            0.004456
                  58,            0.022743,           0.0065177,           0.0064151,             0.87381,             0.76468,             0.84914,             0.54955,            0.021329,           0.0035747,           0.0098905,            0.004357,            0.004357,            0.004357
                  59,            0.022594,           0.0063978,           0.0059266,             0.84854,             0.79043,             0.86755,             0.58852,            0.021386,           0.0035689,            0.010757,            0.004258,            0.004258,            0.004258
