               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071314,            0.033291,            0.027649,             0.86202,             0.33958,              0.3783,             0.21887,            0.054242,            0.012229,            0.020731,            0.070103,           0.0033219,           0.0033219
                   1,            0.051587,             0.02784,            0.014069,             0.59957,             0.49874,             0.50251,             0.28563,            0.047118,             0.01107,            0.015013,            0.040097,           0.0066486,           0.0066486
                   2,            0.048876,             0.02738,            0.011824,             0.61052,             0.47296,             0.48545,             0.25972,             0.04779,            0.012041,            0.013954,            0.010083,           0.0099688,           0.0099688
                   3,            0.047206,            0.028101,            0.011577,             0.60973,             0.47957,             0.49788,             0.28109,            0.047818,              0.0122,            0.015015,           0.0099703,           0.0099703,           0.0099703
                   4,            0.043989,            0.026906,            0.010221,             0.65839,             0.53136,             0.55932,             0.31295,             0.04472,            0.011458,            0.012514,           0.0099703,           0.0099703,           0.0099703
                   5,            0.042392,            0.026876,           0.0091823,             0.68626,             0.55522,             0.59994,             0.34663,             0.04296,            0.011651,            0.012221,           0.0099604,           0.0099604,           0.0099604
                   6,            0.041329,            0.026049,           0.0088539,             0.69936,             0.56496,             0.60867,             0.35806,            0.041532,              0.0109,            0.012032,           0.0099505,           0.0099505,           0.0099505
                   7,            0.040428,            0.025867,           0.0083111,             0.70388,             0.55089,             0.59419,             0.35865,            0.041714,             0.01075,            0.010409,           0.0099406,           0.0099406,           0.0099406
                   8,            0.039762,            0.025411,           0.0080444,             0.71303,             0.55437,             0.59718,              0.3631,            0.040048,            0.010924,            0.011372,           0.0099307,           0.0099307,           0.0099307
                   9,            0.038842,            0.025038,           0.0073499,             0.72888,             0.56084,             0.59122,             0.37099,            0.040339,            0.010857,            0.011286,           0.0099208,           0.0099208,           0.0099208
                  10,            0.038512,            0.024839,           0.0073098,             0.70268,             0.58575,             0.61989,              0.3735,            0.040342,            0.010831,            0.011202,           0.0099109,           0.0099109,           0.0099109
