               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12977,            0.011389,            0.032408,          0.00013794,            0.033632,          7.8239e-05,          1.6965e-05,              0.1267,           0.0095545,            0.026065,            0.067174,          0.00033158,          0.00033158
                   1,              0.1179,            0.013512,            0.024628,          0.00049763,             0.13154,          0.00063541,          0.00013883,             0.11512,            0.011843,             0.02162,            0.034173,          0.00066425,          0.00066425
                   2,             0.10317,            0.016071,            0.021273,             0.76702,              0.1136,            0.070959,            0.022542,            0.090156,            0.013107,            0.018557,           0.0011717,          0.00099627,          0.00099627
                   3,            0.084842,            0.015726,            0.019091,             0.84829,             0.17638,             0.16443,            0.051849,             0.07792,            0.011324,             0.01699,          0.00099703,          0.00099703,          0.00099703
                   4,            0.075258,            0.014419,            0.017076,             0.89826,              0.1846,             0.19955,            0.067537,              0.0732,            0.010833,            0.016226,          0.00099703,          0.00099703,          0.00099703
                   5,            0.071664,            0.014017,            0.016711,             0.92576,             0.21909,             0.23641,            0.083058,            0.069571,            0.010728,            0.015604,          0.00099604,          0.00099604,          0.00099604
                   6,            0.067552,            0.013757,              0.0158,             0.92862,             0.22216,             0.23822,            0.080425,            0.067393,            0.010511,            0.014866,          0.00099505,          0.00099505,          0.00099505
                   7,            0.065714,            0.013726,            0.015435,             0.94177,              0.2272,             0.24983,            0.090269,            0.064713,            0.010218,            0.013613,          0.00099406,          0.00099406,          0.00099406
                   8,            0.063776,            0.013053,            0.014644,             0.94442,             0.23617,             0.31043,             0.12059,            0.059952,            0.010169,            0.012444,          0.00099307,          0.00099307,          0.00099307
                   9,            0.062789,            0.012898,            0.013968,             0.43853,              0.3545,              0.3568,              0.1087,            0.063219,           0.0097949,            0.011742,          0.00099208,          0.00099208,          0.00099208
                  10,             0.06133,            0.012886,            0.013343,              0.5194,             0.38603,             0.38343,             0.13458,            0.060781,           0.0095465,            0.010816,          0.00099109,          0.00099109,          0.00099109
                  11,            0.060751,            0.012458,            0.013337,             0.58936,             0.38315,             0.40278,             0.15161,            0.058415,             0.00941,            0.010175,           0.0009901,           0.0009901,           0.0009901
                  12,            0.059454,             0.01213,            0.011841,             0.46235,              0.4247,             0.39331,             0.15595,             0.05733,           0.0092196,           0.0097566,          0.00098911,          0.00098911,          0.00098911
                  13,            0.058156,            0.012142,            0.011466,             0.47288,             0.42928,              0.3914,             0.12761,            0.062349,           0.0091589,           0.0092228,          0.00098812,          0.00098812,          0.00098812
                  14,            0.058158,              0.0119,            0.011262,              0.5012,             0.40359,             0.38075,             0.15017,            0.057454,           0.0090594,           0.0092175,          0.00098713,          0.00098713,          0.00098713
                  15,            0.057402,            0.011796,            0.011301,             0.59756,             0.42874,             0.43019,             0.15814,            0.057521,           0.0089861,           0.0080919,          0.00098614,          0.00098614,          0.00098614
                  16,            0.056489,            0.011763,           0.0099666,             0.57121,             0.45666,             0.45219,             0.17759,            0.055616,           0.0088017,           0.0074129,          0.00098515,          0.00098515,          0.00098515
                  17,            0.056254,            0.011744,           0.0098219,             0.61705,             0.45993,             0.46713,             0.18472,            0.054888,           0.0086162,            0.007529,          0.00098416,          0.00098416,          0.00098416
                  18,            0.055587,            0.011694,           0.0093316,             0.56714,             0.48438,             0.46535,             0.18041,            0.055118,           0.0086694,           0.0070635,          0.00098317,          0.00098317,          0.00098317
                  19,            0.055873,            0.011454,           0.0086377,             0.54813,             0.51954,             0.48436,             0.19022,            0.053802,            0.008585,           0.0063033,          0.00098218,          0.00098218,          0.00098218
                  20,             0.05448,            0.011351,           0.0085022,             0.62395,             0.51444,              0.4989,             0.19048,            0.053775,           0.0084774,           0.0058558,          0.00098119,          0.00098119,          0.00098119
                  21,            0.054162,            0.011308,            0.008011,             0.58347,             0.53892,             0.51298,             0.18553,            0.055878,            0.008593,           0.0055494,           0.0009802,           0.0009802,           0.0009802
                  22,            0.054506,            0.011337,           0.0076361,             0.68181,             0.52488,             0.52613,             0.17445,            0.056532,           0.0086855,           0.0055274,          0.00097921,          0.00097921,          0.00097921
                  23,            0.053669,            0.011382,           0.0078223,             0.65802,             0.49576,             0.49645,             0.20126,             0.05234,           0.0085091,           0.0049235,          0.00097822,          0.00097822,          0.00097822
                  24,             0.05313,            0.011172,           0.0075776,             0.69936,             0.52487,             0.53941,             0.19092,            0.055503,           0.0083974,           0.0050764,          0.00097723,          0.00097723,          0.00097723
                  25,            0.052876,            0.011136,           0.0071399,             0.64574,             0.58905,             0.54779,             0.20335,            0.053695,           0.0085234,           0.0045433,          0.00097624,          0.00097624,          0.00097624
                  26,             0.05288,            0.011059,           0.0072333,             0.63011,             0.57063,             0.54707,             0.21517,            0.052257,           0.0082988,           0.0048593,          0.00097525,          0.00097525,          0.00097525
                  27,            0.051989,            0.010843,           0.0067394,              0.6705,             0.51837,             0.51172,             0.20657,            0.052152,           0.0082911,           0.0046673,          0.00097426,          0.00097426,          0.00097426
                  28,            0.052068,            0.010836,           0.0068515,              0.6374,             0.54371,             0.53445,             0.21816,            0.050581,           0.0081872,           0.0044363,          0.00097327,          0.00097327,          0.00097327
                  29,            0.052005,            0.010766,           0.0063985,             0.64955,             0.54958,             0.54051,             0.21745,            0.051386,           0.0083364,           0.0043042,          0.00097228,          0.00097228,          0.00097228
                  30,            0.051119,            0.010933,           0.0067824,             0.71367,             0.57646,             0.59848,             0.23028,            0.052666,           0.0081793,           0.0045666,          0.00097129,          0.00097129,          0.00097129
                  31,            0.051329,            0.010913,           0.0065514,             0.73674,             0.55826,             0.57898,             0.23854,            0.050528,           0.0081999,           0.0043128,           0.0009703,           0.0009703,           0.0009703
                  32,            0.050948,            0.010666,             0.00637,             0.73013,              0.5348,             0.57692,             0.23224,            0.051315,           0.0081524,           0.0043537,          0.00096931,          0.00096931,          0.00096931
                  33,             0.05081,            0.010785,           0.0064152,             0.77226,             0.55181,             0.60507,             0.24083,            0.051566,           0.0081427,           0.0041354,          0.00096832,          0.00096832,          0.00096832
                  34,            0.050483,            0.010655,           0.0058051,             0.73859,             0.57113,              0.5771,             0.22583,            0.051154,           0.0081492,            0.003969,          0.00096733,          0.00096733,          0.00096733
                  35,            0.049898,            0.010651,           0.0060797,             0.73533,             0.59893,              0.6183,             0.26557,            0.049234,           0.0080074,            0.003807,          0.00096634,          0.00096634,          0.00096634
                  36,            0.049924,            0.010525,           0.0056823,             0.66237,             0.61841,             0.60052,             0.22663,            0.051207,           0.0081118,           0.0036501,          0.00096535,          0.00096535,          0.00096535
                  37,             0.05035,            0.010749,           0.0057962,             0.71829,             0.57462,             0.58573,             0.22991,            0.050605,           0.0081589,           0.0034965,          0.00096436,          0.00096436,          0.00096436
                  38,            0.049707,            0.010617,           0.0055076,             0.70748,             0.54465,              0.5722,             0.22066,            0.051309,           0.0080849,           0.0034833,          0.00096337,          0.00096337,          0.00096337
                  39,            0.049542,            0.010655,           0.0056541,             0.66923,             0.61941,             0.60257,             0.23062,            0.051002,           0.0082522,           0.0036883,          0.00096238,          0.00096238,          0.00096238
                  40,            0.049056,            0.010658,           0.0052695,             0.63796,             0.59858,             0.59353,              0.2488,             0.04916,           0.0080771,           0.0036399,          0.00096139,          0.00096139,          0.00096139
                  41,            0.049335,            0.010671,           0.0057038,             0.68326,             0.58681,             0.56908,             0.23549,            0.050845,           0.0079805,           0.0036625,           0.0009604,           0.0009604,           0.0009604
                  42,            0.048575,            0.010641,           0.0055037,             0.72352,             0.61503,             0.62197,             0.23578,            0.051451,           0.0080441,           0.0033082,          0.00095941,          0.00095941,          0.00095941
                  43,            0.048304,            0.010412,           0.0052292,             0.77858,             0.60925,             0.65906,             0.26602,             0.05133,           0.0081269,           0.0037983,          0.00095842,          0.00095842,          0.00095842
                  44,            0.048739,            0.010548,           0.0058712,             0.74733,             0.64365,             0.66288,             0.29087,            0.047121,           0.0078398,           0.0033617,          0.00095743,          0.00095743,          0.00095743
                  45,            0.049189,            0.010263,           0.0051675,             0.69007,             0.63793,             0.60934,             0.26364,            0.049392,           0.0078789,           0.0032789,          0.00095644,          0.00095644,          0.00095644
                  46,            0.047638,            0.010517,           0.0052337,             0.69231,             0.65276,             0.63205,             0.23777,            0.050994,           0.0080107,           0.0033465,          0.00095545,          0.00095545,          0.00095545
                  47,            0.048356,            0.010408,           0.0050747,              0.7608,             0.66063,             0.65151,             0.28118,            0.047467,           0.0077662,           0.0030764,          0.00095446,          0.00095446,          0.00095446
                  48,            0.048139,            0.010308,           0.0052113,             0.77806,             0.62796,             0.65219,             0.29569,            0.047634,           0.0077779,           0.0031503,          0.00095347,          0.00095347,          0.00095347
                  49,            0.047783,            0.010234,           0.0050563,             0.78604,             0.64217,             0.67492,             0.30379,             0.04767,           0.0077484,           0.0032273,          0.00095248,          0.00095248,          0.00095248
                  50,            0.047243,            0.010507,           0.0049469,             0.76826,             0.62884,             0.67203,             0.30382,            0.047608,           0.0078136,            0.003444,          0.00095149,          0.00095149,          0.00095149
                  51,            0.047525,            0.010357,           0.0050044,             0.77372,             0.65129,             0.67443,             0.27832,            0.048905,           0.0079207,           0.0033427,           0.0009505,           0.0009505,           0.0009505
                  52,            0.047416,            0.010305,           0.0052618,             0.76633,             0.59517,             0.63498,             0.27765,            0.048116,           0.0078465,           0.0031726,          0.00094951,          0.00094951,          0.00094951
                  53,            0.047333,            0.010344,           0.0048274,             0.80366,             0.62752,              0.6705,             0.27776,            0.048201,           0.0078152,           0.0033523,          0.00094852,          0.00094852,          0.00094852
                  54,            0.047039,            0.010254,           0.0052644,             0.77391,             0.64926,             0.65738,             0.27675,            0.048544,           0.0078301,           0.0032245,          0.00094753,          0.00094753,          0.00094753
                  55,            0.046523,              0.0102,           0.0051124,             0.73419,             0.67312,             0.67591,             0.29239,            0.047451,            0.007777,           0.0035063,          0.00094654,          0.00094654,          0.00094654
                  56,             0.04748,            0.010333,           0.0047157,             0.80369,             0.64956,              0.6755,             0.27421,            0.048359,           0.0078783,           0.0031283,          0.00094555,          0.00094555,          0.00094555
                  57,            0.047003,             0.01015,           0.0050138,             0.80824,             0.65409,              0.6897,             0.30646,            0.047418,             0.00765,           0.0034099,          0.00094456,          0.00094456,          0.00094456
                  58,            0.047098,            0.010216,           0.0049225,             0.79174,             0.63843,              0.6723,              0.2625,            0.048777,           0.0078762,            0.003269,          0.00094357,          0.00094357,          0.00094357
                  59,             0.04618,            0.010128,           0.0049205,             0.79464,             0.63796,             0.65737,             0.27127,            0.047868,           0.0077075,           0.0032245,          0.00094258,          0.00094258,          0.00094258
                  60,            0.046336,            0.010045,           0.0050663,             0.72754,             0.66758,             0.66105,             0.27838,            0.048319,           0.0077852,           0.0031362,          0.00094159,          0.00094159,          0.00094159
                  61,            0.046859,            0.010098,           0.0048967,             0.81327,             0.68023,             0.69798,             0.31206,            0.048157,           0.0077851,           0.0032324,           0.0009406,           0.0009406,           0.0009406
                  62,            0.045669,            0.010282,           0.0045791,             0.84556,             0.67829,             0.70986,             0.32723,            0.046217,           0.0078281,           0.0029842,          0.00093961,          0.00093961,          0.00093961
                  63,            0.045533,            0.010051,           0.0048789,             0.78815,             0.64566,             0.66089,             0.27501,            0.049098,           0.0079196,           0.0030865,          0.00093862,          0.00093862,          0.00093862
                  64,             0.04619,           0.0099448,           0.0047057,             0.81918,             0.64281,             0.66689,             0.30194,            0.045473,           0.0076533,           0.0031472,          0.00093763,          0.00093763,          0.00093763
                  65,            0.045661,           0.0099849,           0.0048198,              0.8056,              0.6584,              0.6673,             0.28438,            0.048402,           0.0078149,           0.0032016,          0.00093664,          0.00093664,          0.00093664
                  66,            0.045614,           0.0097782,           0.0045301,             0.79189,               0.644,             0.66212,              0.2901,            0.048436,           0.0079186,            0.003011,          0.00093565,          0.00093565,          0.00093565
                  67,            0.045419,           0.0099131,           0.0047768,             0.80586,             0.62802,              0.6437,             0.27482,            0.049175,           0.0077949,            0.003065,          0.00093466,          0.00093466,          0.00093466
                  68,            0.045032,           0.0097424,           0.0046884,               0.802,             0.64597,             0.67508,             0.29625,            0.048849,           0.0079491,           0.0033983,          0.00093367,          0.00093367,          0.00093367
                  69,            0.045463,           0.0099466,           0.0044886,             0.77755,              0.6981,              0.6947,             0.30416,            0.047311,           0.0076681,           0.0033111,          0.00093268,          0.00093268,          0.00093268
                  70,            0.045373,           0.0098895,           0.0046406,              0.7831,             0.68019,             0.69972,              0.3103,            0.045908,           0.0075863,           0.0029959,          0.00093169,          0.00093169,          0.00093169
                  71,            0.045673,            0.010113,           0.0044346,             0.78269,             0.66555,             0.70669,             0.31519,            0.046664,           0.0076666,           0.0029289,           0.0009307,           0.0009307,           0.0009307
                  72,            0.045595,            0.010055,           0.0045677,             0.79726,             0.63618,              0.6679,             0.29768,             0.04618,           0.0078005,           0.0029573,          0.00092971,          0.00092971,          0.00092971
                  73,            0.044966,           0.0099772,           0.0047151,             0.85103,             0.62927,             0.69855,             0.32397,            0.046353,           0.0076593,            0.003284,          0.00092872,          0.00092872,          0.00092872
                  74,            0.044971,           0.0096246,           0.0044281,             0.77547,             0.67447,             0.71382,             0.30349,            0.048359,           0.0077643,           0.0029447,          0.00092773,          0.00092773,          0.00092773
                  75,            0.044829,           0.0098371,           0.0046937,             0.83075,             0.66152,             0.70902,             0.34099,            0.045181,           0.0075602,           0.0030576,          0.00092674,          0.00092674,          0.00092674
                  76,            0.044779,           0.0098249,           0.0042593,             0.83272,             0.66142,             0.69501,             0.30138,            0.048138,           0.0079533,           0.0029737,          0.00092575,          0.00092575,          0.00092575
                  77,            0.044826,           0.0097731,           0.0043778,             0.78755,             0.66301,             0.68724,             0.29689,            0.048999,           0.0078018,           0.0034903,          0.00092476,          0.00092476,          0.00092476
                  78,            0.044773,           0.0098945,           0.0043689,             0.80216,             0.67125,             0.70106,             0.31236,            0.047283,           0.0077608,           0.0032739,          0.00092377,          0.00092377,          0.00092377
                  79,            0.044577,           0.0096614,           0.0044451,             0.82347,             0.66839,             0.70781,             0.31727,            0.046322,           0.0076261,           0.0030808,          0.00092278,          0.00092278,          0.00092278
                  80,            0.044305,            0.010075,           0.0041918,              0.8286,             0.64291,             0.69724,             0.32073,            0.048285,           0.0078287,           0.0032116,          0.00092179,          0.00092179,          0.00092179
                  81,            0.044416,           0.0097216,           0.0042926,             0.71546,              0.7196,             0.70397,             0.32393,            0.046114,           0.0077167,           0.0032267,           0.0009208,           0.0009208,           0.0009208
                  82,             0.04466,           0.0096986,           0.0044854,             0.79236,              0.6797,             0.71699,             0.34579,              0.0458,           0.0077336,           0.0030251,          0.00091981,          0.00091981,          0.00091981
                  83,            0.043723,           0.0098414,           0.0042447,             0.83426,             0.65299,               0.698,             0.33012,            0.044928,           0.0076874,           0.0030297,          0.00091882,          0.00091882,          0.00091882
                  84,            0.043739,           0.0095461,           0.0039992,             0.84868,             0.66691,             0.71373,             0.34455,            0.044104,           0.0076371,            0.003185,          0.00091783,          0.00091783,          0.00091783
                  85,            0.044508,           0.0095456,           0.0043103,             0.83137,             0.66913,             0.71363,             0.33189,            0.043954,           0.0075753,           0.0027364,          0.00091684,          0.00091684,          0.00091684
                  86,            0.043999,           0.0099563,           0.0046297,             0.86041,             0.66445,             0.71761,              0.3384,            0.044361,           0.0075818,            0.002963,          0.00091585,          0.00091585,          0.00091585
                  87,            0.044049,           0.0097641,           0.0042914,             0.83472,              0.6646,             0.71982,             0.34172,            0.043109,           0.0075194,           0.0029767,          0.00091486,          0.00091486,          0.00091486
                  88,            0.043396,           0.0096633,           0.0042429,             0.86592,             0.66659,             0.72486,             0.36384,            0.044744,           0.0075746,           0.0033581,          0.00091387,          0.00091387,          0.00091387
                  89,            0.044197,           0.0098301,           0.0042639,             0.85751,             0.67121,             0.73014,             0.35154,            0.044455,           0.0076537,           0.0030374,          0.00091288,          0.00091288,          0.00091288
                  90,            0.044337,           0.0098715,           0.0041929,              0.8722,             0.66206,             0.71771,             0.32273,            0.045612,           0.0076895,           0.0029396,          0.00091189,          0.00091189,          0.00091189
                  91,            0.044044,           0.0095434,           0.0040916,             0.82375,             0.67047,             0.70474,             0.31135,            0.046311,           0.0077439,           0.0033551,           0.0009109,           0.0009109,           0.0009109
                  92,            0.043389,           0.0096242,           0.0042247,             0.79376,             0.68494,             0.71339,             0.32973,            0.044974,           0.0075811,           0.0030878,          0.00090991,          0.00090991,          0.00090991
                  93,            0.043823,           0.0097036,           0.0041714,              0.8178,             0.67237,             0.70688,             0.33929,            0.044787,           0.0076559,           0.0028265,          0.00090892,          0.00090892,          0.00090892
                  94,            0.043226,           0.0093837,           0.0045222,             0.81412,             0.67819,             0.70721,             0.32472,            0.045111,           0.0076949,           0.0027455,          0.00090793,          0.00090793,          0.00090793
                  95,            0.043499,           0.0096254,           0.0037455,             0.80954,             0.67744,              0.7229,             0.33923,             0.04501,           0.0075816,           0.0029388,          0.00090694,          0.00090694,          0.00090694
                  96,            0.043201,           0.0097001,           0.0039616,              0.8306,             0.67422,             0.71266,             0.33829,            0.044041,           0.0077025,           0.0031075,          0.00090595,          0.00090595,          0.00090595
                  97,            0.043357,           0.0097346,           0.0041316,             0.86145,             0.64953,             0.70733,             0.33241,            0.044433,           0.0075649,           0.0028258,          0.00090496,          0.00090496,          0.00090496
                  98,            0.043467,           0.0097073,           0.0042987,             0.85117,             0.65892,             0.71381,             0.34339,             0.04448,            0.007573,           0.0032032,          0.00090397,          0.00090397,          0.00090397
                  99,            0.043289,           0.0095158,           0.0035676,             0.87387,             0.65681,             0.71552,             0.34425,            0.044007,           0.0075449,           0.0030818,          0.00090298,          0.00090298,          0.00090298
                 100,            0.043176,           0.0095983,           0.0041258,              0.8154,             0.67371,             0.70655,             0.34453,            0.044657,           0.0075798,           0.0031695,          0.00090199,          0.00090199,          0.00090199
                 101,            0.042792,           0.0096296,           0.0041257,             0.80947,             0.67689,             0.69196,             0.33975,            0.044573,           0.0076271,           0.0031305,            0.000901,            0.000901,            0.000901
                 102,            0.042752,           0.0095987,           0.0037418,             0.86202,             0.62834,             0.68175,             0.33451,            0.044616,            0.007691,           0.0028214,          0.00090001,          0.00090001,          0.00090001
                 103,            0.043152,           0.0095409,           0.0040852,             0.84461,             0.63593,              0.6938,             0.32861,            0.045929,           0.0077148,           0.0039194,          0.00089902,          0.00089902,          0.00089902
                 104,             0.04272,            0.009509,           0.0037097,             0.76653,             0.69748,             0.70379,              0.3457,            0.044016,            0.007533,           0.0033073,          0.00089803,          0.00089803,          0.00089803
                 105,            0.042911,           0.0098359,           0.0037123,             0.82301,             0.65485,             0.71593,              0.3481,            0.042943,           0.0074936,           0.0031044,          0.00089704,          0.00089704,          0.00089704
                 106,            0.042435,           0.0095119,           0.0037719,             0.77492,             0.69663,             0.72844,             0.35155,            0.044342,           0.0076596,           0.0028028,          0.00089605,          0.00089605,          0.00089605
                 107,            0.042702,           0.0097244,           0.0039144,              0.8431,             0.67709,             0.72531,              0.3448,            0.043956,           0.0075623,           0.0026647,          0.00089506,          0.00089506,          0.00089506
                 108,            0.043174,           0.0095917,           0.0039002,             0.80081,             0.69136,             0.72252,             0.34963,            0.044266,           0.0075905,           0.0029822,          0.00089407,          0.00089407,          0.00089407
                 109,            0.042607,           0.0095787,           0.0039457,             0.82239,             0.68145,             0.71489,             0.33043,            0.045647,           0.0077681,           0.0031557,          0.00089308,          0.00089308,          0.00089308
                 110,            0.042456,           0.0096071,           0.0035836,             0.87779,             0.68896,             0.73052,             0.35259,             0.04381,           0.0075678,           0.0027966,          0.00089209,          0.00089209,          0.00089209
                 111,            0.041934,           0.0095354,           0.0039662,             0.82527,             0.69729,             0.72165,             0.36184,            0.044018,            0.007535,            0.002982,           0.0008911,           0.0008911,           0.0008911
                 112,            0.042492,           0.0098448,           0.0039916,             0.83588,             0.69844,             0.72871,             0.36326,            0.043213,           0.0074328,             0.00301,          0.00089011,          0.00089011,          0.00089011
                 113,            0.042132,           0.0095623,            0.003464,             0.84819,             0.67237,             0.73652,             0.36365,            0.043152,           0.0074856,           0.0028805,          0.00088912,          0.00088912,          0.00088912
                 114,            0.042561,           0.0094673,           0.0037441,             0.84063,             0.65888,             0.71867,             0.35101,             0.04312,           0.0074984,           0.0027097,          0.00088813,          0.00088813,          0.00088813
                 115,             0.04191,           0.0095596,           0.0033054,             0.86492,             0.66938,             0.74441,              0.3686,            0.043589,           0.0074077,           0.0028641,          0.00088714,          0.00088714,          0.00088714
                 116,            0.041752,            0.009277,            0.003626,             0.82353,             0.70078,             0.73784,             0.35714,            0.044235,           0.0074813,           0.0027115,          0.00088615,          0.00088615,          0.00088615
                 117,            0.042622,           0.0094258,           0.0041719,             0.77539,             0.69758,             0.72791,             0.33929,            0.043732,           0.0074538,           0.0027337,          0.00088516,          0.00088516,          0.00088516
                 118,            0.041957,           0.0093536,           0.0038686,             0.87636,              0.6542,             0.72273,             0.36165,            0.043496,            0.007435,           0.0028627,          0.00088417,          0.00088417,          0.00088417
                 119,            0.042234,           0.0095491,           0.0039052,              0.8841,             0.67817,             0.74711,             0.37025,            0.044471,           0.0074482,           0.0032392,          0.00088318,          0.00088318,          0.00088318
                 120,            0.041956,            0.009426,           0.0033189,             0.82856,             0.67376,             0.72398,              0.3606,            0.043858,           0.0074336,           0.0031687,          0.00088219,          0.00088219,          0.00088219
                 121,            0.041893,           0.0095041,           0.0032598,             0.80031,             0.67948,             0.72065,             0.35056,            0.043662,            0.007416,            0.002965,           0.0008812,           0.0008812,           0.0008812
                 122,            0.042287,           0.0093578,           0.0035539,             0.82735,             0.68718,             0.72995,             0.37275,            0.042725,           0.0073362,           0.0028251,          0.00088021,          0.00088021,          0.00088021
                 123,            0.041664,           0.0095879,           0.0033895,             0.87723,             0.67804,             0.73832,             0.36338,            0.043157,           0.0073747,            0.002851,          0.00087922,          0.00087922,          0.00087922
                 124,            0.041692,           0.0093453,           0.0038571,             0.86846,             0.65974,             0.73663,             0.36624,            0.042042,           0.0072949,           0.0030254,          0.00087823,          0.00087823,          0.00087823
                 125,            0.041296,            0.009252,           0.0037048,             0.82021,             0.71268,             0.74238,             0.34914,            0.042703,           0.0073412,           0.0027598,          0.00087724,          0.00087724,          0.00087724
                 126,            0.041907,           0.0094302,           0.0039097,             0.82559,             0.71946,             0.73975,             0.36025,            0.042873,           0.0072488,           0.0027184,          0.00087625,          0.00087625,          0.00087625
                 127,             0.04191,           0.0094063,           0.0037431,             0.81024,             0.71247,              0.7338,             0.37397,            0.041846,           0.0072727,             0.00298,          0.00087526,          0.00087526,          0.00087526
                 128,            0.041571,            0.009224,            0.004087,             0.82787,             0.69271,              0.7352,             0.35562,            0.042945,           0.0073442,           0.0028882,          0.00087427,          0.00087427,          0.00087427
                 129,            0.041749,           0.0095486,           0.0032716,             0.83645,             0.70149,             0.73732,             0.35574,            0.042699,           0.0072792,           0.0026572,          0.00087328,          0.00087328,          0.00087328
                 130,            0.041532,           0.0094423,           0.0039287,             0.83715,             0.70911,             0.74208,             0.37089,            0.042968,           0.0073286,           0.0028353,          0.00087229,          0.00087229,          0.00087229
                 131,            0.040937,           0.0091908,           0.0034421,             0.86266,             0.70686,             0.72928,             0.37253,            0.042642,           0.0073303,           0.0028336,           0.0008713,           0.0008713,           0.0008713
                 132,             0.04155,           0.0091954,           0.0037793,             0.83832,             0.70615,             0.73285,             0.36364,            0.042699,           0.0074459,           0.0027368,          0.00087031,          0.00087031,          0.00087031
                 133,            0.041577,           0.0092251,           0.0031107,             0.80923,             0.72633,             0.74163,             0.36705,            0.042975,           0.0073616,           0.0027819,          0.00086932,          0.00086932,          0.00086932
                 134,            0.041492,            0.009496,           0.0032569,             0.84141,             0.70822,             0.75232,             0.37767,            0.042448,           0.0073018,           0.0026836,          0.00086833,          0.00086833,          0.00086833
                 135,            0.041166,           0.0094989,           0.0034588,             0.87057,             0.69578,             0.73928,             0.36108,            0.042801,           0.0073506,           0.0025476,          0.00086734,          0.00086734,          0.00086734
                 136,            0.040279,           0.0091158,           0.0034843,             0.82912,             0.70757,             0.73295,             0.36097,            0.043182,           0.0074217,           0.0027105,          0.00086635,          0.00086635,          0.00086635
                 137,            0.041452,           0.0094695,           0.0034465,             0.82361,             0.70913,             0.72863,             0.35259,            0.043621,           0.0074555,           0.0028564,          0.00086536,          0.00086536,          0.00086536
                 138,            0.040267,           0.0090752,           0.0035131,             0.78931,             0.70155,             0.71315,             0.35487,            0.042993,           0.0073691,           0.0029328,          0.00086437,          0.00086437,          0.00086437
                 139,            0.041236,           0.0093916,           0.0032327,             0.87787,             0.66157,             0.71194,              0.3382,            0.044383,           0.0074485,           0.0029782,          0.00086338,          0.00086338,          0.00086338
                 140,            0.041054,           0.0092005,           0.0033767,             0.84357,             0.68642,             0.72995,             0.34064,            0.043302,           0.0073764,           0.0029167,          0.00086239,          0.00086239,          0.00086239
                 141,            0.040978,           0.0092285,           0.0031421,             0.84531,             0.67287,             0.71983,             0.35241,            0.042773,           0.0073425,           0.0028963,           0.0008614,           0.0008614,           0.0008614
                 142,            0.040749,           0.0093455,           0.0032457,             0.84267,             0.70352,             0.73753,             0.35708,            0.042507,           0.0073289,           0.0030311,          0.00086041,          0.00086041,          0.00086041
                 143,            0.040995,           0.0092105,           0.0032405,             0.81154,             0.71518,             0.75148,             0.36814,            0.042132,           0.0072758,            0.002924,          0.00085942,          0.00085942,          0.00085942
                 144,            0.040776,            0.009248,           0.0034088,             0.84904,             0.69251,             0.74634,             0.35931,            0.042244,           0.0072775,           0.0028938,          0.00085843,          0.00085843,          0.00085843
                 145,            0.040809,           0.0092558,           0.0035548,             0.85397,             0.70964,              0.7522,             0.36652,            0.042609,           0.0073532,           0.0028541,          0.00085744,          0.00085744,          0.00085744
                 146,            0.040946,           0.0091506,           0.0034211,             0.79603,             0.69718,             0.73494,             0.36626,            0.042225,           0.0072607,           0.0028246,          0.00085645,          0.00085645,          0.00085645
                 147,            0.040339,           0.0093104,           0.0034641,             0.80771,             0.71851,             0.75465,             0.38564,            0.041923,           0.0072191,            0.002893,          0.00085546,          0.00085546,          0.00085546
                 148,            0.040124,           0.0092612,           0.0031435,             0.87362,             0.71979,             0.76692,             0.39837,            0.042317,           0.0073103,           0.0028523,          0.00085447,          0.00085447,          0.00085447
