               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1208,            0.029165,                   0,           0.0037729,            0.018519,           0.0010014,          0.00016765,             0.10094,            0.024906,                   0,              0.0011,              0.0011,              0.0901
                   1,             0.10323,            0.026263,                   0,            0.044345,            0.037037,           0.0050337,           0.0008968,            0.090032,            0.021784,                   0,           0.0022241,           0.0022241,            0.079224
                   2,            0.094173,            0.025391,                   0,            0.015215,             0.18519,           0.0055935,           0.0010201,            0.083049,            0.019267,                   0,            0.003269,            0.003269,            0.068269
                   3,            0.087912,            0.024514,                   0,            0.030768,              0.2037,            0.014685,           0.0021811,            0.078372,            0.017746,                   0,           0.0042347,           0.0042347,            0.057235
                   4,            0.081868,            0.023864,                   0,             0.16326,             0.11111,             0.04326,           0.0065586,            0.078788,            0.016429,                   0,           0.0051212,           0.0051212,            0.046121
                   5,            0.077181,             0.02225,                   0,             0.26009,            0.092593,            0.049996,            0.012841,            0.073855,             0.01612,                   0,           0.0059285,           0.0059285,            0.034929
                   6,            0.078623,            0.021885,                   0,             0.15241,             0.14815,            0.052802,           0.0075004,            0.073665,             0.01511,                   0,           0.0066566,           0.0066566,            0.023657
                   7,             0.07266,            0.021202,                   0,             0.11665,             0.35185,             0.11432,            0.024918,             0.07507,            0.013566,                   0,           0.0073055,           0.0073055,            0.012305
                   8,            0.070407,            0.020057,                   0,             0.10485,                 0.5,               0.123,            0.031698,            0.071548,            0.014225,                   0,             0.00736,             0.00736,             0.00736
                   9,            0.068707,            0.022144,                   0,             0.27252,                 0.5,             0.25179,             0.06377,            0.062314,            0.014278,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.061958,            0.021788,                   0,             0.27706,             0.38889,             0.18846,            0.052463,            0.059587,            0.013934,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.057405,            0.021737,                   0,             0.25562,             0.55556,             0.23921,            0.058463,            0.056304,              0.0137,                   0,              0.0067,              0.0067,              0.0067
                  12,              0.0532,            0.020665,                   0,             0.44311,             0.38889,             0.31109,              0.1064,            0.054694,            0.013572,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.057112,            0.017751,                   0,             0.51164,             0.64815,             0.49163,             0.13712,            0.052937,            0.012339,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.046894,            0.017868,                   0,             0.41513,             0.55556,             0.39284,             0.15423,            0.048583,            0.012314,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.047299,            0.017731,                   0,             0.51654,             0.62963,             0.53088,             0.18854,            0.048534,            0.011487,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.046278,            0.016104,                   0,             0.49192,             0.64548,             0.56479,             0.23157,            0.045028,            0.011421,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.043729,            0.015462,                   0,              0.6882,             0.57407,             0.69709,              0.3479,            0.042229,            0.010684,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.040209,            0.014779,                   0,             0.72903,             0.64815,             0.73877,             0.30015,            0.045084,           0.0097589,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.043405,            0.014304,                   0,             0.80422,             0.68519,             0.77599,             0.42364,            0.038988,           0.0098415,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.039506,            0.013767,                   0,             0.89466,             0.62963,             0.80052,              0.4287,            0.036795,           0.0096822,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.038284,            0.013786,                   0,             0.67141,             0.87037,             0.82009,             0.46943,            0.034417,           0.0096869,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.035391,             0.01246,                   0,             0.85673,             0.77778,               0.862,             0.46701,            0.037014,           0.0088057,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.035207,            0.012526,                   0,             0.87215,             0.75926,             0.86943,              0.4961,            0.032568,           0.0086232,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.032005,            0.011257,                   0,             0.74485,             0.81481,             0.81937,             0.44162,            0.036706,           0.0088935,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.031278,              0.0116,                   0,             0.91289,             0.77778,              0.8945,             0.56103,            0.030269,           0.0082026,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.030509,            0.010638,                   0,             0.79993,             0.88848,              0.9104,             0.58812,            0.028649,            0.008006,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.029397,            0.010561,                   0,             0.76845,             0.92593,             0.90509,             0.57464,            0.029261,           0.0078861,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.030649,            0.010531,                   0,             0.87755,             0.79627,              0.8944,             0.54892,            0.029904,           0.0078351,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.028782,           0.0099717,                   0,             0.89962,             0.83333,             0.90436,             0.56261,            0.029316,           0.0077778,                   0,             0.00076,             0.00076,             0.00076
