               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12442,            0.029655,                   0,           0.0032597,            0.018519,          0.00094693,          0.00017205,             0.11377,            0.025497,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11073,            0.027146,                   0,           0.0067576,             0.11111,           0.0019816,          0.00044853,            0.096155,            0.022137,                   0,           0.0010637,           0.0010637,            0.090064
                   2,             0.10035,            0.024248,                   0,            0.011849,            0.037037,           0.0027954,          0.00038819,            0.091721,            0.019397,                   0,           0.0015878,           0.0015878,            0.084588
                   3,            0.093959,            0.023223,                   0,            0.033394,            0.055556,            0.021771,            0.002662,            0.084552,            0.018467,                   0,           0.0020723,           0.0020723,            0.079072
                   4,            0.087353,            0.023613,                   0,             0.05496,            0.037037,            0.014051,           0.0018304,            0.081205,            0.017765,                   0,           0.0025172,           0.0025172,            0.073517
                   5,             0.08397,            0.024469,                   0,            0.070161,             0.11111,            0.042396,           0.0089331,            0.076071,            0.017604,                   0,           0.0029225,           0.0029225,            0.067922
                   6,            0.079607,            0.022875,                   0,            0.067492,             0.12963,            0.031839,           0.0051643,            0.076445,            0.016773,                   0,           0.0032882,           0.0032882,            0.062288
                   7,            0.075677,            0.022645,                   0,             0.14536,             0.12963,            0.074468,           0.0093936,            0.074422,            0.016271,                   0,           0.0036143,           0.0036143,            0.056614
                   8,            0.074033,            0.024206,                   0,             0.14429,             0.12963,            0.048232,           0.0087559,            0.075939,            0.015142,                   0,           0.0039008,           0.0039008,            0.050901
                   9,             0.08238,            0.021999,                   0,             0.15614,             0.22222,            0.082959,              0.0151,            0.077437,            0.015048,                   0,           0.0041477,           0.0041477,            0.045148
                  10,            0.075824,             0.02121,                   0,             0.13554,             0.24074,              0.1117,            0.022465,            0.065563,            0.016237,                   0,            0.004355,            0.004355,            0.039355
                  11,            0.067115,            0.024801,                   0,             0.30628,             0.27778,              0.1727,            0.045248,            0.069251,            0.014751,                   0,           0.0045227,           0.0045227,            0.033523
                  12,            0.066218,            0.023081,                   0,              0.2713,             0.35185,             0.21421,             0.05475,            0.061968,            0.015253,                   0,           0.0046508,           0.0046508,            0.027651
                  13,            0.057715,            0.021699,                   0,             0.22197,              0.2963,             0.21102,            0.045208,            0.062386,            0.014593,                   0,           0.0047393,           0.0047393,            0.021739
                  14,            0.064021,            0.020282,                   0,             0.17189,             0.46296,             0.15292,            0.040469,            0.059398,            0.014535,                   0,           0.0047882,           0.0047882,            0.015788
                  15,            0.056145,            0.020602,                   0,             0.38038,             0.44444,             0.32603,            0.058227,            0.058876,             0.01341,                   0,           0.0047975,           0.0047975,           0.0097975
                  16,            0.053221,            0.020841,                   0,             0.28565,             0.48134,             0.28618,            0.072665,            0.056027,            0.013319,                   0,             0.00472,             0.00472,             0.00472
                  17,            0.051613,            0.019414,                   0,             0.47205,             0.53704,             0.43423,             0.13172,            0.053758,            0.013499,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.052521,            0.018667,                   0,             0.50849,             0.53704,             0.44106,             0.13692,            0.050932,            0.013778,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.047767,            0.018674,                   0,             0.51555,             0.61094,             0.49502,             0.15129,            0.052003,            0.012447,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.048285,            0.016542,                   0,             0.50856,             0.53658,              0.4461,             0.15246,            0.045643,            0.012606,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.044036,            0.016441,                   0,             0.63996,             0.59259,             0.60767,             0.20786,            0.044224,            0.012494,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.042185,            0.014645,                   0,             0.79029,             0.62963,             0.75875,             0.33151,             0.04228,            0.011436,                   0,             0.00307,             0.00307,             0.00307
                  23,             0.03878,            0.014072,                   0,              0.8331,             0.64708,             0.77801,             0.35437,            0.038731,            0.011391,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.038393,             0.01376,                   0,             0.79999,             0.66664,             0.79171,             0.38263,            0.035796,            0.010365,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.035435,            0.013398,                   0,             0.79629,             0.79627,             0.81988,             0.40778,            0.036972,           0.0096115,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.033669,            0.013286,                   0,             0.79608,              0.7963,             0.84848,             0.46921,            0.034264,           0.0095333,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.031842,            0.012723,                   0,             0.79629,             0.79627,             0.86083,             0.47962,            0.034318,           0.0092039,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.031686,            0.012805,                   0,             0.91109,              0.7591,             0.87421,             0.47194,            0.034381,           0.0090028,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.031162,            0.011758,                   0,             0.95341,             0.75926,             0.88093,             0.50933,            0.033311,           0.0087701,                   0,             0.00076,             0.00076,             0.00076
