               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064855,            0.036585,            0.027155,             0.88694,             0.32104,             0.34577,             0.19698,            0.049457,            0.012354,            0.022278,            0.070052,           0.0033276,           0.0033276
                   1,            0.044635,            0.030392,            0.015078,             0.75913,             0.38909,              0.4285,             0.25617,            0.043123,              0.0118,            0.015807,            0.040045,           0.0066543,           0.0066543
                   2,            0.042289,            0.029611,            0.012739,              0.7533,              0.4159,             0.44334,             0.23352,            0.046097,            0.011926,            0.014069,            0.010032,           0.0099745,           0.0099745
                   3,            0.040063,            0.030024,            0.011889,             0.68518,             0.46417,             0.50867,             0.29792,            0.039243,            0.011467,            0.012113,           0.0099703,           0.0099703,           0.0099703
                   4,            0.036989,            0.028996,            0.010727,             0.81947,             0.48048,             0.54777,             0.32171,            0.038107,            0.011603,            0.012656,           0.0099703,           0.0099703,           0.0099703
                   5,            0.035388,            0.029167,           0.0097368,             0.64034,             0.52884,             0.53167,             0.32487,            0.036708,            0.011096,            0.011841,           0.0099604,           0.0099604,           0.0099604
                   6,             0.03447,            0.028274,            0.009014,             0.68336,             0.51263,              0.5456,             0.31116,            0.038246,            0.011203,             0.01338,           0.0099505,           0.0099505,           0.0099505
                   7,            0.033616,             0.02826,           0.0089866,              0.7087,             0.55699,             0.59712,             0.37306,            0.036521,            0.010803,           0.0093966,           0.0099406,           0.0099406,           0.0099406
                   8,            0.032941,            0.027719,           0.0084315,             0.63851,               0.546,             0.57446,             0.35971,            0.034626,            0.010719,           0.0091557,           0.0099307,           0.0099307,           0.0099307
                   9,            0.032286,            0.027377,           0.0077041,             0.71569,             0.55708,             0.60502,             0.38095,            0.033455,            0.010601,           0.0088486,           0.0099208,           0.0099208,           0.0099208
                  10,            0.031662,            0.026983,           0.0074633,             0.67262,             0.56029,             0.57924,              0.3527,            0.034655,            0.010702,            0.009615,           0.0099109,           0.0099109,           0.0099109
                  11,             0.03154,            0.027374,           0.0074344,             0.64037,              0.6171,             0.60945,             0.39989,             0.03311,            0.010147,           0.0096169,            0.009901,            0.009901,            0.009901
                  12,            0.031343,            0.027234,           0.0075177,              0.7725,             0.58085,              0.6247,              0.3804,            0.032848,            0.010572,           0.0089997,           0.0098911,           0.0098911,           0.0098911
                  13,            0.031149,            0.026714,           0.0071584,             0.79599,             0.57073,             0.63099,             0.40813,            0.032472,            0.010374,           0.0088584,           0.0098812,           0.0098812,           0.0098812
                  14,            0.030589,            0.026876,           0.0071819,             0.72695,             0.58012,             0.61333,             0.41051,            0.033098,            0.010223,           0.0094865,           0.0098713,           0.0098713,           0.0098713
                  15,            0.030404,            0.026295,           0.0068524,              0.7214,             0.60228,             0.63728,             0.40994,             0.03321,            0.010244,           0.0085774,           0.0098614,           0.0098614,           0.0098614
                  16,            0.029995,            0.026059,           0.0067888,              0.7538,             0.54443,             0.59978,             0.38137,            0.032493,             0.01031,           0.0097121,           0.0098515,           0.0098515,           0.0098515
                  17,             0.03011,            0.026335,           0.0067859,             0.71218,             0.60538,             0.62555,               0.404,            0.032747,            0.010457,             0.00755,           0.0098416,           0.0098416,           0.0098416
                  18,            0.029795,            0.026252,           0.0065612,             0.79448,             0.56824,             0.63026,             0.41011,            0.031434,            0.010286,            0.007242,           0.0098317,           0.0098317,           0.0098317
                  19,            0.029725,            0.026055,           0.0067415,             0.76694,             0.61613,             0.65397,             0.42766,            0.032651,            0.010278,           0.0081244,           0.0098218,           0.0098218,           0.0098218
                  20,            0.029357,            0.026117,           0.0061594,             0.76179,             0.63438,             0.67433,             0.43247,            0.031684,            0.010052,            0.008546,           0.0098119,           0.0098119,           0.0098119
                  21,            0.029247,            0.026219,            0.006217,             0.70069,             0.61884,             0.64266,             0.41438,            0.031925,            0.010151,            0.009152,            0.009802,            0.009802,            0.009802
                  22,            0.029188,            0.025839,            0.006299,             0.69467,              0.6354,               0.663,             0.43664,            0.031698,           0.0099953,           0.0088294,           0.0097921,           0.0097921,           0.0097921
                  23,            0.028701,            0.025421,           0.0057373,             0.70833,             0.58931,             0.62407,             0.41426,            0.031348,            0.010076,           0.0082479,           0.0097822,           0.0097822,           0.0097822
                  24,            0.028614,            0.025751,           0.0058732,             0.71401,             0.62156,             0.63972,              0.4197,            0.031196,            0.010084,           0.0093662,           0.0097723,           0.0097723,           0.0097723
                  25,            0.028659,            0.025391,           0.0057808,             0.71007,             0.62688,             0.64201,             0.41237,            0.031294,            0.010111,           0.0093973,           0.0097624,           0.0097624,           0.0097624
                  26,            0.028727,            0.025716,           0.0059429,             0.69577,             0.60541,             0.62592,             0.41175,            0.031546,             0.01018,            0.010479,           0.0097525,           0.0097525,           0.0097525
                  27,            0.028742,            0.025569,           0.0059493,             0.77062,             0.60144,             0.63757,             0.42108,            0.030649,            0.010078,           0.0081489,           0.0097426,           0.0097426,           0.0097426
                  28,            0.028484,            0.025243,           0.0056605,             0.78538,             0.60789,             0.64452,             0.41684,            0.030893,           0.0099996,           0.0091824,           0.0097327,           0.0097327,           0.0097327
                  29,             0.02821,            0.025465,           0.0057047,             0.79335,             0.58892,             0.64427,             0.42755,            0.031164,            0.010204,           0.0083665,           0.0097228,           0.0097228,           0.0097228
                  30,            0.028272,            0.025671,           0.0053624,             0.75883,             0.58416,             0.64956,             0.43178,            0.031197,            0.010044,           0.0091583,           0.0097129,           0.0097129,           0.0097129
                  31,            0.028246,            0.024906,            0.005704,             0.80829,             0.61639,             0.68858,              0.4554,            0.030532,             0.00978,           0.0084644,            0.009703,            0.009703,            0.009703
                  32,            0.027946,            0.025271,           0.0051372,             0.79596,             0.59874,             0.64898,             0.43766,            0.031306,           0.0098193,           0.0093357,           0.0096931,           0.0096931,           0.0096931
                  33,            0.027717,            0.025483,           0.0050932,             0.72347,             0.64245,             0.66398,             0.44699,            0.030136,           0.0099749,           0.0082412,           0.0096832,           0.0096832,           0.0096832
                  34,             0.02775,            0.024872,           0.0051121,             0.81911,             0.59905,             0.67497,             0.46824,            0.030049,           0.0098755,           0.0075229,           0.0096733,           0.0096733,           0.0096733
                  35,            0.027728,            0.024879,           0.0051773,             0.80939,             0.61334,             0.67348,             0.44825,            0.030415,           0.0098845,           0.0080776,           0.0096634,           0.0096634,           0.0096634
                  36,            0.027792,            0.024958,           0.0051656,             0.75985,             0.62688,             0.67292,              0.4403,             0.03027,           0.0098229,           0.0080153,           0.0096535,           0.0096535,           0.0096535
                  37,            0.027636,            0.024701,           0.0051012,             0.81684,             0.59847,             0.65716,             0.44532,            0.029939,           0.0097264,           0.0081369,           0.0096436,           0.0096436,           0.0096436
                  38,            0.027495,            0.024711,           0.0049705,             0.77679,              0.6364,              0.6802,             0.44921,            0.030393,           0.0097538,           0.0084075,           0.0096337,           0.0096337,           0.0096337
                  39,              0.0276,            0.025142,            0.005255,             0.78847,              0.6385,              0.6924,             0.46501,            0.029925,           0.0097761,           0.0080002,           0.0096238,           0.0096238,           0.0096238
