               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12101,            0.028958,                   0,           0.0032945,             0.16667,           0.0014548,          0.00020556,             0.10199,             0.02475,                   0,              0.0011,              0.0011,              0.0901
                   1,             0.10315,            0.026449,                   0,              0.4583,            0.018519,            0.009735,           0.0049595,            0.092822,            0.021346,                   0,           0.0022924,           0.0022924,            0.079292
                   2,            0.094317,             0.02501,                   0,            0.035143,             0.12963,            0.025243,              0.0065,            0.084414,            0.018915,                   0,           0.0034769,           0.0034769,            0.068477
                   3,            0.086274,            0.023377,                   0,            0.034887,            0.092593,            0.011837,           0.0015844,            0.079041,            0.017781,                   0,           0.0046535,           0.0046535,            0.057653
                   4,            0.082228,            0.023038,                   0,              0.0422,             0.16667,            0.011887,           0.0020948,            0.077781,            0.016493,                   0,           0.0058221,           0.0058221,            0.046822
                   5,            0.079711,            0.023887,                   0,            0.085784,             0.22222,            0.038928,           0.0063569,            0.076416,             0.01608,                   0,           0.0069829,           0.0069829,            0.035983
                   6,            0.078108,            0.021118,                   0,             0.10834,             0.16667,            0.061947,            0.019164,            0.075324,            0.015003,                   0,           0.0081357,           0.0081357,            0.025136
                   7,            0.074541,            0.022235,                   0,             0.11041,             0.42593,            0.099375,            0.026937,             0.07325,            0.014788,                   0,           0.0092806,           0.0092806,            0.014281
                   8,            0.073363,            0.020879,                   0,             0.10405,             0.24074,             0.06789,            0.011413,            0.071833,            0.013993,                   0,            0.009736,            0.009736,            0.009736
                   9,            0.068006,            0.020452,                   0,             0.17807,             0.53704,             0.15483,            0.030338,            0.065904,            0.014636,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.060358,            0.020634,                   0,             0.20513,             0.46296,             0.16197,            0.026803,            0.066135,            0.015839,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.063664,            0.018923,                   0,             0.21547,             0.33333,             0.17457,            0.050141,            0.059679,             0.01715,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.052628,            0.019724,                   0,             0.34627,             0.38889,             0.23717,            0.074938,            0.057656,            0.014567,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.055123,            0.019312,                   0,             0.25393,             0.57407,             0.23221,            0.062234,            0.056862,            0.013946,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.057618,            0.015772,                   0,             0.41897,             0.62762,             0.37271,             0.11786,            0.054143,            0.012552,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.052321,            0.015941,                   0,             0.44057,             0.55556,             0.38044,             0.16157,            0.053315,             0.01288,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.04904,            0.016903,                   0,             0.53055,             0.62788,              0.5302,             0.20098,            0.048563,            0.011552,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.048622,            0.014785,                   0,             0.55711,             0.62963,             0.52692,              0.2384,             0.04715,            0.010777,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.04759,            0.014885,                   0,             0.65004,             0.75679,              0.6877,             0.28308,            0.042878,           0.0098887,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.041565,            0.013559,                   0,              0.8103,              0.7963,             0.85338,             0.45404,            0.038089,           0.0091173,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.043403,            0.014166,                   0,             0.80475,             0.61061,              0.6999,             0.33931,            0.043561,           0.0092402,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.04291,            0.013644,                   0,             0.78933,             0.62963,              0.7134,             0.34407,            0.037022,           0.0097465,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.045249,            0.013739,                   0,             0.70154,             0.83333,             0.75533,             0.39785,             0.03671,           0.0082859,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.040229,            0.012462,                   0,             0.88548,             0.72222,             0.84836,             0.43825,            0.038314,           0.0084747,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.040251,            0.012062,                   0,             0.58724,             0.68502,             0.62065,             0.31837,            0.047163,           0.0096716,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.042709,            0.011055,                   0,              0.7189,             0.75926,             0.68758,             0.31331,            0.040516,           0.0089891,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.036667,            0.011924,                   0,             0.76874,             0.74074,             0.77701,              0.3457,            0.042691,            0.008247,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.037977,            0.010602,                   0,             0.87644,              0.7963,              0.8479,             0.45395,            0.036157,           0.0078557,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.037852,            0.010458,                   0,             0.91481,             0.79548,             0.89825,             0.49837,            0.038036,           0.0072565,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.03533,           0.0099327,                   0,             0.93478,             0.79627,             0.93389,               0.526,            0.034366,           0.0070143,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.035709,            0.010967,                   0,             0.91836,             0.83326,             0.91666,             0.54514,            0.032701,           0.0075453,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.036472,            0.010167,                   0,             0.89027,             0.90741,             0.95771,             0.54858,            0.032637,           0.0071211,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.034453,            0.010282,                   0,             0.95555,             0.79626,             0.92669,              0.5295,            0.032119,           0.0075001,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.032149,           0.0098526,                   0,             0.89644,             0.96181,             0.96461,             0.54487,            0.031233,           0.0071907,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.039019,           0.0098644,                   0,              0.9454,             0.96296,              0.9664,              0.6022,            0.029873,            0.006735,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.033413,            0.009555,                   0,             0.91123,             0.57407,             0.68232,             0.32624,            0.042996,            0.010634,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.037832,           0.0097704,                   0,             0.75371,             0.85185,             0.83327,             0.48671,             0.03427,           0.0085387,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.034609,           0.0099492,                   0,             0.91852,             0.85185,             0.93902,             0.51351,            0.032074,           0.0076336,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.032994,           0.0099781,                   0,             0.89213,             0.92593,             0.96065,             0.55855,            0.029714,           0.0075392,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.033771,           0.0093592,                   0,             0.84738,             0.92593,             0.94275,             0.44037,            0.036706,           0.0070001,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.034584,            0.010019,                   0,             0.87091,             0.99948,             0.97463,             0.54705,            0.028878,           0.0069582,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.028772,           0.0090683,                   0,             0.95744,             0.83328,             0.95387,             0.57034,            0.030711,           0.0069438,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.031427,           0.0091989,                   0,             0.96078,              0.9074,             0.95798,             0.59832,            0.029067,           0.0067915,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.033869,             0.01014,                   0,             0.85687,             0.88889,             0.91641,             0.49617,            0.032711,           0.0072355,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.031987,           0.0086145,                   0,             0.97971,             0.90741,             0.96386,             0.62246,            0.027942,           0.0065635,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.028958,           0.0086728,                   0,             0.91227,             0.96285,             0.96116,             0.60629,            0.028388,           0.0063807,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.032374,           0.0084258,                   0,             0.94118,             0.88887,             0.94249,             0.63298,            0.027175,           0.0071248,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.030148,           0.0084616,                   0,             0.90558,             0.88889,             0.94244,              0.5708,            0.030388,           0.0069252,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.030008,           0.0086721,                   0,              0.9258,             0.92593,              0.9648,              0.6208,            0.027189,           0.0068716,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.028659,           0.0080752,                   0,             0.96072,             0.90741,             0.96663,             0.53985,            0.032216,           0.0062957,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.031154,            0.008489,                   0,             0.90907,             0.92593,             0.94858,             0.63803,            0.026959,           0.0061423,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.029984,           0.0084972,                   0,             0.92719,             0.94444,                0.95,             0.54501,            0.031536,           0.0060568,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.030722,           0.0079841,                   0,             0.94438,             0.94333,             0.97318,             0.62127,            0.026427,           0.0060043,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.028321,            0.007565,                   0,             0.96153,              0.9258,             0.97012,              0.5786,             0.02854,           0.0057157,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.026671,           0.0084169,                   0,             0.94339,             0.92586,             0.96895,             0.61165,            0.026194,           0.0058741,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.028856,           0.0077987,                   0,             0.92982,             0.98138,             0.97416,             0.58248,            0.026945,           0.0058185,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.031603,           0.0076895,                   0,             0.96357,             0.98148,             0.97921,             0.61722,            0.027077,           0.0058279,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.029146,           0.0077637,                   0,             0.96283,             0.96296,             0.98427,             0.61032,            0.027223,           0.0057361,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.029791,           0.0078035,                   0,             0.96313,             0.98148,             0.99286,             0.61126,            0.027828,           0.0058137,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.027504,           0.0074687,                   0,             0.96226,             0.94442,             0.98224,             0.59344,            0.029393,           0.0056171,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.028288,           0.0082712,                   0,             0.97994,             0.94444,             0.98063,             0.64161,            0.028519,           0.0056132,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.031145,           0.0082827,                   0,             0.96296,             0.96276,             0.98647,             0.61639,             0.02745,           0.0058033,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.026916,             0.00793,                   0,             0.92962,             0.98148,             0.98903,             0.63067,            0.026865,           0.0057261,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.027068,           0.0070257,                   0,             0.98146,             0.98148,             0.99341,             0.64035,             0.02729,            0.005458,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.02786,            0.007823,                   0,             0.96427,             0.99964,             0.99427,             0.66375,            0.025534,           0.0053993,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.026786,           0.0076718,                   0,             0.96427,                   1,             0.99355,             0.63892,            0.026547,           0.0055239,                   0,            0.007888,            0.007888,            0.007888
