               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062898,            0.020091,            0.039518,             0.79548,             0.15007,             0.15567,            0.066918,            0.036284,           0.0085256,            0.025585,           0.0033304,           0.0033304,            0.070026
                   1,            0.045147,            0.012444,             0.02759,             0.37799,             0.33459,             0.21588,             0.11334,            0.031758,           0.0068665,            0.023769,            0.006004,            0.006004,            0.039366
                   2,            0.042379,            0.011728,            0.025648,             0.47048,             0.34019,              0.2521,             0.12196,            0.032572,           0.0069162,             0.02231,           0.0080177,           0.0080177,           0.0080467
                   3,             0.03986,            0.011403,            0.024891,              0.5177,             0.37097,             0.28846,             0.14858,            0.028749,           0.0061648,            0.020011,             0.00703,             0.00703,             0.00703
                   4,            0.036825,            0.010738,            0.024093,             0.45819,             0.42412,             0.31195,             0.17867,            0.026276,           0.0061731,            0.019302,             0.00703,             0.00703,             0.00703
                   5,             0.03385,            0.010054,            0.022009,             0.56403,              0.4487,             0.42008,             0.24088,            0.024733,           0.0056974,            0.018419,             0.00604,             0.00604,             0.00604
                   6,            0.031605,           0.0097186,            0.020655,             0.48307,             0.48692,             0.40307,             0.23152,            0.025289,           0.0057834,            0.018767,             0.00505,             0.00505,             0.00505
                   7,            0.029746,           0.0091881,            0.019205,             0.59011,             0.51568,             0.49483,             0.29754,            0.021998,           0.0051099,            0.016422,             0.00406,             0.00406,             0.00406
                   8,            0.028035,           0.0088057,            0.018217,             0.60058,             0.53241,             0.51495,             0.31757,            0.021041,           0.0049109,            0.016068,             0.00307,             0.00307,             0.00307
                   9,             0.02665,            0.008475,             0.01747,             0.65969,             0.52918,             0.54818,             0.33717,            0.020153,           0.0047595,            0.015243,             0.00208,             0.00208,             0.00208
