               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070867,            0.019373,                   0,             0.33745,              0.2682,             0.18887,            0.039727,            0.069784,           0.0080837,                   0,          0.00033232,          0.00033232,              0.0671
                   1,            0.055875,            0.015926,                   0,             0.39773,             0.38035,             0.27543,            0.080834,            0.058913,           0.0091674,                   0,          0.00066565,          0.00066565,              0.0341
                   2,            0.050989,            0.015439,                   0,             0.57518,             0.50633,              0.4698,             0.17668,            0.057187,           0.0064578,                   0,          0.00099898,          0.00099898,           0.0011003
                   3,            0.048297,            0.014925,                   0,             0.60613,             0.51028,              0.5023,             0.21186,            0.051093,            0.006843,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,             0.04686,            0.014863,                   0,             0.58684,             0.54509,             0.52207,             0.20607,            0.052367,           0.0073238,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.044883,            0.014432,                   0,             0.56364,              0.5222,             0.45778,             0.16705,            0.053926,            0.006849,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.044087,            0.014387,                   0,             0.68131,             0.61564,             0.58976,             0.23451,            0.050206,           0.0068436,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.043629,              0.0143,                   0,             0.66988,             0.58465,             0.57612,             0.22385,            0.051205,           0.0060164,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.043135,            0.014198,                   0,             0.65282,             0.56092,             0.55017,             0.20671,            0.051364,           0.0069249,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,            0.042436,            0.014128,                   0,             0.66552,             0.62896,             0.60875,              0.2496,            0.048125,           0.0067397,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.041908,            0.013918,                   0,             0.67813,             0.61472,              0.5827,             0.25449,            0.046301,           0.0062981,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,            0.041669,            0.013911,                   0,             0.67244,             0.62896,             0.62016,             0.26805,            0.047462,           0.0060303,                   0,          0.00099976,          0.00099976,          0.00099976
