               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074262,            0.015733,                   0,             0.27716,             0.26661,             0.15893,            0.048832,            0.071809,           0.0066934,                   0,            0.067125,          0.00033207,          0.00033207
                   1,            0.059563,            0.013921,                   0,             0.44527,             0.46835,             0.39872,              0.1383,            0.056688,           0.0085818,                   0,            0.034125,           0.0006654,           0.0006654
                   2,             0.05537,            0.013473,                   0,             0.50474,             0.45253,             0.41697,             0.14276,            0.058895,           0.0055431,                   0,           0.0011255,          0.00099872,          0.00099872
                   3,            0.052597,            0.013315,                   0,             0.50855,             0.49921,             0.40668,             0.16742,            0.054639,           0.0057748,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.051038,            0.013204,                   0,             0.55214,             0.51028,             0.44169,             0.19542,            0.052455,           0.0057182,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.049565,            0.012862,                   0,             0.65194,             0.51108,             0.52951,              0.2115,            0.054915,           0.0050173,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.048498,            0.012879,                   0,              0.6233,             0.53323,             0.50789,             0.17823,            0.055343,           0.0052965,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.047707,            0.012745,                   0,             0.65519,             0.61155,             0.58423,             0.23537,            0.052246,           0.0050499,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.046591,              0.0125,                   0,             0.62263,             0.58307,             0.55549,             0.25077,            0.050358,           0.0051816,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,            0.046169,            0.012663,                   0,             0.66544,              0.5981,             0.57394,             0.22897,            0.052759,           0.0050747,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.045828,            0.012554,                   0,             0.62732,             0.59527,             0.56801,             0.24215,             0.05035,           0.0049076,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,            0.045444,            0.012445,                   0,             0.60444,             0.50775,             0.47858,             0.19878,             0.05461,           0.0057484,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,             0.04562,            0.012447,                   0,             0.66733,               0.625,             0.60332,             0.25778,            0.050498,           0.0052671,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,            0.044771,            0.012343,                   0,             0.67316,              0.6163,             0.60592,             0.27734,            0.048092,           0.0049382,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,            0.044756,            0.012169,                   0,             0.68834,             0.62816,             0.61963,             0.31215,            0.045888,           0.0048733,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.044554,            0.012382,                   0,              0.6974,             0.61867,             0.61548,             0.28802,            0.047397,           0.0050265,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,             0.04431,            0.012343,                   0,             0.68977,             0.60512,             0.58828,             0.28666,            0.048118,           0.0049259,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,            0.044132,            0.012206,                   0,             0.71024,             0.63291,             0.64168,              0.2911,            0.047642,           0.0047947,                   0,          0.00099937,          0.00099937,          0.00099937
                  18,            0.044137,             0.01233,                   0,             0.71634,              0.6519,             0.64022,             0.28801,            0.047343,           0.0049906,                   0,          0.00099929,          0.00099929,          0.00099929
                  19,            0.043576,            0.012165,                   0,             0.67973,             0.64478,             0.64164,             0.35834,            0.043143,           0.0048217,                   0,          0.00099921,          0.00099921,          0.00099921
                  20,            0.043639,            0.012182,                   0,              0.7065,             0.62421,             0.63389,             0.32463,            0.045463,            0.004829,                   0,          0.00099912,          0.00099912,          0.00099912
                  21,            0.043831,            0.012033,                   0,             0.70233,             0.66077,             0.66105,             0.36261,            0.042719,           0.0047334,                   0,          0.00099902,          0.00099902,          0.00099902
                  22,            0.043652,             0.01223,                   0,             0.74876,             0.63662,             0.66517,             0.34682,            0.043945,           0.0046463,                   0,          0.00099892,          0.00099892,          0.00099892
                  23,            0.043239,            0.012144,                   0,             0.70953,             0.65665,                0.65,             0.30018,            0.046934,           0.0047625,                   0,          0.00099882,          0.00099882,          0.00099882
                  24,            0.043137,             0.01201,                   0,             0.71746,             0.62278,             0.65075,             0.33467,            0.044372,           0.0047867,                   0,          0.00099871,          0.00099871,          0.00099871
                  25,            0.043281,            0.012101,                   0,             0.72475,             0.64241,             0.65189,             0.32582,            0.044681,           0.0048131,                   0,          0.00099859,          0.00099859,          0.00099859
                  26,            0.042587,            0.012036,                   0,             0.75747,             0.63502,             0.66594,             0.34309,            0.044239,           0.0046128,                   0,          0.00099847,          0.00099847,          0.00099847
                  27,            0.042646,            0.011971,                   0,             0.73951,             0.64241,             0.67948,             0.34693,            0.044707,           0.0046707,                   0,          0.00099835,          0.00099835,          0.00099835
                  28,            0.042763,            0.011895,                   0,             0.71508,             0.65348,             0.66016,             0.34894,            0.043313,           0.0048946,                   0,          0.00099822,          0.00099822,          0.00099822
                  29,            0.042284,            0.011929,                   0,             0.73562,             0.67722,             0.67526,             0.37883,            0.041307,            0.004711,                   0,          0.00099809,          0.00099809,          0.00099809
                  30,            0.042506,             0.01201,                   0,             0.75505,             0.65981,             0.68944,             0.36855,            0.042698,           0.0045559,                   0,          0.00099795,          0.00099795,          0.00099795
                  31,            0.042169,             0.01197,                   0,             0.73209,             0.65585,             0.66432,             0.35567,            0.043739,           0.0046673,                   0,           0.0009978,           0.0009978,           0.0009978
                  32,            0.042275,            0.011986,                   0,             0.71752,             0.67247,             0.66842,             0.36359,            0.042678,           0.0047179,                   0,          0.00099765,          0.00099765,          0.00099765
                  33,            0.042104,            0.011996,                   0,              0.7439,             0.66535,             0.67395,             0.34679,            0.044014,           0.0046442,                   0,           0.0009975,           0.0009975,           0.0009975
                  34,            0.041818,            0.011962,                   0,             0.72927,             0.67009,              0.6861,             0.36404,            0.042293,           0.0045191,                   0,          0.00099734,          0.00099734,          0.00099734
                  35,            0.042034,            0.012014,                   0,             0.72733,             0.67317,             0.68223,             0.36269,            0.042163,           0.0046474,                   0,          0.00099718,          0.00099718,          0.00099718
                  36,            0.041725,            0.011811,                   0,             0.74923,             0.68785,             0.69667,             0.36008,            0.042417,           0.0045241,                   0,          0.00099701,          0.00099701,          0.00099701
                  37,            0.041608,             0.01193,                   0,             0.75029,             0.66772,             0.68835,             0.38259,            0.041028,           0.0046379,                   0,          0.00099684,          0.00099684,          0.00099684
                  38,             0.04162,            0.012014,                   0,             0.75396,             0.68038,             0.70709,             0.35445,            0.043698,            0.004439,                   0,          0.00099666,          0.00099666,          0.00099666
