               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071381,             0.01716,            0.041804,             0.90049,             0.13587,             0.15437,            0.075814,            0.044644,           0.0087165,            0.030398,           0.0033275,           0.0033275,            0.070052
                   1,             0.04906,            0.011649,             0.02769,             0.49879,             0.33881,             0.24277,             0.10723,            0.044003,           0.0066778,            0.028235,           0.0064411,           0.0064411,            0.039832
                   2,            0.045296,            0.010865,            0.025953,             0.68391,             0.25533,             0.23527,             0.12594,            0.041449,           0.0073308,            0.029118,           0.0093346,           0.0093346,           0.0093926
                   3,            0.042434,            0.010733,            0.025408,             0.50002,             0.36591,              0.3273,             0.17754,            0.037218,           0.0058957,            0.024265,             0.00901,             0.00901,             0.00901
                   4,            0.039356,            0.010064,            0.023219,             0.72575,             0.35043,             0.37825,             0.20147,            0.034663,           0.0055799,            0.022635,             0.00901,             0.00901,             0.00901
                   5,            0.037018,           0.0096362,            0.021635,              0.5426,               0.423,             0.38186,             0.21755,            0.033136,           0.0056889,            0.022112,             0.00868,             0.00868,             0.00868
                   6,            0.034991,           0.0092673,            0.020586,             0.52246,             0.49916,             0.47151,              0.2728,            0.031566,           0.0051043,            0.021406,             0.00835,             0.00835,             0.00835
                   7,            0.033966,           0.0090298,            0.019626,             0.56123,             0.53174,             0.50925,             0.30401,            0.029498,           0.0050465,            0.020661,             0.00802,             0.00802,             0.00802
                   8,            0.033024,           0.0088157,            0.018785,             0.60444,              0.5566,             0.52421,             0.29937,            0.029741,           0.0048314,            0.018138,             0.00769,             0.00769,             0.00769
                   9,            0.032508,           0.0087472,            0.018372,             0.69844,             0.49508,             0.61812,             0.35374,            0.029181,           0.0048765,            0.018996,             0.00736,             0.00736,             0.00736
                  10,            0.031577,           0.0084757,            0.016994,             0.75032,             0.50867,             0.62532,             0.36518,            0.027976,           0.0046698,            0.018075,             0.00703,             0.00703,             0.00703
                  11,            0.030496,           0.0082343,            0.016472,             0.69127,             0.57319,              0.6448,             0.39254,            0.027346,            0.004614,            0.017418,              0.0067,              0.0067,              0.0067
                  12,            0.030137,           0.0082126,            0.015787,             0.79133,             0.52891,             0.65374,             0.40235,            0.027907,           0.0045682,            0.018662,             0.00637,             0.00637,             0.00637
                  13,            0.029394,           0.0080766,            0.015213,             0.70346,             0.56701,             0.64853,             0.40111,            0.027515,           0.0045099,            0.016684,             0.00604,             0.00604,             0.00604
                  14,            0.028678,           0.0079607,            0.014819,             0.75462,             0.57988,             0.62881,             0.39241,            0.026295,           0.0043894,            0.015501,             0.00571,             0.00571,             0.00571
                  15,            0.028339,           0.0077639,             0.01392,              0.7785,             0.58646,             0.65761,             0.41025,            0.026315,           0.0043051,            0.015426,             0.00538,             0.00538,             0.00538
                  16,            0.027547,           0.0077974,            0.013736,             0.80559,             0.56721,              0.7031,             0.44344,            0.025388,           0.0042253,            0.015003,             0.00505,             0.00505,             0.00505
                  17,            0.027191,           0.0076712,            0.013383,             0.78737,             0.54091,             0.67745,             0.42938,            0.025461,           0.0042859,            0.015427,             0.00472,             0.00472,             0.00472
                  18,            0.026838,           0.0074166,            0.012879,             0.75555,             0.60068,             0.69492,             0.44438,            0.024538,           0.0041118,            0.014386,             0.00439,             0.00439,             0.00439
                  19,            0.026411,           0.0074498,            0.012138,             0.77704,              0.6061,             0.71322,             0.45314,            0.024055,           0.0040126,            0.013819,             0.00406,             0.00406,             0.00406
                  20,             0.02603,           0.0074068,            0.012073,             0.74638,             0.63808,             0.72957,             0.46945,            0.024088,             0.00409,            0.014009,             0.00373,             0.00373,             0.00373
                  21,            0.025387,           0.0072009,            0.011558,             0.79248,             0.61409,             0.73746,              0.4787,             0.02351,            0.004071,            0.013824,              0.0034,              0.0034,              0.0034
                  22,            0.025016,           0.0071612,            0.010993,             0.82536,             0.61439,             0.75187,             0.48027,            0.023441,           0.0038996,            0.012904,             0.00307,             0.00307,             0.00307
                  23,             0.02465,           0.0070043,            0.010034,             0.61453,             0.78527,             0.75346,              0.4925,            0.023836,           0.0039757,            0.013852,             0.00274,             0.00274,             0.00274
                  24,            0.024363,           0.0069935,           0.0097581,             0.66004,             0.78786,              0.7593,              0.4964,              0.0231,           0.0038628,            0.012227,             0.00241,             0.00241,             0.00241
                  25,            0.023472,           0.0068334,           0.0090536,             0.68462,             0.78391,             0.76399,             0.49514,            0.023141,           0.0038539,            0.012483,             0.00208,             0.00208,             0.00208
                  26,            0.023115,           0.0067299,           0.0085826,             0.68663,             0.76431,             0.75547,             0.50288,            0.022418,           0.0037563,            0.012926,             0.00175,             0.00175,             0.00175
                  27,            0.022754,           0.0066723,            0.007918,             0.74577,             0.75468,             0.77348,             0.50644,            0.022272,           0.0037756,            0.012954,             0.00142,             0.00142,             0.00142
                  28,            0.022439,            0.006607,           0.0074525,             0.78678,             0.74254,              0.7762,              0.5147,            0.021951,           0.0036991,            0.012397,             0.00109,             0.00109,             0.00109
                  29,            0.021924,           0.0065308,           0.0071773,             0.80694,              0.7191,             0.77472,             0.50648,            0.021823,           0.0036475,            0.012782,             0.00076,             0.00076,             0.00076
