               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12977,            0.011389,            0.032413,           0.0001379,            0.033632,          7.8268e-05,           1.713e-05,             0.12669,           0.0095574,            0.026067,            0.067174,          0.00033158,          0.00033158
                   1,             0.11791,            0.013513,            0.024626,          0.00047476,             0.12556,          0.00057844,          0.00013454,             0.11524,            0.011806,            0.021624,            0.034173,          0.00066425,          0.00066425
                   2,              0.1031,            0.016085,            0.021281,             0.77926,             0.10837,            0.073928,             0.02247,            0.090224,            0.013144,            0.018635,           0.0011717,          0.00099627,          0.00099627
                   3,             0.08476,            0.015732,            0.019113,             0.84689,             0.17115,             0.15848,            0.049934,            0.078596,            0.011236,             0.01682,          0.00099703,          0.00099703,          0.00099703
                   4,            0.075246,            0.014408,            0.017028,             0.90239,              0.1861,             0.20746,            0.073243,            0.073304,            0.010818,            0.016162,          0.00099703,          0.00099703,          0.00099703
                   5,            0.071746,            0.014009,            0.016675,             0.92506,             0.21973,             0.23364,            0.082272,            0.069564,             0.01064,            0.015609,          0.00099604,          0.00099604,          0.00099604
                   6,            0.067564,            0.013725,            0.015814,             0.93732,             0.22197,             0.24748,            0.085124,            0.066856,            0.010461,            0.014905,          0.00099505,          0.00099505,          0.00099505
                   7,            0.065705,            0.013735,            0.015371,             0.94493,             0.22945,             0.25702,            0.093495,            0.064466,            0.010211,            0.013595,          0.00099406,          0.00099406,          0.00099406
                   8,            0.063742,            0.013023,            0.014567,             0.94384,             0.23468,             0.30543,             0.12661,            0.059315,            0.010144,            0.012371,          0.00099307,          0.00099307,          0.00099307
                   9,            0.062806,            0.012864,            0.013953,             0.41411,             0.35003,               0.361,              0.1204,            0.062848,           0.0097774,            0.011695,          0.00099208,          0.00099208,          0.00099208
                  10,            0.061304,            0.012856,            0.013246,             0.57954,             0.36176,             0.37952,             0.13694,            0.060667,           0.0095389,             0.01078,          0.00099109,          0.00099109,          0.00099109
                  11,            0.060698,            0.012439,            0.013266,             0.48569,             0.40667,             0.39359,             0.14898,            0.059674,           0.0093609,             0.01021,           0.0009901,           0.0009901,           0.0009901
                  12,            0.059376,            0.012123,            0.011789,              0.4213,             0.47323,             0.40555,             0.16095,            0.056915,           0.0092224,           0.0098565,          0.00098911,          0.00098911,          0.00098911
                  13,            0.058104,            0.012154,            0.011492,             0.46967,             0.44385,             0.39288,             0.13348,            0.062058,            0.009117,           0.0092393,          0.00098812,          0.00098812,          0.00098812
                  14,            0.058151,            0.011897,             0.01122,             0.51842,             0.44337,             0.39395,             0.15688,            0.056687,           0.0090299,           0.0091381,          0.00098713,          0.00098713,          0.00098713
                  15,            0.057381,            0.011793,             0.01136,             0.59382,             0.44137,             0.43554,             0.16184,            0.057558,           0.0089685,           0.0080413,          0.00098614,          0.00098614,          0.00098614
                  16,            0.056382,            0.011755,           0.0099912,             0.58943,             0.46785,             0.46086,             0.17598,            0.055915,           0.0087991,           0.0074297,          0.00098515,          0.00098515,          0.00098515
                  17,            0.056213,            0.011727,           0.0097955,             0.59267,             0.49974,             0.46417,             0.18753,            0.054405,           0.0086106,           0.0075595,          0.00098416,          0.00098416,          0.00098416
                  18,            0.055532,            0.011682,           0.0094048,              0.6194,              0.4266,             0.44742,             0.17432,            0.055631,           0.0086502,           0.0072491,          0.00098317,          0.00098317,          0.00098317
                  19,            0.055757,            0.011471,           0.0086866,              0.5522,             0.51876,             0.47659,             0.18296,            0.053889,           0.0085268,           0.0062738,          0.00098218,          0.00098218,          0.00098218
                  20,            0.054357,            0.011367,           0.0084968,             0.59034,             0.53851,             0.50566,             0.19563,            0.054726,            0.008493,           0.0058157,          0.00098119,          0.00098119,          0.00098119
                  21,            0.054118,            0.011301,            0.008001,             0.62175,             0.53887,             0.52288,             0.18427,            0.055614,           0.0085583,           0.0055313,           0.0009802,           0.0009802,           0.0009802
                  22,            0.054495,            0.011328,           0.0076653,             0.65713,             0.52518,              0.5133,             0.17547,             0.05656,           0.0086492,           0.0054916,          0.00097921,          0.00097921,          0.00097921
                  23,            0.053608,            0.011377,           0.0078203,              0.6072,             0.56681,             0.53692,             0.20629,            0.052315,           0.0085073,           0.0048047,          0.00097822,          0.00097822,          0.00097822
                  24,            0.053102,            0.011164,           0.0076087,             0.69507,             0.53513,              0.5281,             0.17783,            0.056229,            0.008466,            0.005223,          0.00097723,          0.00097723,          0.00097723
                  25,            0.052825,            0.011139,           0.0071923,             0.72736,             0.55807,             0.56329,             0.19807,            0.054493,           0.0086538,           0.0043985,          0.00097624,          0.00097624,          0.00097624
                  26,            0.052758,            0.011042,           0.0072022,              0.6456,             0.56814,             0.54008,             0.21898,            0.051942,           0.0082887,           0.0046615,          0.00097525,          0.00097525,          0.00097525
                  27,            0.051934,             0.01084,           0.0067752,             0.64751,             0.55829,             0.52083,             0.21199,            0.051999,           0.0082945,           0.0047009,          0.00097426,          0.00097426,          0.00097426
                  28,            0.051975,            0.010825,           0.0069129,              0.7154,             0.52261,             0.54021,             0.22414,            0.050391,           0.0081906,           0.0042196,          0.00097327,          0.00097327,          0.00097327
                  29,             0.05191,            0.010778,           0.0063334,             0.70745,             0.53624,             0.53903,             0.22152,            0.051054,            0.008309,           0.0043344,          0.00097228,          0.00097228,          0.00097228
