               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1208,            0.029165,                   0,           0.0037729,            0.018519,           0.0010014,          0.00016765,             0.10094,            0.024906,                   0,              0.0011,              0.0011,              0.0901
                   1,             0.10311,            0.026251,                   0,            0.058666,            0.037037,           0.0051406,            0.001102,            0.090093,            0.021709,                   0,           0.0022924,           0.0022924,            0.079292
                   2,            0.093939,            0.025351,                   0,            0.028954,            0.092593,            0.013016,           0.0017786,            0.082499,             0.01928,                   0,           0.0034769,           0.0034769,            0.068477
                   3,            0.087423,            0.024464,                   0,            0.028492,             0.12963,            0.014339,           0.0025715,            0.077977,            0.017578,                   0,           0.0046535,           0.0046535,            0.057653
                   4,            0.081259,             0.02372,                   0,            0.059596,             0.14815,            0.026029,           0.0042719,            0.078171,            0.016112,                   0,           0.0058221,           0.0058221,            0.046822
                   5,            0.078138,            0.021649,                   0,            0.091918,             0.16667,            0.042482,            0.011513,            0.087365,            0.014153,                   0,           0.0069829,           0.0069829,            0.035983
                   6,            0.080643,            0.021071,                   0,             0.20746,            0.092593,            0.059431,            0.013373,            0.070319,             0.01578,                   0,           0.0081357,           0.0081357,            0.025136
                   7,            0.073264,            0.021003,                   0,             0.20519,             0.33333,             0.15237,            0.042829,            0.074066,            0.013917,                   0,           0.0092806,           0.0092806,            0.014281
                   8,             0.07085,            0.019712,                   0,             0.16813,             0.32938,             0.10911,            0.026902,            0.068792,            0.014277,                   0,            0.009736,            0.009736,            0.009736
                   9,            0.062516,            0.023063,                   0,             0.31343,             0.45657,             0.25337,            0.056367,            0.060094,            0.014758,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.061921,            0.020989,                   0,             0.24376,             0.33333,             0.17158,            0.043328,            0.061527,            0.014705,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.063808,            0.019899,                   0,             0.19717,             0.37037,             0.16438,            0.035055,              0.0621,             0.01403,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.052943,            0.020487,                   0,             0.47366,             0.37037,             0.30343,            0.082124,            0.053492,            0.014776,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.059201,            0.017181,                   0,              0.3356,             0.40741,             0.29678,            0.060258,            0.056352,            0.013015,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.050184,            0.017041,                   0,             0.51503,             0.51852,             0.52333,             0.20711,            0.047713,            0.012387,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.051751,             0.01702,                   0,             0.70585,             0.66655,             0.61545,             0.22629,             0.04596,            0.011186,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.045998,            0.015989,                   0,             0.56179,             0.66476,             0.62571,             0.29522,            0.045207,            0.010794,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.046104,            0.014788,                   0,             0.61395,             0.64792,             0.70798,             0.29498,            0.042186,            0.010046,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.046559,            0.013943,                   0,             0.50646,             0.72222,             0.56976,             0.24526,            0.045932,            0.010502,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.044803,            0.014487,                   0,             0.76283,             0.72222,             0.79888,             0.34054,            0.040804,            0.010603,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.047543,            0.013198,                   0,             0.65132,             0.83333,             0.76028,             0.44589,            0.038346,             0.01013,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.041051,            0.013477,                   0,             0.69473,             0.75926,             0.73125,             0.34854,            0.038558,            0.011503,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.039237,            0.012129,                   0,             0.77639,             0.64815,              0.7312,             0.24273,            0.047797,            0.010365,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.041956,            0.012414,                   0,             0.79587,             0.72203,             0.77666,             0.45092,            0.034274,           0.0094295,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.039075,            0.010927,                   0,             0.75351,             0.90741,             0.85058,             0.40728,            0.035881,           0.0083189,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.040851,             0.01125,                   0,             0.80997,              0.7963,             0.78597,             0.43224,            0.033109,           0.0088323,                   0,            0.009208,            0.009208,            0.009208
                  26,              0.0347,            0.010925,                   0,             0.78885,             0.83333,             0.81778,             0.46898,            0.030621,           0.0083521,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.036991,            0.010377,                   0,             0.79277,             0.85185,             0.80947,             0.45465,            0.031069,           0.0084716,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.035674,            0.010022,                   0,             0.79993,             0.81448,             0.83394,             0.40335,            0.039994,           0.0077737,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.043684,           0.0095414,                   0,              0.8571,              0.7775,             0.86036,             0.47604,            0.032434,            0.008294,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.033904,            0.011182,                   0,             0.82454,             0.87023,             0.84626,             0.39993,            0.040542,           0.0074467,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.034665,            0.010129,                   0,             0.86504,             0.83333,             0.88499,              0.4755,            0.032867,           0.0075452,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.033873,            0.009822,                   0,             0.82403,             0.87037,             0.88271,             0.40074,            0.038633,           0.0074837,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.038847,            0.010594,                   0,             0.91378,             0.98137,             0.93759,             0.50994,            0.030327,           0.0074276,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.038496,           0.0097611,                   0,             0.84194,             0.88889,             0.90716,             0.53022,            0.032511,           0.0071929,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.032611,           0.0099227,                   0,             0.86881,             0.98112,             0.92822,             0.54252,            0.029922,           0.0072424,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.036732,            0.010014,                   0,             0.88126,             0.96296,             0.92776,             0.58383,            0.028619,           0.0072559,                   0,            0.008845,            0.008845,            0.008845
