               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070074,            0.017164,            0.041621,             0.91083,             0.14514,             0.18402,            0.086503,             0.04569,           0.0078202,            0.029689,           0.0033304,           0.0033304,            0.070026
                   1,            0.048053,            0.011641,            0.028273,             0.26339,             0.38148,             0.23613,             0.13202,            0.037662,           0.0064315,            0.026761,            0.006004,            0.006004,            0.039366
                   2,            0.044643,            0.010824,             0.02629,             0.67806,             0.28111,             0.25623,              0.1268,            0.039709,           0.0063494,            0.025542,           0.0080177,           0.0080177,           0.0080467
                   3,            0.041851,            0.010721,             0.02554,             0.62571,             0.39076,             0.35439,             0.19817,            0.034505,           0.0059187,            0.023662,             0.00703,             0.00703,             0.00703
                   4,            0.038851,           0.0099313,            0.024107,               0.508,             0.44079,             0.35953,             0.20487,             0.03286,           0.0053827,            0.022717,             0.00703,             0.00703,             0.00703
                   5,            0.035779,           0.0092862,            0.021722,             0.60202,              0.4457,             0.45668,             0.26673,            0.031409,           0.0051823,            0.021174,             0.00604,             0.00604,             0.00604
                   6,            0.033641,           0.0090867,            0.020646,             0.56886,             0.51502,             0.44504,             0.26871,            0.029968,           0.0049629,            0.019439,             0.00505,             0.00505,             0.00505
                   7,             0.03102,            0.008574,            0.019261,             0.60413,             0.54735,             0.51897,             0.30974,            0.028488,           0.0046027,            0.018083,             0.00406,             0.00406,             0.00406
                   8,            0.029249,           0.0081588,              0.0178,             0.64748,             0.54365,             0.53443,             0.32826,            0.026979,           0.0045489,            0.017011,             0.00307,             0.00307,             0.00307
                   9,            0.028185,           0.0079372,            0.016738,             0.67604,             0.61486,              0.5886,             0.37358,             0.02509,             0.00429,            0.015812,             0.00208,             0.00208,             0.00208
