               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078943,            0.015488,                   0,             0.19389,             0.18117,            0.087059,            0.020354,            0.080835,           0.0060141,                   0,             0.06705,          0.00033283,          0.00033283
                   1,            0.066371,            0.013932,                   0,             0.43434,             0.34098,             0.27565,            0.080674,            0.067436,           0.0055039,                   0,             0.03405,          0.00066616,          0.00066616
                   2,            0.060866,            0.013512,                   0,             0.50358,             0.43434,             0.39327,             0.12802,            0.061091,            0.006017,                   0,           0.0010501,          0.00099948,          0.00099948
                   3,              0.0573,            0.013361,                   0,             0.43736,             0.39557,             0.29842,             0.11522,            0.060415,           0.0057644,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.055017,            0.013177,                   0,             0.58866,             0.49477,             0.43948,             0.15898,            0.057027,           0.0055758,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.053957,            0.013073,                   0,             0.58148,             0.50344,             0.45661,              0.1687,            0.057392,           0.0058339,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.052508,            0.012939,                   0,             0.60993,             0.52079,             0.47035,             0.17638,            0.057764,           0.0050851,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.051621,            0.012774,                   0,             0.66092,             0.55822,             0.54996,             0.22445,            0.052501,           0.0052796,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.051058,            0.012758,                   0,             0.61428,             0.52215,             0.50566,             0.21187,            0.054201,           0.0052608,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,            0.050735,            0.012794,                   0,             0.65047,             0.55459,             0.53593,             0.24275,            0.051472,           0.0051612,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.050454,            0.012756,                   0,             0.64445,             0.53773,             0.50861,             0.20376,            0.054754,           0.0052535,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,            0.049694,            0.012603,                   0,              0.6569,             0.57199,             0.56222,             0.26049,             0.05119,           0.0050818,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,            0.049446,            0.012554,                   0,             0.62388,             0.53165,             0.49881,             0.18656,            0.055476,           0.0051685,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,            0.049258,            0.012455,                   0,             0.64389,             0.57792,             0.55543,             0.22766,            0.052577,           0.0050316,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,            0.048687,            0.012452,                   0,             0.66436,             0.56725,             0.55479,             0.24616,            0.050699,           0.0049997,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.048644,            0.012397,                   0,             0.66632,             0.55775,             0.55313,             0.22197,            0.053055,           0.0049444,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,            0.048687,            0.012532,                   0,             0.72225,             0.54668,             0.58212,             0.26946,            0.050899,           0.0049272,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,            0.048068,            0.012492,                   0,             0.63466,               0.525,             0.51358,             0.25688,            0.050915,           0.0051212,                   0,          0.00099937,          0.00099937,          0.00099937
                  18,            0.047571,            0.012297,                   0,             0.70454,              0.5981,             0.58866,             0.26449,            0.050701,           0.0050626,                   0,          0.00099929,          0.00099929,          0.00099929
                  19,             0.04782,             0.01239,                   0,             0.68678,             0.59177,             0.57553,             0.25316,            0.050129,           0.0049753,                   0,          0.00099921,          0.00099921,          0.00099921
                  20,            0.047987,            0.012347,                   0,             0.72864,             0.58703,             0.60532,             0.28692,            0.049221,           0.0049814,                   0,          0.00099912,          0.00099912,          0.00099912
                  21,            0.047672,            0.012343,                   0,              0.6822,             0.57358,             0.57191,             0.27511,            0.049109,           0.0048693,                   0,          0.00099902,          0.00099902,          0.00099902
                  22,            0.047149,            0.012403,                   0,             0.66572,             0.59098,             0.58279,             0.25779,            0.049606,           0.0049693,                   0,          0.00099892,          0.00099892,          0.00099892
                  23,             0.04689,            0.012255,                   0,             0.68289,             0.58782,             0.58714,             0.25845,            0.050648,           0.0048127,                   0,          0.00099882,          0.00099882,          0.00099882
                  24,             0.04681,            0.012328,                   0,             0.69192,             0.60047,             0.59256,             0.26838,            0.049659,           0.0049453,                   0,          0.00099871,          0.00099871,          0.00099871
                  25,            0.047128,            0.012208,                   0,             0.67139,             0.58623,              0.5885,             0.26761,            0.049894,           0.0048475,                   0,          0.00099859,          0.00099859,          0.00099859
                  26,            0.046746,            0.012289,                   0,             0.70867,             0.60759,             0.60741,             0.28256,             0.04941,           0.0047384,                   0,          0.00099847,          0.00099847,          0.00099847
                  27,            0.046613,            0.012278,                   0,             0.69395,             0.60918,             0.62001,             0.30835,            0.047104,           0.0047666,                   0,          0.00099835,          0.00099835,          0.00099835
