               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069136,            0.018406,                   0,             0.27289,             0.36472,             0.19243,            0.046329,            0.069704,           0.0087503,                   0,          0.00033283,          0.00033283,             0.06705
                   1,            0.055367,             0.01598,                   0,             0.47965,             0.41276,             0.34071,            0.081135,            0.062651,            0.010026,                   0,          0.00066616,          0.00066616,             0.03405
                   2,             0.05146,            0.015413,                   0,             0.57957,             0.55142,             0.50278,             0.17828,            0.053601,           0.0068856,                   0,          0.00099948,          0.00099948,           0.0010501
                   3,             0.04835,            0.015042,                   0,              0.6394,             0.57796,             0.51673,             0.22463,             0.05242,           0.0067524,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.046618,            0.014824,                   0,             0.66335,             0.55775,             0.55842,             0.22824,            0.049325,           0.0067784,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.045484,            0.014661,                   0,             0.66072,             0.52136,             0.49468,             0.20511,            0.050619,           0.0069477,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.044515,            0.014597,                   0,             0.66705,             0.57516,             0.52967,             0.22571,            0.048034,           0.0068576,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,             0.04348,            0.014272,                   0,             0.69369,             0.62889,             0.61856,             0.26196,            0.047223,           0.0062431,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.042707,            0.014256,                   0,             0.69174,             0.61605,               0.606,             0.25762,            0.048509,           0.0061651,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,            0.042908,            0.014231,                   0,             0.67228,             0.62645,             0.58967,             0.24874,            0.050251,           0.0061734,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.042489,            0.014182,                   0,             0.73162,             0.62974,             0.64436,             0.28533,             0.04899,           0.0060324,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,            0.042089,            0.014064,                   0,             0.70737,             0.61076,             0.62726,             0.31132,            0.044468,           0.0069533,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,            0.041937,            0.013935,                   0,             0.73568,             0.62104,             0.62626,             0.26488,            0.046522,           0.0062041,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,            0.041342,            0.013852,                   0,             0.69648,             0.66297,             0.63196,               0.299,            0.046699,           0.0059372,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,             0.04115,            0.013856,                   0,             0.71967,             0.66139,             0.64862,             0.28995,            0.049582,           0.0059002,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.041212,            0.013765,                   0,             0.72398,             0.65902,             0.65238,             0.30679,             0.04454,           0.0060233,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,            0.040862,            0.013884,                   0,             0.72427,             0.66139,             0.65527,              0.3247,            0.043368,           0.0060799,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,            0.040315,            0.013944,                   0,             0.72851,             0.67722,             0.67043,             0.29785,            0.045297,           0.0059779,                   0,          0.00099937,          0.00099937,          0.00099937
                  18,            0.039983,            0.013601,                   0,             0.74666,             0.66688,             0.67669,             0.33827,            0.042795,           0.0062743,                   0,          0.00099929,          0.00099929,          0.00099929
                  19,            0.040208,            0.013712,                   0,             0.75446,              0.6539,             0.68383,              0.3153,            0.043713,           0.0058693,                   0,          0.00099921,          0.00099921,          0.00099921
                  20,            0.039838,            0.013648,                   0,             0.74345,             0.67402,             0.66253,              0.2913,            0.046527,           0.0057524,                   0,          0.00099912,          0.00099912,          0.00099912
                  21,            0.040027,            0.013636,                   0,             0.73346,             0.67484,             0.66848,             0.33833,            0.043165,           0.0060519,                   0,          0.00099902,          0.00099902,          0.00099902
                  22,            0.039408,            0.013785,                   0,             0.75683,             0.66728,             0.67096,             0.33053,            0.042713,           0.0061497,                   0,          0.00099892,          0.00099892,          0.00099892
                  23,            0.039293,            0.013457,                   0,             0.76969,             0.67157,             0.68233,             0.31684,            0.043536,           0.0058751,                   0,          0.00099882,          0.00099882,          0.00099882
