               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06912,            0.018244,                   0,             0.30239,              0.3212,             0.20405,            0.067433,            0.062811,            0.007706,                   0,            0.067125,          0.00033207,          0.00033207
                   1,            0.055001,             0.01573,                   0,             0.45248,             0.36155,             0.33441,             0.11107,            0.057738,           0.0080146,                   0,            0.034125,           0.0006654,           0.0006654
                   2,            0.050028,            0.015129,                   0,             0.54463,             0.47468,             0.43359,             0.16006,            0.052246,           0.0075762,                   0,           0.0011255,          0.00099872,          0.00099872
                   3,            0.048256,            0.014989,                   0,             0.58177,             0.54193,             0.47093,             0.17104,             0.05209,           0.0067411,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.046068,            0.014736,                   0,             0.64154,              0.5625,             0.55793,             0.21548,            0.052367,           0.0060874,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.044438,            0.014376,                   0,             0.65365,             0.52453,             0.54272,             0.20716,             0.05287,           0.0061516,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.043313,            0.014359,                   0,             0.64535,             0.58305,             0.54632,              0.2059,            0.050378,            0.006626,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.042904,            0.014156,                   0,             0.69822,             0.64615,             0.62045,             0.25638,            0.049059,           0.0061217,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.041974,            0.013815,                   0,             0.70286,              0.6519,             0.62818,             0.26172,            0.047246,           0.0058892,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,            0.041551,             0.01402,                   0,             0.62536,             0.56522,             0.52274,             0.18315,             0.05216,           0.0065868,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.041554,            0.013919,                   0,              0.6344,             0.59098,             0.55624,             0.22422,            0.048076,           0.0062229,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,            0.040874,             0.01379,                   0,             0.67618,             0.59967,             0.58218,             0.25349,            0.049394,           0.0064775,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,            0.040859,            0.013767,                   0,             0.66749,             0.62104,             0.60002,             0.24723,            0.047382,           0.0058217,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,            0.040265,            0.013646,                   0,             0.70312,             0.60759,             0.62819,             0.27115,             0.04528,           0.0063265,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,            0.039947,            0.013469,                   0,             0.71354,             0.63449,             0.64692,             0.30874,             0.04419,           0.0060099,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.039791,            0.013679,                   0,             0.71629,             0.65585,             0.63343,             0.26743,            0.044885,           0.0059692,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,            0.039828,            0.013674,                   0,             0.68508,             0.65111,             0.62071,             0.30316,             0.04536,           0.0059619,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,            0.039309,            0.013384,                   0,             0.73422,             0.66772,             0.67679,             0.31875,            0.043509,           0.0059483,                   0,          0.00099937,          0.00099937,          0.00099937
                  18,            0.039439,             0.01357,                   0,             0.70886,             0.66851,             0.63733,             0.33116,            0.042321,           0.0059036,                   0,          0.00099929,          0.00099929,          0.00099929
