               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022761,           0.0065082,           0.0069181,             0.77897,             0.73772,             0.76754,              0.4717,            0.024016,           0.0036947,             0.01183,           0.0033261,           0.0033261,            0.070065
                   1,            0.024852,           0.0067617,           0.0081303,             0.66434,             0.76948,             0.73843,             0.43469,            0.025519,           0.0039639,            0.014059,           0.0066374,           0.0066374,            0.040043
                   2,            0.028639,            0.007517,            0.010996,             0.50118,             0.67459,             0.58725,             0.33189,            0.029078,           0.0047623,            0.021504,           0.0099268,           0.0099268,           0.0099994
                   3,            0.031066,           0.0083151,            0.015478,             0.71345,              0.5334,             0.55604,             0.32856,            0.028975,           0.0047265,            0.016772,            0.009901,            0.009901,            0.009901
                   4,            0.030804,           0.0081403,            0.014434,             0.70091,             0.48695,             0.59056,             0.32977,            0.030286,           0.0049661,             0.01955,            0.009901,            0.009901,            0.009901
                   5,             0.03026,            0.008208,            0.014093,             0.69368,             0.54561,             0.62952,             0.36786,            0.028303,           0.0046987,            0.016734,            0.009868,            0.009868,            0.009868
                   6,            0.030548,           0.0082427,            0.013634,               0.652,             0.60813,              0.6373,             0.37404,             0.02833,           0.0045422,            0.016665,            0.009835,            0.009835,            0.009835
                   7,            0.029685,           0.0080388,            0.013781,             0.67681,             0.64213,             0.64491,             0.36468,            0.028148,           0.0046116,             0.01823,            0.009802,            0.009802,            0.009802
                   8,            0.029302,           0.0079832,            0.013229,             0.67339,             0.66147,             0.66416,              0.4084,            0.027824,           0.0045027,            0.015394,            0.009769,            0.009769,            0.009769
                   9,            0.029004,           0.0078958,            0.012835,             0.65061,             0.64981,             0.64529,             0.38829,            0.027504,           0.0045311,            0.015503,            0.009736,            0.009736,            0.009736
                  10,            0.028688,           0.0078325,            0.012456,             0.72838,             0.65456,             0.66457,             0.40887,            0.027139,           0.0045659,            0.014945,            0.009703,            0.009703,            0.009703
                  11,            0.028657,           0.0078125,            0.012563,             0.69365,             0.65167,             0.68577,             0.41941,            0.026674,           0.0043191,            0.014638,             0.00967,             0.00967,             0.00967
                  12,             0.02887,           0.0077817,            0.012332,             0.71185,             0.63064,             0.70672,              0.4223,            0.026442,           0.0042686,             0.01484,            0.009637,            0.009637,            0.009637
                  13,            0.028089,           0.0077524,             0.01117,             0.71517,             0.65329,             0.68566,             0.42052,            0.026295,           0.0044003,            0.015692,            0.009604,            0.009604,            0.009604
