               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060142,            0.036243,             0.02533,             0.91425,             0.34125,             0.39178,             0.24442,            0.043725,            0.011277,             0.01926,            0.070026,           0.0033305,           0.0033305
                   1,            0.042203,            0.028868,            0.013238,             0.78463,             0.45138,             0.48673,             0.28902,            0.038892,            0.010678,             0.01485,            0.040019,           0.0066572,           0.0066572
                   2,            0.040129,            0.028436,            0.011827,             0.62556,             0.50588,              0.5228,             0.28453,            0.042994,            0.011181,             0.01473,            0.010006,           0.0099773,           0.0099773
                   3,            0.038714,             0.02929,             0.01119,             0.62182,             0.57859,             0.57418,             0.31636,            0.039164,            0.011166,            0.011677,           0.0099703,           0.0099703,           0.0099703
                   4,            0.035924,            0.028554,             0.01025,              0.7145,             0.51714,              0.5645,             0.31743,            0.039339,            0.011545,            0.012043,           0.0099703,           0.0099703,           0.0099703
                   5,            0.034318,            0.028548,           0.0093335,               0.734,              0.5628,             0.59157,             0.37064,            0.034723,            0.010808,            0.011176,           0.0099604,           0.0099604,           0.0099604
                   6,            0.033411,            0.027568,            0.008997,             0.71154,             0.55667,             0.61029,             0.37679,            0.034566,            0.010654,           0.0089507,           0.0099505,           0.0099505,           0.0099505
                   7,            0.032445,            0.027332,           0.0083274,             0.70446,             0.57007,             0.58388,             0.37058,            0.034112,            0.010822,           0.0094798,           0.0099406,           0.0099406,           0.0099406
                   8,            0.031592,            0.026917,           0.0078762,             0.71009,             0.57759,             0.60398,             0.39338,            0.033594,            0.010588,            0.010138,           0.0099307,           0.0099307,           0.0099307
                   9,            0.031051,            0.026623,           0.0076668,              0.7211,             0.57616,             0.60863,             0.40862,            0.032646,            0.010304,           0.0084379,           0.0099208,           0.0099208,           0.0099208
                  10,            0.030268,            0.026157,           0.0068601,             0.81808,             0.60787,             0.65774,             0.40906,            0.032013,            0.010228,           0.0085366,           0.0099109,           0.0099109,           0.0099109
                  11,              0.0301,            0.026433,           0.0067552,             0.77323,             0.61517,             0.64781,             0.43288,            0.030543,            0.010107,            0.010318,            0.009901,            0.009901,            0.009901
                  12,            0.029714,            0.026265,           0.0066634,             0.76192,             0.60443,             0.63848,             0.42554,            0.031187,            0.010134,           0.0089285,           0.0098911,           0.0098911,           0.0098911
                  13,            0.029384,            0.025638,           0.0064743,             0.74757,             0.59873,             0.64207,             0.42461,            0.031966,            0.010109,           0.0090003,           0.0098812,           0.0098812,           0.0098812
                  14,            0.029157,            0.025869,           0.0065452,                0.76,             0.58496,             0.63771,             0.42089,            0.031943,            0.010165,           0.0095193,           0.0098713,           0.0098713,           0.0098713
                  15,            0.028953,             0.02537,           0.0062189,             0.73462,             0.61367,             0.63829,             0.42233,            0.030677,           0.0098905,           0.0076935,           0.0098614,           0.0098614,           0.0098614
                  16,            0.028823,            0.025101,           0.0063943,             0.71312,             0.64941,             0.65283,             0.42632,            0.030872,            0.010041,           0.0077107,           0.0098515,           0.0098515,           0.0098515
