               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079781,            0.015865,                   0,             0.13546,             0.10443,            0.039451,            0.010247,            0.089292,           0.0064102,                   0,              0.0671,          0.00033232,          0.00033232
                   1,            0.065203,            0.013817,                   0,              0.4387,             0.38766,             0.33078,             0.12236,            0.062151,           0.0060419,                   0,              0.0341,          0.00066565,          0.00066565
                   2,             0.05914,            0.013571,                   0,             0.43435,             0.46282,             0.37271,             0.13607,            0.058838,           0.0057217,                   0,           0.0011003,          0.00099898,          0.00099898
                   3,            0.055802,             0.01329,                   0,             0.56758,             0.46519,             0.45301,             0.16594,            0.060469,           0.0050486,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.053883,            0.013064,                   0,             0.58305,             0.48346,             0.48027,             0.19169,            0.057145,           0.0051286,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,             0.05267,            0.012834,                   0,             0.59421,             0.51978,             0.48441,             0.17329,            0.058013,           0.0053763,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.051379,            0.012804,                   0,             0.62584,             0.53639,             0.51149,             0.18742,            0.057652,           0.0052339,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.050899,            0.012679,                   0,             0.64882,             0.53718,             0.54214,             0.21905,            0.054866,           0.0049953,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.050497,            0.012673,                   0,             0.62458,             0.55142,             0.53369,             0.22594,            0.052783,           0.0049398,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,             0.04967,            0.012637,                   0,             0.64136,             0.51345,             0.49427,             0.19862,            0.055487,           0.0049612,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.049583,            0.012551,                   0,             0.66974,             0.55696,             0.57557,             0.26512,            0.051215,           0.0048979,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,             0.04898,            0.012461,                   0,             0.67271,             0.56913,              0.5948,              0.2865,            0.049205,           0.0049358,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,            0.048533,            0.012531,                   0,             0.68246,             0.57437,             0.58861,             0.27086,            0.050474,           0.0047675,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,            0.048207,            0.012345,                   0,             0.66019,             0.56725,             0.55742,             0.25885,            0.049692,           0.0048709,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,            0.047771,            0.012358,                   0,             0.67217,             0.60047,             0.59699,              0.2853,            0.048919,           0.0047991,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.047832,            0.012464,                   0,             0.65837,             0.58703,             0.57077,              0.2448,            0.050615,           0.0049244,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,            0.047211,            0.012409,                   0,              0.6812,             0.59494,             0.60173,             0.27321,            0.050155,           0.0047378,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,            0.047382,            0.012298,                   0,             0.64899,             0.56754,             0.56165,             0.23572,            0.052773,           0.0048944,                   0,          0.00099937,          0.00099937,          0.00099937
                  18,            0.047182,            0.012344,                   0,             0.67951,             0.60997,             0.56924,             0.24108,            0.049991,           0.0048326,                   0,          0.00099929,          0.00099929,          0.00099929
                  19,            0.047149,            0.012224,                   0,             0.67559,             0.60206,             0.59095,             0.29173,            0.048807,           0.0049891,                   0,          0.00099921,          0.00099921,          0.00099921
                  20,            0.046639,            0.012145,                   0,             0.71155,             0.59525,             0.60867,              0.2696,            0.050282,           0.0048168,                   0,          0.00099912,          0.00099912,          0.00099912
                  21,              0.0465,            0.012172,                   0,             0.69539,             0.57615,             0.59427,             0.29793,            0.047709,           0.0047995,                   0,          0.00099902,          0.00099902,          0.00099902
                  22,             0.04658,            0.012177,                   0,             0.71218,             0.61273,             0.62429,             0.31378,            0.046818,           0.0047576,                   0,          0.00099892,          0.00099892,          0.00099892
                  23,            0.046147,            0.012095,                   0,             0.68614,             0.61051,             0.58575,              0.2671,            0.049463,             0.00474,                   0,          0.00099882,          0.00099882,          0.00099882
                  24,            0.046264,            0.012244,                   0,             0.70855,             0.62124,             0.62009,             0.30458,            0.046744,           0.0047776,                   0,          0.00099871,          0.00099871,          0.00099871
                  25,            0.046419,            0.012131,                   0,             0.73168,             0.60759,              0.6352,             0.30198,            0.047404,            0.004657,                   0,          0.00099859,          0.00099859,          0.00099859
