               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068925,             0.01847,                   0,             0.25823,             0.29193,              0.1664,            0.043675,            0.067878,           0.0091494,                   0,             0.06705,          0.00033283,          0.00033283
                   1,            0.055409,            0.015899,                   0,             0.49829,             0.43513,             0.37119,             0.10334,            0.060553,           0.0071552,                   0,             0.03405,          0.00066616,          0.00066616
                   2,            0.051509,            0.015399,                   0,             0.63337,             0.51741,              0.5123,             0.19223,            0.057047,           0.0066331,                   0,           0.0010501,          0.00099948,          0.00099948
                   3,             0.04843,            0.015043,                   0,             0.63921,             0.54747,             0.50603,             0.20884,            0.053325,           0.0071247,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.046826,            0.014813,                   0,             0.65664,              0.5598,             0.54594,             0.22003,            0.050786,           0.0066298,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.045658,            0.014656,                   0,             0.67031,             0.55934,             0.56493,             0.24319,            0.050285,           0.0068401,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.044632,            0.014537,                   0,             0.65691,              0.6044,             0.54312,             0.24328,            0.047746,           0.0068331,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.043616,            0.014274,                   0,             0.69633,             0.62816,             0.61782,             0.26182,            0.047575,           0.0062692,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.042898,            0.014277,                   0,             0.66098,             0.62025,             0.57912,             0.23023,            0.048448,           0.0064653,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,             0.04302,            0.014258,                   0,             0.66865,             0.65111,             0.61386,             0.28804,            0.047756,           0.0064314,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.042669,            0.014213,                   0,             0.70059,             0.62816,             0.62786,             0.28344,            0.049345,           0.0060187,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,            0.042061,            0.014086,                   0,             0.68592,             0.59263,              0.5904,             0.26939,            0.048102,           0.0066097,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,            0.042001,            0.013979,                   0,             0.70484,             0.63289,               0.644,             0.28684,             0.04624,           0.0061103,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,            0.041394,             0.01388,                   0,             0.71827,             0.64342,             0.66412,             0.31277,            0.046057,           0.0059925,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,            0.041063,            0.013846,                   0,             0.73589,             0.64587,             0.65775,             0.29055,            0.046624,           0.0061611,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.041142,            0.013702,                   0,             0.75224,             0.65427,             0.65893,             0.31435,            0.043746,           0.0060596,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,            0.040741,            0.013929,                   0,             0.74236,             0.62421,             0.65481,             0.30286,            0.045379,           0.0060602,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,             0.04039,            0.013975,                   0,             0.73813,             0.66898,             0.67304,             0.31733,            0.044084,           0.0060884,                   0,          0.00099937,          0.00099937,          0.00099937
                  18,            0.040189,             0.01358,                   0,             0.73184,             0.67168,             0.67642,             0.33663,            0.043549,           0.0064185,                   0,          0.00099929,          0.00099929,          0.00099929
                  19,            0.040171,            0.013688,                   0,             0.74863,              0.6715,             0.67214,             0.34469,            0.042498,           0.0059587,                   0,          0.00099921,          0.00099921,          0.00099921
                  20,            0.040003,            0.013628,                   0,             0.74725,             0.66193,             0.68196,             0.32567,            0.045377,           0.0057516,                   0,          0.00099912,          0.00099912,          0.00099912
                  21,            0.040104,            0.013641,                   0,             0.72566,             0.65427,             0.66419,              0.3444,            0.043695,           0.0059019,                   0,          0.00099902,          0.00099902,          0.00099902
                  22,            0.039434,             0.01374,                   0,             0.73119,             0.65981,             0.67071,             0.31416,            0.043672,           0.0062102,                   0,          0.00099892,          0.00099892,          0.00099892
                  23,            0.039742,            0.013481,                   0,             0.75334,             0.68592,             0.69036,             0.33641,            0.042812,           0.0059067,                   0,          0.00099882,          0.00099882,          0.00099882
                  24,            0.039596,            0.013643,                   0,             0.75176,             0.68829,             0.68928,              0.3407,            0.041098,           0.0058711,                   0,          0.00099871,          0.00099871,          0.00099871
                  25,            0.039407,            0.013514,                   0,             0.76435,             0.68117,              0.7035,             0.35552,            0.042145,            0.005761,                   0,          0.00099859,          0.00099859,          0.00099859
                  26,            0.039283,            0.013577,                   0,              0.7723,              0.6788,             0.68676,             0.33497,            0.044006,           0.0057484,                   0,          0.00099847,          0.00099847,          0.00099847
                  27,            0.038967,            0.013482,                   0,             0.79409,             0.69869,             0.72044,             0.37472,            0.041631,           0.0057474,                   0,          0.00099835,          0.00099835,          0.00099835
                  28,            0.038929,            0.013538,                   0,             0.76232,             0.70288,             0.69339,             0.37296,             0.04084,           0.0057987,                   0,          0.00099822,          0.00099822,          0.00099822
                  29,            0.038991,            0.013447,                   0,              0.7474,             0.68353,             0.69091,             0.35284,            0.041841,           0.0058629,                   0,          0.00099809,          0.00099809,          0.00099809
                  30,            0.038948,            0.013558,                   0,             0.78686,             0.70095,             0.71574,              0.3682,            0.041319,           0.0057436,                   0,          0.00099795,          0.00099795,          0.00099795
                  31,            0.038661,            0.013414,                   0,             0.77452,             0.69858,             0.70313,             0.35873,            0.041488,           0.0057308,                   0,           0.0009978,           0.0009978,           0.0009978
