               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12911,            0.024252,             0.05549,           0.0015873,             0.13846,           0.0031337,          0.00091231,             0.12388,            0.010771,            0.059387,             0.09703,               3e-05,               3e-05
                   1,             0.12626,            0.023841,            0.056056,           0.0012903,             0.12308,           0.0033623,          0.00097734,             0.12255,            0.010667,            0.058926,             0.09307,          6.9931e-05,          6.9931e-05
                   2,             0.12446,            0.026315,             0.05427,           0.0013053,             0.13846,           0.0064315,           0.0012871,             0.12123,             0.01058,            0.058436,             0.08911,          0.00010978,          0.00010978
                   3,             0.12206,              0.0257,            0.053616,          0.00091444,             0.10769,           0.0060274,           0.0015625,             0.11933,            0.010867,             0.05798,             0.08515,          0.00014955,          0.00014955
                   4,             0.11978,            0.027404,            0.053296,           0.0010766,             0.13846,           0.0077012,           0.0018482,             0.11677,            0.011036,            0.057542,            0.081189,          0.00018925,          0.00018925
                   5,             0.11696,            0.025209,            0.051493,           0.0010033,             0.13846,           0.0073707,           0.0019654,             0.11434,            0.011254,            0.057124,            0.077229,          0.00022886,          0.00022886
                   6,             0.11549,            0.028773,            0.050726,          0.00091603,             0.13846,           0.0078603,           0.0023294,             0.11148,            0.011664,            0.056637,            0.073268,           0.0002684,           0.0002684
                   7,             0.11363,            0.028043,            0.050547,           0.0017349,             0.22051,            0.011582,           0.0028382,             0.10888,            0.011877,             0.05622,            0.069308,          0.00030785,          0.00030785
                   8,             0.11239,            0.030617,            0.050188,           0.0013135,             0.18718,            0.013258,           0.0041623,             0.10644,            0.012269,            0.055745,            0.065347,          0.00034723,          0.00034723
                   9,             0.10972,            0.028725,            0.048162,           0.0017945,              0.2359,            0.021379,           0.0056405,             0.10369,            0.012447,            0.055207,            0.061387,          0.00038653,          0.00038653
                  10,             0.10796,            0.033324,            0.047249,           0.0015403,             0.23333,            0.025371,           0.0065217,             0.10119,            0.012692,            0.054694,            0.057426,          0.00042574,          0.00042574
                  11,             0.10537,            0.031972,            0.047086,           0.0015423,             0.23333,            0.024017,           0.0065556,            0.099478,            0.012843,            0.054189,            0.053465,          0.00046488,          0.00046488
                  12,             0.10634,            0.033769,            0.045671,           0.0015409,             0.23333,            0.027681,           0.0067179,            0.098698,            0.012826,            0.053753,            0.049504,          0.00050394,          0.00050394
                  13,             0.10526,            0.034271,             0.04425,           0.0021015,             0.26667,            0.019344,           0.0042094,            0.098021,            0.012861,            0.053367,            0.045543,          0.00054292,          0.00054292
                  14,             0.10852,            0.036967,            0.043017,           0.0046748,             0.18462,            0.029556,           0.0080053,            0.097491,            0.012826,            0.052998,            0.041582,          0.00058182,          0.00058182
                  15,             0.10277,            0.032304,            0.044403,             0.01461,             0.18462,            0.043762,           0.0099264,            0.096915,            0.012709,            0.052652,            0.037621,          0.00062064,          0.00062064
                  16,             0.10107,            0.037464,             0.04226,             0.22634,            0.092308,            0.050864,            0.014063,            0.096282,            0.012606,            0.052268,            0.033659,          0.00065939,          0.00065939
                  17,             0.09824,            0.032694,            0.043228,             0.64292,            0.061538,            0.061056,            0.019869,            0.095588,            0.012427,             0.05191,            0.029698,          0.00069805,          0.00069805
                  18,            0.099624,            0.036799,            0.040738,              0.9049,            0.046154,            0.065615,            0.025086,            0.094816,            0.012424,            0.051574,            0.025737,          0.00073664,          0.00073664
                  19,            0.096091,            0.033471,            0.039564,             0.88272,            0.054704,            0.068822,            0.022294,             0.09431,            0.012243,            0.051256,            0.021775,          0.00077514,          0.00077514
                  20,            0.096805,            0.038999,            0.039457,             0.95908,            0.046154,            0.078711,            0.020069,            0.093597,            0.012352,            0.051063,            0.017814,          0.00081357,          0.00081357
                  21,            0.096257,            0.043335,            0.038377,             0.91972,            0.046154,            0.072494,            0.028213,             0.09238,            0.012281,            0.050727,            0.013852,          0.00085191,          0.00085191
                  22,            0.095036,            0.044548,            0.037666,             0.87207,            0.061538,            0.068008,            0.028618,            0.090885,            0.012208,             0.05047,           0.0098902,          0.00089018,          0.00089018
                  23,            0.093401,            0.040097,             0.03614,             0.85836,            0.076923,            0.065603,            0.030825,            0.089634,            0.012142,            0.050232,           0.0059284,          0.00092837,          0.00092837
                  24,            0.091578,             0.03676,            0.037368,             0.85068,             0.13846,            0.072082,            0.023306,            0.090716,            0.012038,            0.049632,           0.0019665,          0.00096648,          0.00096648
                  25,            0.089346,            0.034217,            0.036901,             0.85111,             0.13846,            0.072717,            0.025795,             0.09071,            0.012063,            0.049386,          0.00097525,          0.00097525,          0.00097525
                  26,            0.089834,            0.038572,            0.034773,             0.83923,             0.12308,            0.077941,            0.032214,            0.089691,            0.012301,            0.049077,          0.00097525,          0.00097525,          0.00097525
                  27,             0.08658,               0.032,            0.034367,             0.84696,             0.12308,            0.094427,            0.044668,            0.087728,            0.012619,            0.048638,          0.00097426,          0.00097426,          0.00097426
                  28,            0.087075,            0.036583,            0.032736,             0.84796,             0.10769,            0.099645,            0.047015,            0.086173,             0.01287,            0.048234,          0.00097327,          0.00097327,          0.00097327
                  29,            0.081727,            0.030196,            0.035352,             0.86907,             0.13846,            0.098531,            0.037378,             0.08507,            0.012986,            0.047964,          0.00097228,          0.00097228,          0.00097228
                  30,            0.086447,            0.036899,            0.032059,             0.87046,             0.13846,             0.10655,             0.04276,            0.084105,            0.013084,             0.04774,          0.00097129,          0.00097129,          0.00097129
                  31,            0.081117,            0.032889,            0.034506,             0.87769,             0.15385,             0.11323,            0.050762,             0.08311,             0.01313,            0.047269,           0.0009703,           0.0009703,           0.0009703
                  32,            0.080301,            0.032156,            0.033155,             0.87996,             0.15385,             0.11947,            0.042428,            0.082272,            0.012905,            0.046804,          0.00096931,          0.00096931,          0.00096931
                  33,            0.080798,             0.03369,            0.033032,             0.87337,             0.12308,             0.08676,            0.038773,            0.081344,            0.012704,            0.046339,          0.00096832,          0.00096832,          0.00096832
                  34,            0.077022,             0.03251,            0.033883,             0.87569,             0.15385,             0.10069,            0.035932,            0.080273,            0.012479,            0.045997,          0.00096733,          0.00096733,          0.00096733
                  35,            0.079168,            0.036293,            0.032092,             0.87629,             0.12308,             0.10099,            0.040632,            0.079416,            0.012193,            0.045643,          0.00096634,          0.00096634,          0.00096634
                  36,            0.077515,            0.036112,            0.032319,             0.89047,             0.15385,             0.13453,            0.054216,            0.078562,            0.011866,            0.045127,          0.00096535,          0.00096535,          0.00096535
                  37,            0.075782,              0.0328,            0.032386,             0.88025,             0.13846,             0.11426,            0.048352,            0.077916,            0.011681,            0.044694,          0.00096436,          0.00096436,          0.00096436
                  38,            0.073234,            0.028268,            0.034657,             0.89007,             0.13846,             0.12518,             0.05566,            0.077173,            0.011369,            0.044398,          0.00096337,          0.00096337,          0.00096337
                  39,            0.073643,            0.030929,            0.032755,             0.87386,             0.15385,             0.13152,            0.056841,            0.076711,            0.011193,            0.044218,          0.00096238,          0.00096238,          0.00096238
