               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.112,            0.030008,            0.047141,           0.0018134,             0.25754,           0.0022549,          0.00057928,            0.097418,             0.02076,            0.040782,            0.067589,          0.00032738,          0.00032738
                   1,            0.089865,             0.03472,            0.036347,             0.56422,            0.088953,            0.065522,            0.020602,            0.081188,             0.02196,            0.032919,            0.034589,          0.00066006,          0.00066006
                   2,            0.073565,            0.033747,            0.028916,             0.72226,             0.26747,             0.21609,            0.095589,            0.066479,            0.019298,            0.027182,           0.0015873,          0.00099208,          0.00099208
                   3,            0.063357,            0.030247,            0.024528,              0.8457,             0.32818,             0.34521,             0.15259,             0.05806,            0.016264,            0.023282,          0.00099703,          0.00099703,          0.00099703
                   4,            0.057607,            0.027823,            0.021368,             0.85849,             0.35282,             0.42272,             0.20368,            0.051895,            0.014417,            0.020964,          0.00099703,          0.00099703,          0.00099703
                   5,            0.054506,            0.026115,            0.019521,             0.44394,              0.4936,             0.48905,             0.24004,             0.04859,            0.013505,            0.018659,          0.00099604,          0.00099604,          0.00099604
                   6,            0.052182,            0.025381,            0.017508,              0.5047,             0.53265,             0.52426,             0.25133,            0.047772,            0.012861,            0.016867,          0.00099505,          0.00099505,          0.00099505
                   7,            0.050023,            0.023701,            0.016148,             0.53199,             0.56427,             0.54676,             0.24913,            0.048313,            0.012427,            0.015124,          0.00099406,          0.00099406,          0.00099406
                   8,            0.048844,            0.023337,            0.014747,             0.64611,             0.57207,              0.5994,               0.316,            0.043427,            0.011993,            0.013327,          0.00099307,          0.00099307,          0.00099307
                   9,            0.047458,            0.022894,            0.013359,             0.65556,              0.6032,             0.62544,             0.30999,            0.045497,            0.011644,            0.011705,          0.00099208,          0.00099208,          0.00099208
                  10,            0.047171,            0.022856,            0.012503,             0.67759,             0.63147,             0.63847,             0.30906,            0.043555,            0.011513,            0.010415,          0.00099109,          0.00099109,          0.00099109
                  11,            0.046034,             0.02181,            0.011754,             0.67399,             0.65341,             0.65371,             0.32731,            0.043032,             0.01141,           0.0092304,           0.0009901,           0.0009901,           0.0009901
                  12,            0.045583,             0.02185,            0.010752,              0.7242,             0.64837,             0.66562,             0.30966,            0.045096,            0.011097,           0.0081864,          0.00098911,          0.00098911,          0.00098911
                  13,            0.045674,            0.022158,            0.010064,               0.723,             0.66402,              0.6722,             0.33075,            0.043363,             0.01083,           0.0073436,          0.00098812,          0.00098812,          0.00098812
                  14,            0.044747,             0.02172,           0.0086048,             0.77984,             0.67309,             0.72014,             0.36468,            0.041376,            0.010689,           0.0066986,          0.00098713,          0.00098713,          0.00098713
                  15,            0.044688,            0.021186,           0.0088501,             0.78036,             0.69735,             0.73232,             0.34832,             0.04205,            0.010695,           0.0065134,          0.00098614,          0.00098614,          0.00098614
                  16,            0.044426,            0.020829,           0.0087035,             0.81022,             0.69754,             0.74275,             0.35767,            0.041703,            0.010459,           0.0059239,          0.00098515,          0.00098515,          0.00098515
                  17,             0.04376,            0.021294,           0.0078423,              0.7669,              0.6989,             0.72304,             0.36483,            0.040992,            0.010336,            0.005723,          0.00098416,          0.00098416,          0.00098416
                  18,            0.042676,            0.021189,           0.0080461,             0.75258,             0.71427,             0.74051,               0.344,            0.042735,            0.010514,           0.0054951,          0.00098317,          0.00098317,          0.00098317
                  19,            0.042429,            0.020564,           0.0075998,             0.78344,             0.72276,             0.75855,             0.37856,              0.0403,            0.010334,           0.0051348,          0.00098218,          0.00098218,          0.00098218
                  20,            0.042301,            0.020786,           0.0074174,             0.78005,             0.73634,             0.76194,             0.38397,            0.039779,            0.010225,            0.005197,          0.00098119,          0.00098119,          0.00098119
                  21,            0.042915,            0.020386,           0.0073906,             0.77963,             0.74669,              0.7682,             0.35801,            0.041009,             0.01013,           0.0047059,           0.0009802,           0.0009802,           0.0009802
                  22,            0.042544,            0.020256,           0.0072991,             0.79247,             0.71406,             0.73971,             0.34753,            0.042506,            0.010199,           0.0047404,          0.00097921,          0.00097921,          0.00097921
                  23,            0.041679,            0.019985,           0.0072627,             0.81712,             0.74684,             0.77813,             0.37263,            0.040584,           0.0099904,           0.0044593,          0.00097822,          0.00097822,          0.00097822
                  24,            0.041417,            0.020008,           0.0072151,             0.79753,             0.75571,              0.7704,             0.39054,            0.038697,           0.0099288,           0.0041962,          0.00097723,          0.00097723,          0.00097723
                  25,            0.040458,            0.019655,           0.0064906,             0.80158,             0.74873,             0.77355,             0.36956,            0.040641,           0.0098818,           0.0039786,          0.00097624,          0.00097624,          0.00097624
                  26,            0.040844,            0.019535,           0.0065756,              0.8162,             0.76804,             0.79586,             0.43215,            0.037129,           0.0097537,           0.0038113,          0.00097525,          0.00097525,          0.00097525
                  27,            0.040269,            0.019781,           0.0063294,             0.80924,             0.76635,             0.77689,             0.36497,            0.040346,            0.009796,           0.0038156,          0.00097426,          0.00097426,          0.00097426
                  28,            0.040122,             0.01892,           0.0067897,             0.83631,             0.78318,             0.79835,             0.38987,            0.039148,           0.0096739,           0.0036683,          0.00097327,          0.00097327,          0.00097327
                  29,            0.039712,            0.019588,           0.0064195,             0.80442,             0.76308,             0.76621,             0.35919,            0.040883,           0.0096523,           0.0038657,          0.00097228,          0.00097228,          0.00097228
                  30,            0.039405,             0.01912,            0.006521,              0.8479,             0.77058,             0.81086,             0.44437,            0.035802,            0.009495,           0.0036286,          0.00097129,          0.00097129,          0.00097129
                  31,            0.039868,            0.019707,             0.00677,             0.84002,             0.79217,             0.80831,             0.41785,            0.037751,           0.0096881,           0.0035345,           0.0009703,           0.0009703,           0.0009703
                  32,              0.0395,            0.019252,           0.0061018,             0.83453,             0.78587,              0.8161,             0.41901,            0.038001,           0.0094649,           0.0033317,          0.00096931,          0.00096931,          0.00096931
                  33,            0.039895,            0.019326,           0.0064872,             0.83534,              0.7816,             0.80557,             0.41241,            0.038448,           0.0095865,            0.003417,          0.00096832,          0.00096832,          0.00096832
                  34,            0.039483,            0.019473,            0.005947,             0.84254,             0.78487,              0.8178,             0.43521,            0.036721,           0.0094432,           0.0035329,          0.00096733,          0.00096733,          0.00096733
                  35,            0.038023,            0.019388,           0.0058291,             0.83676,             0.80529,             0.82071,             0.43451,            0.036679,           0.0094412,           0.0033778,          0.00096634,          0.00096634,          0.00096634
                  36,            0.038252,            0.018737,           0.0058232,              0.8636,             0.78881,              0.8229,             0.44662,            0.035431,            0.009389,           0.0032567,          0.00096535,          0.00096535,          0.00096535
                  37,            0.038969,            0.018773,           0.0065134,             0.83908,             0.79916,             0.82477,             0.42795,            0.037733,           0.0093112,           0.0033129,          0.00096436,          0.00096436,          0.00096436
                  38,            0.038919,            0.018648,            0.005867,             0.86331,             0.77766,             0.83342,             0.44116,             0.03688,           0.0094109,           0.0031358,          0.00096337,          0.00096337,          0.00096337
                  39,            0.037817,              0.0187,           0.0055106,             0.84829,             0.80899,             0.82838,             0.45876,            0.034797,           0.0092244,           0.0030352,          0.00096238,          0.00096238,          0.00096238
                  40,            0.037694,            0.018555,            0.005673,             0.81306,             0.80967,             0.81814,             0.40726,            0.039222,           0.0093258,           0.0030126,          0.00096139,          0.00096139,          0.00096139
                  41,            0.037875,            0.019108,           0.0055735,             0.82796,             0.80437,             0.82676,             0.43262,            0.036499,           0.0091906,           0.0029877,           0.0009604,           0.0009604,           0.0009604
                  42,             0.03745,            0.018415,           0.0056593,              0.8561,             0.79991,             0.82834,             0.44243,            0.036154,           0.0092583,           0.0032063,          0.00095941,          0.00095941,          0.00095941
                  43,            0.037844,            0.018395,           0.0054733,              0.8559,             0.80384,             0.83513,             0.43759,            0.036489,            0.009135,           0.0029777,          0.00095842,          0.00095842,          0.00095842
                  44,            0.037636,            0.018313,           0.0054665,             0.84838,             0.80534,             0.82899,             0.42605,            0.036175,           0.0091642,           0.0031489,          0.00095743,          0.00095743,          0.00095743
                  45,            0.036897,            0.018141,           0.0056713,             0.85125,             0.81232,             0.82051,             0.40991,             0.03808,           0.0090701,           0.0029842,          0.00095644,          0.00095644,          0.00095644
                  46,             0.03657,             0.01848,           0.0053174,             0.83034,             0.82969,             0.83628,             0.45907,            0.035101,           0.0090056,           0.0030385,          0.00095545,          0.00095545,          0.00095545
