               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13172,            0.012963,            0.030881,          0.00036901,            0.090433,          0.00031974,          7.3489e-05,             0.12206,            0.010271,            0.024492,            0.067688,          0.00032639,          0.00032639
                   1,             0.11023,            0.017623,            0.020245,             0.72774,            0.092044,            0.037696,              0.0086,             0.09704,            0.012859,            0.021051,            0.034687,          0.00065907,          0.00065907
                   2,            0.084616,            0.018062,             0.01712,             0.88293,             0.18776,             0.18853,            0.064495,            0.081158,            0.011368,            0.017595,           0.0016855,          0.00099109,          0.00099109
                   3,            0.075082,            0.016289,            0.015088,             0.92529,             0.20956,             0.22102,            0.076128,            0.075524,            0.010505,            0.015303,          0.00099703,          0.00099703,          0.00099703
                   4,            0.068018,            0.015271,            0.012912,             0.89583,             0.21375,             0.22801,              0.0876,            0.070392,           0.0099579,            0.013874,          0.00099703,          0.00099703,          0.00099703
                   5,            0.064469,             0.01475,            0.012022,             0.93848,             0.23169,             0.26494,             0.11651,            0.064784,           0.0096784,            0.012769,          0.00099604,          0.00099604,          0.00099604
                   6,            0.061161,            0.014199,            0.011303,               0.941,             0.25037,             0.28595,             0.12241,             0.06278,           0.0094486,            0.011614,          0.00099505,          0.00099505,          0.00099505
                   7,            0.059707,            0.014243,            0.010494,             0.94545,             0.26546,             0.30745,             0.11959,            0.061963,           0.0092015,            0.010465,          0.00099406,          0.00099406,          0.00099406
                   8,            0.057168,            0.013577,           0.0095353,             0.69245,             0.32179,             0.32825,             0.14072,            0.057895,           0.0088959,           0.0097834,          0.00099307,          0.00099307,          0.00099307
                   9,            0.055533,            0.013234,           0.0087178,             0.69075,             0.32835,             0.35169,              0.1332,            0.059612,           0.0087208,           0.0092033,          0.00099208,          0.00099208,          0.00099208
                  10,            0.054709,            0.013177,           0.0084485,             0.52794,              0.4303,              0.3911,              0.1565,            0.056561,           0.0084088,           0.0085325,          0.00099109,          0.00099109,          0.00099109
                  11,            0.052913,            0.012857,           0.0081316,             0.57804,             0.43348,             0.41602,              0.1596,            0.056456,           0.0083099,           0.0079578,           0.0009901,           0.0009901,           0.0009901
                  12,            0.051499,            0.012479,            0.007381,             0.50104,             0.45409,             0.44508,             0.19608,            0.051466,           0.0080837,           0.0076106,          0.00098911,          0.00098911,          0.00098911
                  13,            0.050828,            0.012628,           0.0069411,             0.53366,             0.50119,             0.46343,             0.19467,            0.051944,           0.0079104,           0.0071815,          0.00098812,          0.00098812,          0.00098812
                  14,             0.05001,            0.012339,           0.0070857,             0.56576,              0.4818,             0.46364,             0.18472,            0.052446,           0.0078781,            0.006866,          0.00098713,          0.00098713,          0.00098713
                  15,            0.049553,            0.012291,           0.0067506,             0.58322,              0.5056,             0.48457,             0.21191,            0.050383,           0.0077885,           0.0065016,          0.00098614,          0.00098614,          0.00098614
                  16,            0.048725,            0.011984,           0.0062314,             0.64468,             0.50904,              0.4996,             0.20339,             0.05163,           0.0077276,           0.0060718,          0.00098515,          0.00098515,          0.00098515
                  17,            0.048008,            0.011877,           0.0056653,             0.60667,             0.52415,             0.50762,             0.21166,            0.050121,           0.0075897,           0.0056559,          0.00098416,          0.00098416,          0.00098416
                  18,            0.048259,            0.012231,           0.0052102,             0.67477,             0.50266,             0.51476,             0.20503,            0.051019,           0.0075806,           0.0052678,          0.00098317,          0.00098317,          0.00098317
                  19,            0.046787,            0.011675,           0.0052664,             0.62368,             0.56487,             0.52365,             0.21215,            0.051284,           0.0076112,           0.0050778,          0.00098218,          0.00098218,          0.00098218
                  20,            0.046697,            0.011657,            0.004799,             0.68038,             0.58846,             0.57013,             0.23148,            0.048401,           0.0074009,            0.004757,          0.00098119,          0.00098119,          0.00098119
                  21,            0.046215,            0.011462,           0.0049504,             0.67749,             0.54601,             0.56208,               0.253,             0.04779,            0.007372,           0.0046227,           0.0009802,           0.0009802,           0.0009802
                  22,            0.045989,            0.011519,           0.0044984,             0.73226,             0.58304,             0.61343,             0.25018,            0.048287,           0.0073626,            0.004341,          0.00097921,          0.00097921,          0.00097921
                  23,            0.045349,             0.01146,           0.0043152,             0.71059,             0.60969,             0.58851,             0.25759,            0.046761,           0.0072396,           0.0043183,          0.00097822,          0.00097822,          0.00097822
                  24,            0.044967,            0.011514,           0.0043794,             0.68199,             0.60597,             0.60284,             0.25694,            0.046208,           0.0072166,           0.0040378,          0.00097723,          0.00097723,          0.00097723
                  25,            0.044254,            0.011409,           0.0038721,             0.80672,              0.5886,             0.63833,             0.25656,            0.048788,           0.0072318,           0.0039202,          0.00097624,          0.00097624,          0.00097624
                  26,            0.044352,            0.011179,           0.0036521,             0.70304,             0.61075,             0.62768,             0.26446,            0.047937,           0.0071878,           0.0037515,          0.00097525,          0.00097525,          0.00097525
                  27,             0.04354,            0.011201,           0.0036053,             0.71379,             0.63134,              0.6521,             0.29354,            0.045458,           0.0070859,           0.0036204,          0.00097426,          0.00097426,          0.00097426
                  28,            0.044179,            0.011138,           0.0038021,             0.73179,              0.6099,             0.62492,             0.26848,            0.047811,           0.0071581,           0.0035399,          0.00097327,          0.00097327,          0.00097327
                  29,            0.043345,            0.011119,           0.0035152,             0.73003,             0.62739,             0.65616,             0.29076,            0.045707,           0.0070219,           0.0033536,          0.00097228,          0.00097228,          0.00097228
                  30,             0.04239,            0.010976,           0.0033058,             0.69039,             0.65458,             0.64534,             0.30261,            0.043617,           0.0069317,            0.003397,          0.00097129,          0.00097129,          0.00097129
                  31,            0.042966,            0.010997,           0.0035702,             0.72067,             0.62813,             0.62301,             0.29837,            0.045251,           0.0070397,           0.0033018,           0.0009703,           0.0009703,           0.0009703
                  32,             0.04192,            0.010707,           0.0035561,             0.80023,             0.62001,             0.68134,             0.30943,            0.045841,           0.0070039,           0.0032911,          0.00096931,          0.00096931,          0.00096931
                  33,            0.041945,             0.01085,           0.0032986,             0.71809,             0.64166,             0.65222,             0.31514,            0.043927,           0.0069283,           0.0031315,          0.00096832,          0.00096832,          0.00096832
                  34,            0.041745,            0.010818,           0.0033374,             0.89942,             0.59555,             0.69194,             0.32121,            0.044139,           0.0069207,           0.0030322,          0.00096733,          0.00096733,          0.00096733
                  35,            0.040667,            0.010591,           0.0030048,             0.79959,             0.66292,             0.70014,             0.33887,            0.042677,           0.0068162,           0.0031137,          0.00096634,          0.00096634,          0.00096634
                  36,            0.041167,             0.01078,           0.0031712,             0.79168,             0.65689,             0.68784,             0.32095,            0.043166,            0.006912,           0.0031174,          0.00096535,          0.00096535,          0.00096535
                  37,            0.040561,            0.010782,           0.0030356,              0.8071,             0.65329,             0.70205,             0.34589,            0.042587,            0.006812,           0.0030899,          0.00096436,          0.00096436,          0.00096436
                  38,            0.040522,            0.010676,           0.0030709,             0.78933,             0.66367,             0.66435,             0.33125,            0.042568,           0.0067896,           0.0029984,          0.00096337,          0.00096337,          0.00096337
                  39,            0.040633,            0.010629,           0.0029629,             0.79642,             0.64319,             0.69006,             0.32472,            0.043395,           0.0068554,           0.0029091,          0.00096238,          0.00096238,          0.00096238
                  40,            0.040111,            0.010639,           0.0030174,             0.79188,             0.66164,             0.69892,              0.3442,            0.042547,           0.0067652,           0.0029823,          0.00096139,          0.00096139,          0.00096139
                  41,            0.039825,            0.010803,           0.0025896,             0.80692,             0.61833,             0.67207,             0.32884,            0.042679,           0.0067817,           0.0030381,           0.0009604,           0.0009604,           0.0009604
                  42,            0.039798,              0.0106,           0.0027998,             0.82917,             0.65618,             0.69391,             0.33756,            0.042346,           0.0067122,           0.0028569,          0.00095941,          0.00095941,          0.00095941
                  43,            0.039561,            0.010599,           0.0028788,             0.80373,             0.68794,             0.72381,             0.35216,            0.041268,           0.0066939,           0.0029246,          0.00095842,          0.00095842,          0.00095842
                  44,            0.039658,            0.010384,            0.002681,             0.82608,             0.63948,             0.72523,             0.33835,             0.04232,           0.0067887,           0.0028043,          0.00095743,          0.00095743,          0.00095743
                  45,            0.039343,            0.010576,           0.0028181,              0.8011,             0.66672,             0.69993,             0.33167,            0.042242,           0.0066752,           0.0030363,          0.00095644,          0.00095644,          0.00095644
                  46,            0.039137,            0.010566,            0.002739,             0.84192,             0.63483,             0.70783,              0.3276,            0.042142,           0.0066735,           0.0028669,          0.00095545,          0.00095545,          0.00095545
                  47,            0.039058,            0.010351,           0.0026088,             0.80479,             0.67517,             0.70851,             0.34346,            0.042317,           0.0067089,           0.0029121,          0.00095446,          0.00095446,          0.00095446
                  48,             0.03836,            0.010169,            0.002497,             0.80264,             0.69379,              0.7215,             0.33534,            0.041642,           0.0066657,           0.0028041,          0.00095347,          0.00095347,          0.00095347
                  49,            0.038039,            0.010269,           0.0027978,              0.7753,             0.69589,             0.71814,             0.35872,             0.04084,           0.0066258,            0.002832,          0.00095248,          0.00095248,          0.00095248
                  50,            0.038504,            0.010352,           0.0025736,             0.85956,             0.67241,              0.7118,              0.3648,            0.040394,           0.0065404,           0.0027599,          0.00095149,          0.00095149,          0.00095149
                  51,            0.038386,            0.010258,           0.0027223,             0.82124,             0.67079,             0.72407,             0.36415,            0.040866,           0.0065784,           0.0027321,           0.0009505,           0.0009505,           0.0009505
                  52,             0.03777,            0.010181,            0.002487,             0.88226,             0.65684,             0.73209,             0.35184,             0.04066,           0.0066102,           0.0027515,          0.00094951,          0.00094951,          0.00094951
                  53,            0.038081,            0.010243,           0.0026633,               0.886,             0.65006,             0.74091,             0.38081,            0.040663,            0.006558,           0.0026686,          0.00094852,          0.00094852,          0.00094852
                  54,            0.037364,            0.010111,           0.0024509,             0.81518,             0.73383,             0.75976,             0.38294,            0.040251,           0.0064947,           0.0026864,          0.00094753,          0.00094753,          0.00094753
                  55,             0.03724,            0.010149,           0.0024012,             0.83388,             0.69345,             0.74853,             0.37309,            0.040496,           0.0065922,            0.002799,          0.00094654,          0.00094654,          0.00094654
                  56,            0.037563,            0.010028,            0.002668,             0.84848,             0.68125,              0.7488,             0.36871,            0.040517,           0.0065492,           0.0029497,          0.00094555,          0.00094555,          0.00094555
                  57,            0.037596,           0.0098661,            0.002367,             0.81713,             0.73896,             0.75922,             0.39191,            0.039789,           0.0064991,            0.002724,          0.00094456,          0.00094456,          0.00094456
                  58,            0.037555,            0.010123,           0.0027719,             0.83394,             0.73608,             0.76523,             0.37681,            0.039949,           0.0064847,           0.0028822,          0.00094357,          0.00094357,          0.00094357
                  59,            0.037005,           0.0099145,           0.0023074,             0.86881,             0.68033,             0.75117,             0.38261,            0.039663,           0.0064381,           0.0028916,          0.00094258,          0.00094258,          0.00094258
                  60,            0.037046,           0.0099486,            0.002305,             0.86382,             0.72943,             0.77108,             0.38999,            0.041634,           0.0065729,           0.0028206,          0.00094159,          0.00094159,          0.00094159
                  61,            0.036958,            0.010181,           0.0022034,             0.85374,              0.6874,             0.75822,             0.37618,            0.040576,           0.0065101,             0.00275,           0.0009406,           0.0009406,           0.0009406
                  62,            0.036556,           0.0098567,           0.0025857,             0.81554,             0.72524,             0.75972,              0.3783,            0.040936,           0.0065621,           0.0028336,          0.00093961,          0.00093961,          0.00093961
                  63,            0.036564,           0.0099234,           0.0024414,             0.88371,             0.66585,             0.75143,             0.37355,            0.039835,           0.0064909,           0.0027078,          0.00093862,          0.00093862,          0.00093862
                  64,            0.036191,           0.0098119,           0.0025329,             0.82413,             0.70112,             0.74953,             0.38276,            0.039703,           0.0064015,           0.0028795,          0.00093763,          0.00093763,          0.00093763
                  65,            0.036238,           0.0097302,            0.002362,              0.9178,             0.67333,             0.75211,              0.3845,            0.040228,           0.0065088,           0.0028021,          0.00093664,          0.00093664,          0.00093664
                  66,            0.036181,           0.0094704,           0.0022538,             0.85941,             0.69647,             0.76396,             0.38456,            0.040136,           0.0064503,           0.0028439,          0.00093565,          0.00093565,          0.00093565
                  67,            0.035654,           0.0098071,            0.002776,             0.81007,             0.73416,              0.7654,             0.39906,            0.039397,           0.0064311,            0.003075,          0.00093466,          0.00093466,          0.00093466
                  68,            0.035875,           0.0099405,           0.0022114,             0.82201,             0.71722,             0.75194,              0.3888,            0.040237,           0.0064742,           0.0029578,          0.00093367,          0.00093367,          0.00093367
                  69,            0.035854,           0.0098651,           0.0026455,             0.88563,             0.67129,             0.75497,             0.38211,            0.039787,            0.006523,           0.0028425,          0.00093268,          0.00093268,          0.00093268
                  70,            0.035776,           0.0098124,           0.0021206,             0.84536,             0.70697,             0.76756,             0.38872,            0.039649,            0.006406,           0.0027629,          0.00093169,          0.00093169,          0.00093169
                  71,            0.035609,           0.0098618,           0.0022311,              0.8377,             0.72839,             0.76457,             0.39662,            0.039508,           0.0064384,           0.0029325,           0.0009307,           0.0009307,           0.0009307
                  72,            0.035765,           0.0098494,           0.0022651,             0.86546,              0.7439,             0.77515,             0.39547,            0.039364,           0.0064429,           0.0027793,          0.00092971,          0.00092971,          0.00092971
                  73,            0.035522,           0.0094417,           0.0021224,             0.81702,             0.72857,             0.76917,              0.3844,            0.040136,           0.0063956,           0.0029196,          0.00092872,          0.00092872,          0.00092872
                  74,            0.035461,           0.0097497,           0.0023134,             0.90139,             0.67248,              0.7735,             0.38897,            0.038863,           0.0063774,           0.0028641,          0.00092773,          0.00092773,          0.00092773
                  75,            0.035688,           0.0096599,           0.0020506,             0.82397,             0.74052,             0.77543,             0.39802,            0.039314,           0.0063954,           0.0026431,          0.00092674,          0.00092674,          0.00092674
                  76,            0.035496,           0.0097438,            0.002231,             0.88417,             0.69054,             0.77006,             0.40145,            0.039119,           0.0063079,           0.0027009,          0.00092575,          0.00092575,          0.00092575
                  77,             0.03489,           0.0095283,           0.0020179,             0.81292,             0.74771,             0.77684,             0.40887,            0.039489,           0.0063966,           0.0025964,          0.00092476,          0.00092476,          0.00092476
                  78,            0.034683,           0.0094107,            0.002078,             0.91368,             0.68858,             0.76667,             0.39888,            0.039779,           0.0063576,            0.002847,          0.00092377,          0.00092377,          0.00092377
                  79,            0.034894,           0.0096628,            0.002064,              0.8122,             0.71987,             0.75908,             0.39503,             0.03889,           0.0063584,           0.0028271,          0.00092278,          0.00092278,          0.00092278
                  80,            0.034486,           0.0093764,           0.0020534,               0.869,             0.71125,             0.76323,             0.40082,            0.038608,           0.0062656,           0.0029131,          0.00092179,          0.00092179,          0.00092179
                  81,            0.034572,            0.009579,           0.0019762,              0.8467,             0.70723,             0.76139,             0.40087,            0.038604,           0.0063219,           0.0028565,           0.0009208,           0.0009208,           0.0009208
                  82,            0.034586,            0.009514,           0.0018786,             0.82507,             0.71698,             0.76005,             0.39973,            0.038842,           0.0063217,             0.00298,          0.00091981,          0.00091981,          0.00091981
                  83,            0.034522,            0.009491,            0.001732,             0.84849,             0.69871,             0.75737,             0.39563,            0.038507,           0.0063301,           0.0033836,          0.00091882,          0.00091882,          0.00091882
                  84,            0.034792,           0.0094176,           0.0021408,             0.84778,             0.70424,              0.7566,             0.40678,            0.038756,           0.0062375,           0.0027805,          0.00091783,          0.00091783,          0.00091783
                  85,            0.034242,           0.0094149,           0.0018952,             0.81263,             0.72898,             0.78481,             0.40467,            0.038451,             0.00629,           0.0027736,          0.00091684,          0.00091684,          0.00091684
                  86,             0.03414,           0.0093032,           0.0019225,             0.79404,             0.73581,             0.76515,             0.40214,            0.038785,           0.0062999,           0.0030749,          0.00091585,          0.00091585,          0.00091585
                  87,            0.034181,            0.009575,           0.0021031,             0.81346,             0.73776,             0.76695,             0.39504,            0.039205,           0.0063761,           0.0031384,          0.00091486,          0.00091486,          0.00091486
                  88,            0.034386,           0.0095594,           0.0019255,             0.84583,             0.70978,             0.76046,             0.39095,            0.039069,           0.0064399,           0.0031939,          0.00091387,          0.00091387,          0.00091387
                  89,            0.034305,           0.0097597,           0.0019371,             0.82559,               0.753,             0.77528,             0.40714,            0.038925,            0.006346,           0.0030149,          0.00091288,          0.00091288,          0.00091288
