               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079292,            0.016045,                   0,             0.10506,             0.18592,            0.051987,            0.012076,             0.08861,           0.0050054,                   0,            0.067125,          0.00033207,          0.00033207
                   1,            0.065366,            0.013962,                   0,             0.40014,             0.38212,             0.30065,             0.10051,            0.063147,           0.0060097,                   0,            0.034125,           0.0006654,           0.0006654
                   2,            0.059099,            0.013516,                   0,             0.55015,             0.40734,             0.39707,             0.14207,            0.058471,           0.0070512,                   0,           0.0011255,          0.00099872,          0.00099872
                   3,            0.056498,            0.013383,                   0,             0.57602,             0.45573,             0.43211,              0.1478,            0.056754,           0.0053461,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.054183,            0.013198,                   0,             0.52445,             0.43513,               0.348,             0.12236,            0.061264,           0.0054385,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.052503,            0.012846,                   0,             0.63859,             0.48972,             0.48864,             0.18706,            0.056862,           0.0049822,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.051454,            0.012909,                   0,              0.6385,                 0.5,             0.48842,             0.17182,            0.057124,           0.0049779,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.050847,            0.012694,                   0,             0.57823,             0.52453,             0.44612,             0.16695,            0.054079,            0.005071,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.049608,            0.012488,                   0,             0.62097,              0.5538,             0.53254,             0.23234,            0.051852,           0.0051086,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,            0.049254,            0.012645,                   0,             0.64862,              0.5345,             0.53169,             0.21986,            0.053322,           0.0050303,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.049129,            0.012593,                   0,             0.61003,             0.49842,             0.46551,             0.16656,            0.054399,           0.0052063,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,            0.048542,            0.012483,                   0,             0.64496,             0.56487,              0.5555,             0.21945,             0.05385,           0.0048011,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,            0.048638,            0.012488,                   0,             0.66937,             0.53956,             0.53149,             0.25729,            0.050919,           0.0049882,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,             0.04757,            0.012296,                   0,             0.64997,             0.54589,             0.54614,             0.24356,            0.051439,           0.0047287,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,            0.047707,            0.012192,                   0,             0.67361,             0.54826,             0.56245,             0.25811,             0.04976,           0.0047251,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.047532,            0.012411,                   0,              0.6233,             0.55063,             0.47955,              0.1828,            0.054875,           0.0049762,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,            0.047638,            0.012336,                   0,             0.66009,             0.57199,             0.54291,             0.24644,            0.050965,           0.0046815,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,            0.046987,            0.012179,                   0,             0.71153,             0.59415,              0.6119,              0.2881,            0.048421,           0.0047075,                   0,          0.00099937,          0.00099937,          0.00099937
