               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070009,             0.01899,                   0,             0.26835,             0.29826,             0.18545,            0.048303,            0.069974,           0.0071394,                   0,            0.067125,          0.00033207,          0.00033207
                   1,             0.05591,            0.015956,                   0,             0.40332,             0.39241,             0.29434,            0.078891,            0.062449,           0.0086767,                   0,            0.034125,          0.00066524,          0.00066524
                   2,            0.050455,             0.01527,                   0,             0.57869,              0.4913,             0.43199,             0.14163,            0.059084,           0.0070962,                   0,           0.0011245,          0.00099776,          0.00099776
                   3,            0.048185,            0.015064,                   0,             0.60547,               0.567,             0.52094,             0.17105,            0.053101,           0.0065163,                   0,           0.0009978,           0.0009978,           0.0009978
                   4,            0.046279,            0.014807,                   0,             0.56485,             0.53607,             0.43296,             0.17055,            0.051959,           0.0068805,                   0,           0.0009978,           0.0009978,           0.0009978
                   5,            0.044854,             0.01443,                   0,             0.67412,             0.58916,             0.57049,             0.25248,             0.04916,           0.0062838,                   0,           0.0009961,           0.0009961,           0.0009961
                   6,            0.043586,            0.014436,                   0,             0.59047,             0.53877,             0.46184,             0.13513,            0.055534,           0.0067453,                   0,          0.00099391,          0.00099391,          0.00099391
                   7,            0.043152,            0.014239,                   0,             0.65791,             0.61867,             0.58861,             0.22717,            0.050436,           0.0060773,                   0,          0.00099123,          0.00099123,          0.00099123
                   8,            0.042365,             0.01392,                   0,             0.68975,              0.6337,             0.62454,             0.26695,            0.048921,           0.0059584,                   0,          0.00098808,          0.00098808,          0.00098808
                   9,            0.041729,            0.014126,                   0,             0.67269,               0.625,             0.59228,             0.24833,            0.047949,           0.0063099,                   0,          0.00098445,          0.00098445,          0.00098445
                  10,            0.041492,            0.014001,                   0,             0.67212,               0.625,             0.59757,             0.26237,            0.047563,           0.0066402,                   0,          0.00098035,          0.00098035,          0.00098035
                  11,            0.041027,            0.013801,                   0,             0.71952,             0.65585,              0.6497,              0.3077,            0.045194,           0.0059877,                   0,          0.00097577,          0.00097577,          0.00097577
                  12,            0.041066,            0.013863,                   0,             0.67607,             0.64557,             0.60196,             0.29729,            0.044628,           0.0061395,                   0,          0.00097074,          0.00097074,          0.00097074
                  13,             0.04053,            0.013706,                   0,             0.70282,             0.67563,             0.64294,             0.29403,            0.044588,           0.0058264,                   0,          0.00096524,          0.00096524,          0.00096524
                  14,            0.040161,             0.01353,                   0,             0.74283,             0.64241,             0.65693,             0.31219,            0.044054,           0.0059844,                   0,          0.00095929,          0.00095929,          0.00095929
                  15,            0.040167,            0.013749,                   0,             0.69651,              0.6606,             0.62667,             0.29057,            0.045388,           0.0058942,                   0,          0.00095289,          0.00095289,          0.00095289
                  16,            0.039618,            0.013674,                   0,             0.68878,             0.64794,             0.62198,             0.33783,            0.041874,            0.006034,                   0,          0.00094605,          0.00094605,          0.00094605
                  17,            0.039211,            0.013459,                   0,             0.74093,             0.66297,             0.67957,             0.31795,            0.043557,           0.0059843,                   0,          0.00093877,          0.00093877,          0.00093877
                  18,            0.039388,            0.013581,                   0,             0.72227,             0.65427,             0.65912,             0.30416,            0.044824,           0.0057705,                   0,          0.00093107,          0.00093107,          0.00093107
                  19,            0.038703,            0.013416,                   0,             0.69207,             0.65434,             0.65274,             0.34377,            0.041781,           0.0057531,                   0,          0.00092294,          0.00092294,          0.00092294
