               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11832,            0.031392,            0.054379,          0.00029674,            0.033333,          0.00021504,          6.4512e-05,             0.12038,            0.011106,            0.055346,             0.09406,               6e-05,               6e-05
                   1,             0.11684,            0.026144,            0.054611,          0.00053341,            0.048718,          0.00037573,          0.00011499,             0.11763,            0.011496,            0.055106,             0.08713,          0.00012987,          0.00012987
                   2,             0.11464,            0.034621,            0.052225,          0.00051743,            0.048718,          0.00035165,          0.00016352,             0.11495,            0.011892,            0.055148,              0.0802,           0.0001996,           0.0001996
                   3,             0.11153,            0.031996,            0.051625,          0.00039177,            0.030769,          0.00028929,          7.2179e-05,              0.1122,            0.012179,            0.055028,            0.073269,           0.0002692,           0.0002692
                   4,             0.10989,            0.030207,            0.051133,           0.0013723,             0.12564,           0.0010781,          0.00014808,             0.10862,            0.012542,            0.054515,            0.066339,          0.00033865,          0.00033865
                   5,             0.10698,             0.03175,            0.049768,           0.0014684,             0.14103,           0.0027083,          0.00038582,             0.10542,             0.01283,            0.053906,            0.059408,          0.00040797,          0.00040797
                   6,             0.10309,            0.036898,            0.047953,           0.0016905,             0.17179,            0.015301,           0.0034034,             0.10133,            0.013256,            0.053022,            0.052477,          0.00047715,          0.00047715
                   7,             0.10167,            0.033667,            0.047601,           0.0019395,             0.20256,            0.050678,            0.011399,            0.099461,            0.013406,            0.052516,            0.045546,          0.00054619,          0.00054619
                   8,            0.098885,            0.036454,            0.046478,           0.0018601,             0.20256,            0.046498,            0.012191,            0.095962,            0.013699,            0.051651,            0.038615,          0.00061509,          0.00061509
                   9,            0.095387,             0.03571,            0.046162,           0.0092407,             0.13846,            0.059786,            0.014339,            0.093047,            0.013862,            0.050835,            0.031684,          0.00068385,          0.00068385
                  10,            0.097204,            0.042015,            0.043553,             0.85273,            0.046154,             0.06675,            0.015079,            0.090919,            0.013844,            0.050193,            0.024752,          0.00075248,          0.00075248
                  11,            0.091473,            0.039521,            0.043568,             0.87377,            0.072197,            0.052357,            0.018819,            0.088886,            0.013462,            0.049276,            0.017821,          0.00082096,          0.00082096
                  12,            0.089227,            0.037802,            0.042956,             0.90531,            0.046154,            0.081381,            0.024465,            0.087961,            0.013318,            0.048988,            0.010889,          0.00088931,          0.00088931
                  13,            0.090686,            0.039198,            0.040373,             0.89214,            0.076923,            0.082633,            0.025558,            0.086651,            0.012959,            0.048656,           0.0039575,          0.00095752,          0.00095752
                  14,            0.086567,             0.03767,            0.039894,               0.897,            0.076923,            0.077785,            0.024134,            0.085255,            0.012574,            0.048499,          0.00098614,          0.00098614,          0.00098614
                  15,            0.087717,            0.039294,            0.038288,             0.93068,            0.076923,            0.095454,            0.035659,            0.083842,            0.012391,            0.048515,          0.00098614,          0.00098614,          0.00098614
                  16,            0.086547,            0.031413,            0.039053,             0.91881,            0.076923,            0.088799,            0.033876,            0.082293,            0.012399,            0.048577,          0.00098515,          0.00098515,          0.00098515
                  17,            0.087082,            0.035808,            0.037057,             0.86567,             0.12308,            0.078381,            0.033074,            0.082086,            0.012482,            0.048452,          0.00098416,          0.00098416,          0.00098416
                  18,            0.081338,             0.04015,            0.037645,             0.88559,             0.13846,             0.10513,            0.041464,            0.080012,            0.012557,            0.048383,          0.00098317,          0.00098317,          0.00098317
                  19,            0.081031,            0.033183,            0.035811,             0.90023,             0.12308,             0.10899,             0.03899,            0.079719,            0.012638,            0.048282,          0.00098218,          0.00098218,          0.00098218
