               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.015454,           0.0043336,            0.000791,             0.92985,             0.85466,             0.92372,             0.66828,            0.019517,           0.0032876,           0.0082763,           0.0033217,           0.0033217,            0.070105
                   1,            0.018082,           0.0045811,           0.0011002,             0.89538,              0.8538,             0.90785,             0.63128,            0.021819,           0.0034404,           0.0082168,           0.0066441,           0.0066441,            0.040094
                   2,            0.020672,           0.0051949,           0.0019651,             0.80732,             0.75309,             0.79786,              0.4916,            0.024633,           0.0040696,            0.017299,           0.0099554,           0.0099554,            0.010072
                   3,            0.025144,           0.0071951,           0.0082346,             0.79237,             0.48917,             0.61318,             0.38816,             0.02788,           0.0047687,            0.021127,           0.0099505,           0.0099505,           0.0099505
                   4,            0.026234,           0.0074139,           0.0091348,             0.71774,             0.68801,             0.70212,             0.42446,            0.027829,           0.0045849,            0.020258,           0.0099505,           0.0099505,           0.0099505
                   5,            0.025631,           0.0072568,           0.0081193,              0.6324,             0.59202,             0.58839,             0.37963,             0.02845,           0.0045741,            0.023315,            0.009934,            0.009934,            0.009934
                   6,            0.024853,           0.0070821,           0.0071826,             0.74696,             0.69069,             0.74251,              0.4537,            0.025699,           0.0044295,            0.018527,           0.0099175,           0.0099175,           0.0099175
                   7,            0.025277,           0.0071464,            0.007136,             0.65695,             0.62866,             0.64078,             0.41913,            0.028013,           0.0048222,            0.023251,            0.009901,            0.009901,            0.009901
                   8,            0.024681,           0.0070916,           0.0072752,             0.71662,              0.7007,             0.73525,             0.46795,            0.026793,           0.0044275,            0.016289,           0.0098845,           0.0098845,           0.0098845
                   9,            0.024861,           0.0070023,           0.0071914,             0.77926,             0.68751,             0.75411,             0.45592,            0.026169,           0.0042659,            0.013805,            0.009868,            0.009868,            0.009868
                  10,              0.0244,           0.0068738,           0.0067552,             0.79173,             0.68206,             0.76362,             0.48854,            0.025336,           0.0041941,             0.01743,           0.0098515,           0.0098515,           0.0098515
                  11,             0.02457,           0.0069094,           0.0068054,             0.80831,             0.69352,             0.78604,             0.50888,            0.024404,           0.0041181,            0.014949,            0.009835,            0.009835,            0.009835
                  12,            0.023798,           0.0066595,           0.0062884,              0.8246,             0.72143,             0.80263,             0.48301,            0.025092,           0.0042017,            0.014413,           0.0098185,           0.0098185,           0.0098185
                  13,            0.024079,           0.0067731,           0.0064563,             0.71879,             0.72114,             0.76372,             0.49057,            0.024998,           0.0041377,            0.017157,            0.009802,            0.009802,            0.009802
                  14,             0.02393,           0.0066782,           0.0060883,             0.81493,             0.74927,             0.81002,             0.53789,            0.024203,           0.0040222,            0.013356,           0.0097855,           0.0097855,           0.0097855
                  15,             0.02356,           0.0065542,           0.0060045,             0.75528,             0.75481,             0.82258,             0.49778,            0.023739,           0.0040945,            0.013503,            0.009769,            0.009769,            0.009769
                  16,            0.023318,           0.0066138,           0.0057032,             0.80251,             0.77327,             0.83252,             0.57614,            0.023835,           0.0040289,            0.012534,           0.0097525,           0.0097525,           0.0097525
                  17,            0.023499,           0.0065376,           0.0056066,             0.86149,             0.67602,             0.81914,             0.57831,            0.023025,           0.0040347,            0.011126,            0.009736,            0.009736,            0.009736
                  18,            0.022789,           0.0064457,           0.0049187,             0.79484,             0.75141,             0.83251,             0.56726,            0.023469,           0.0039705,            0.013315,           0.0097195,           0.0097195,           0.0097195
                  19,            0.022684,              0.0064,            0.005203,             0.85566,             0.75057,             0.83156,             0.54029,            0.024254,           0.0039978,             0.01378,            0.009703,            0.009703,            0.009703
                  20,            0.023085,           0.0064721,           0.0053347,              0.8845,             0.76322,              0.8629,              0.5869,            0.023761,           0.0040279,            0.012621,           0.0096865,           0.0096865,           0.0096865
                  21,             0.02276,           0.0064213,           0.0051346,              0.9128,             0.69747,             0.84704,              0.5797,            0.023549,           0.0039326,            0.012125,             0.00967,             0.00967,             0.00967
