               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.119,            0.026194,             0.05441,           0.0070392,             0.11111,           0.0034269,          0.00065042,             0.10768,            0.023238,            0.043608,              0.0011,              0.0011,              0.0901
                   1,             0.10346,            0.025426,            0.039909,            0.028953,             0.12963,           0.0092157,           0.0017202,            0.092974,            0.020858,            0.023731,           0.0022241,           0.0022241,            0.079224
                   2,            0.096627,            0.023495,            0.023433,            0.049978,            0.055556,           0.0096805,           0.0014804,            0.087517,            0.018193,            0.010446,            0.003269,            0.003269,            0.068269
                   3,            0.088581,            0.021569,            0.011735,            0.011723,             0.31481,           0.0082534,           0.0016613,            0.087289,            0.015343,           0.0052833,           0.0042347,           0.0042347,            0.057235
                   4,            0.092008,            0.021382,           0.0072456,            0.032594,              0.2037,            0.017777,           0.0028907,            0.094559,            0.014279,           0.0043784,           0.0051212,           0.0051212,            0.046121
                   5,            0.092221,            0.017649,           0.0064017,            0.076078,             0.14815,            0.024032,           0.0038593,             0.10598,             0.01215,           0.0043129,           0.0059285,           0.0059285,            0.034929
                   6,             0.09314,            0.016735,           0.0058461,             0.41854,              0.1467,              0.1306,            0.028034,            0.086121,            0.012224,           0.0035081,           0.0066566,           0.0066566,            0.023657
                   7,            0.094353,            0.015401,           0.0056594,             0.12476,             0.22222,            0.078662,            0.022384,              0.0893,            0.011406,           0.0047713,           0.0073055,           0.0073055,            0.012305
                   8,            0.082877,              0.0161,           0.0073051,             0.10856,             0.25926,            0.063009,            0.014314,            0.079815,            0.011965,           0.0031856,             0.00736,             0.00736,             0.00736
                   9,            0.079404,             0.01703,           0.0050226,             0.13939,             0.27778,            0.099049,            0.016635,            0.086712,            0.010889,           0.0027882,             0.00736,             0.00736,             0.00736
                  10,             0.08158,            0.014787,             0.00479,             0.12953,             0.42593,            0.092295,            0.015543,            0.081326,            0.011327,           0.0026832,             0.00703,             0.00703,             0.00703
                  11,            0.074824,            0.016666,           0.0044531,             0.36971,              0.2963,             0.30224,            0.090856,            0.069975,             0.01182,           0.0026118,              0.0067,              0.0067,              0.0067
                  12,            0.073328,            0.015884,           0.0041795,             0.41403,             0.40566,             0.34766,             0.10185,            0.062906,            0.011981,           0.0026338,             0.00637,             0.00637,             0.00637
                  13,            0.066434,            0.016264,           0.0040195,             0.48833,             0.40741,             0.34664,             0.12234,            0.058715,            0.012327,             0.00265,             0.00604,             0.00604,             0.00604
                  14,            0.061543,            0.016771,           0.0038422,             0.46027,             0.53704,             0.37831,             0.12013,            0.058342,            0.012456,           0.0024978,             0.00571,             0.00571,             0.00571
                  15,            0.061196,             0.01478,           0.0035082,             0.49887,             0.51852,             0.43776,             0.18814,             0.06284,            0.010509,           0.0024958,             0.00538,             0.00538,             0.00538
                  16,            0.062471,            0.014571,           0.0032137,             0.59887,             0.55299,             0.59141,             0.26322,            0.057117,            0.010066,           0.0024626,             0.00505,             0.00505,             0.00505
                  17,            0.058223,            0.013558,           0.0031839,             0.49114,             0.51852,             0.45915,             0.19085,            0.053518,           0.0098117,           0.0024294,             0.00472,             0.00472,             0.00472
                  18,            0.054401,            0.013762,           0.0028867,             0.80362,             0.53704,             0.68339,             0.32851,            0.048746,           0.0094977,           0.0023324,             0.00439,             0.00439,             0.00439
                  19,            0.055259,            0.012823,           0.0026303,             0.63068,             0.83333,             0.77562,             0.39147,            0.045581,           0.0092929,           0.0023199,             0.00406,             0.00406,             0.00406
                  20,            0.051532,            0.012281,           0.0024891,             0.71088,             0.77778,             0.76179,             0.34519,            0.050593,           0.0087766,           0.0023574,             0.00373,             0.00373,             0.00373
                  21,            0.050269,            0.011815,            0.002729,             0.73973,             0.68423,             0.71089,             0.35657,            0.046194,           0.0088595,           0.0023502,              0.0034,              0.0034,              0.0034
                  22,            0.047863,            0.011792,           0.0025656,             0.80231,             0.75926,              0.8203,             0.43065,            0.042366,           0.0082118,           0.0021744,             0.00307,             0.00307,             0.00307
                  23,             0.04625,            0.011641,           0.0023025,             0.86356,             0.70324,             0.77899,             0.43211,            0.043049,           0.0084306,           0.0021621,             0.00274,             0.00274,             0.00274
                  24,            0.046171,            0.011726,           0.0022574,             0.88592,             0.71909,             0.81326,             0.50939,            0.039687,           0.0085129,           0.0020924,             0.00241,             0.00241,             0.00241
                  25,            0.043659,            0.011585,           0.0021109,             0.89562,              0.7963,              0.8852,             0.46506,            0.041103,           0.0078873,           0.0019483,             0.00208,             0.00208,             0.00208
                  26,            0.040763,            0.010431,           0.0019569,             0.93368,              0.7963,             0.90206,             0.55494,            0.036009,           0.0077779,           0.0018745,             0.00175,             0.00175,             0.00175
                  27,            0.039062,            0.011133,           0.0018951,              0.9375,             0.83326,             0.90053,             0.55391,            0.035812,           0.0076016,           0.0018094,             0.00142,             0.00142,             0.00142
                  28,            0.036408,           0.0099891,            0.001804,             0.95743,             0.83291,             0.90436,             0.57942,            0.034214,           0.0075718,           0.0017508,             0.00109,             0.00109,             0.00109
                  29,            0.035074,            0.011335,           0.0017655,             0.95739,             0.83333,             0.90722,              0.5804,            0.034281,           0.0074403,           0.0016664,             0.00076,             0.00076,             0.00076
