               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070009,             0.01899,                   0,             0.26835,             0.29826,             0.18545,            0.048303,            0.069974,           0.0071394,                   0,            0.067125,          0.00033207,          0.00033207
                   1,            0.055802,            0.015933,                   0,             0.53163,             0.43553,             0.41221,             0.13801,            0.057422,           0.0089225,                   0,            0.034125,           0.0006654,           0.0006654
                   2,            0.050324,             0.01526,                   0,             0.64261,             0.52373,             0.51384,             0.20244,            0.056831,           0.0071912,                   0,           0.0011255,          0.00099872,          0.00099872
                   3,            0.048282,            0.015054,                   0,             0.62861,             0.55617,             0.51106,             0.20048,             0.05182,             0.00672,                   0,          0.00099998,          0.00099998,          0.00099998
                   4,            0.046266,            0.014799,                   0,             0.57605,             0.53165,             0.47155,             0.18726,            0.055062,           0.0065253,                   0,          0.00099998,          0.00099998,          0.00099998
                   5,            0.044548,            0.014433,                   0,             0.67485,             0.59113,             0.58896,             0.24444,            0.049515,           0.0062769,                   0,          0.00099996,          0.00099996,          0.00099996
                   6,            0.043608,            0.014418,                   0,             0.66477,             0.56329,             0.54884,             0.20435,             0.05145,            0.005913,                   0,          0.00099994,          0.00099994,          0.00099994
                   7,            0.043105,              0.0142,                   0,             0.65217,             0.60364,             0.57799,             0.19597,            0.053043,           0.0061663,                   0,          0.00099991,          0.00099991,          0.00099991
                   8,            0.042318,            0.013872,                   0,             0.70281,             0.63423,             0.60657,             0.27936,            0.046751,           0.0060341,                   0,          0.00099988,          0.00099988,          0.00099988
                   9,            0.041541,            0.014085,                   0,              0.6492,             0.57753,             0.54514,             0.23099,            0.050849,           0.0064462,                   0,          0.00099984,          0.00099984,          0.00099984
                  10,            0.041493,            0.014019,                   0,             0.69551,             0.59731,             0.57162,             0.24387,            0.049702,           0.0063426,                   0,           0.0009998,           0.0009998,           0.0009998
                  11,            0.041167,            0.013875,                   0,             0.68592,             0.65136,             0.61038,             0.30276,            0.044239,           0.0062454,                   0,          0.00099976,          0.00099976,          0.00099976
                  12,            0.041221,            0.013887,                   0,             0.68957,             0.66957,             0.61796,             0.28162,            0.045354,           0.0059115,                   0,           0.0009997,           0.0009997,           0.0009997
                  13,            0.040442,            0.013627,                   0,             0.67958,             0.61946,             0.62134,             0.27091,            0.046649,           0.0062162,                   0,          0.00099965,          0.00099965,          0.00099965
                  14,            0.040389,            0.013552,                   0,             0.70958,             0.64241,             0.64445,             0.31033,             0.04542,           0.0060322,                   0,          0.00099959,          0.00099959,          0.00099959
                  15,            0.040195,            0.013771,                   0,             0.72877,             0.65744,             0.65241,             0.31189,            0.042906,           0.0059396,                   0,          0.00099952,          0.00099952,          0.00099952
                  16,            0.040126,             0.01375,                   0,             0.70034,             0.64478,             0.62545,             0.32213,            0.043075,           0.0060357,                   0,          0.00099945,          0.00099945,          0.00099945
                  17,            0.039393,            0.013476,                   0,             0.62458,             0.60283,             0.58217,             0.27659,            0.045475,           0.0061786,                   0,          0.00099937,          0.00099937,          0.00099937
                  18,            0.039429,            0.013604,                   0,             0.70519,             0.64532,              0.6181,             0.27936,            0.045766,           0.0058343,                   0,          0.00099929,          0.00099929,          0.00099929
                  19,            0.039175,            0.013479,                   0,             0.72612,             0.65585,             0.67223,             0.32419,            0.044486,           0.0056145,                   0,          0.00099921,          0.00099921,          0.00099921
                  20,             0.03904,            0.013526,                   0,             0.76086,             0.65948,             0.66471,             0.31588,            0.047047,           0.0054569,                   0,          0.00099912,          0.00099912,          0.00099912
                  21,            0.039273,             0.01341,                   0,             0.73823,             0.67959,             0.67501,             0.33774,            0.044017,            0.005641,                   0,          0.00099902,          0.00099902,          0.00099902
                  22,            0.039284,            0.013578,                   0,              0.7295,             0.66783,             0.66358,             0.33287,            0.043114,            0.005599,                   0,          0.00099892,          0.00099892,          0.00099892
                  23,            0.038689,            0.013468,                   0,             0.73567,             0.67484,             0.64279,             0.29901,            0.043447,           0.0056998,                   0,          0.00099882,          0.00099882,          0.00099882
                  24,            0.038733,            0.013285,                   0,             0.77223,             0.68398,             0.68881,             0.33381,            0.045061,           0.0055562,                   0,          0.00099871,          0.00099871,          0.00099871
                  25,            0.038928,             0.01337,                   0,             0.73782,              0.6835,               0.685,              0.3343,            0.043537,            0.005519,                   0,          0.00099859,          0.00099859,          0.00099859
                  26,            0.038471,            0.013252,                   0,             0.77057,             0.69146,             0.70605,             0.33395,            0.044396,           0.0055374,                   0,          0.00099847,          0.00099847,          0.00099847
                  27,            0.038395,             0.01324,                   0,             0.75609,             0.69541,             0.69741,             0.34798,             0.04338,           0.0055184,                   0,          0.00099835,          0.00099835,          0.00099835
                  28,            0.038286,            0.013073,                   0,             0.76641,             0.68275,             0.70986,             0.37416,            0.041777,           0.0056756,                   0,          0.00099822,          0.00099822,          0.00099822
                  29,            0.037903,            0.013177,                   0,             0.73455,             0.68354,             0.67885,             0.36077,            0.041809,           0.0056499,                   0,          0.00099809,          0.00099809,          0.00099809
                  30,            0.038031,            0.013211,                   0,             0.78955,             0.68562,             0.71025,             0.34311,            0.045126,           0.0052549,                   0,          0.00099795,          0.00099795,          0.00099795
                  31,            0.037697,            0.013168,                   0,             0.74314,             0.69813,             0.70083,             0.38602,            0.040266,           0.0054644,                   0,           0.0009978,           0.0009978,           0.0009978
                  32,            0.037738,              0.0132,                   0,              0.7608,              0.6788,             0.69876,             0.35411,            0.042636,           0.0055121,                   0,          0.00099765,          0.00099765,          0.00099765
                  33,            0.037847,            0.013249,                   0,             0.73289,              0.7144,             0.70353,             0.36344,            0.041721,           0.0054126,                   0,           0.0009975,           0.0009975,           0.0009975
                  34,            0.037418,            0.013249,                   0,              0.7861,              0.7057,             0.72692,             0.38062,             0.04183,           0.0053242,                   0,          0.00099734,          0.00099734,          0.00099734
                  35,            0.037678,            0.013257,                   0,             0.77961,             0.71083,             0.71511,             0.39378,            0.039296,           0.0053568,                   0,          0.00099718,          0.00099718,          0.00099718
                  36,            0.037503,            0.013095,                   0,             0.75688,             0.69778,             0.71162,             0.35446,            0.042135,           0.0055977,                   0,          0.00099701,          0.00099701,          0.00099701
                  37,            0.037406,            0.013174,                   0,             0.75513,             0.72214,             0.72096,             0.39192,            0.041112,           0.0053206,                   0,          0.00099684,          0.00099684,          0.00099684
                  38,            0.037469,             0.01323,                   0,             0.78281,             0.72714,             0.72118,             0.38791,            0.040858,           0.0052562,                   0,          0.00099666,          0.00099666,          0.00099666
                  39,            0.037737,            0.013248,                   0,             0.76149,             0.70807,             0.71818,             0.36721,            0.041602,           0.0055644,                   0,          0.00099648,          0.00099648,          0.00099648
                  40,            0.037219,            0.013136,                   0,             0.78932,             0.72321,             0.73171,             0.38452,            0.040509,           0.0053559,                   0,          0.00099629,          0.00099629,          0.00099629
                  41,               0.037,            0.013028,                   0,             0.78376,             0.69393,             0.71879,             0.38272,            0.041214,           0.0053128,                   0,           0.0009961,           0.0009961,           0.0009961
                  42,             0.03687,            0.012955,                   0,             0.77776,             0.71361,             0.72893,             0.39649,            0.039628,           0.0054097,                   0,           0.0009959,           0.0009959,           0.0009959
                  43,            0.037664,            0.013164,                   0,             0.78029,             0.72209,             0.72629,             0.37618,            0.039949,           0.0053292,                   0,           0.0009957,           0.0009957,           0.0009957
                  44,             0.03695,            0.013187,                   0,             0.80594,             0.70315,              0.7309,             0.39127,            0.038935,           0.0053642,                   0,          0.00099549,          0.00099549,          0.00099549
                  45,            0.036872,            0.012982,                   0,             0.77491,             0.71123,             0.72991,             0.40029,             0.03951,           0.0054165,                   0,          0.00099528,          0.00099528,          0.00099528
                  46,            0.037161,            0.013098,                   0,             0.76094,             0.72864,              0.7188,             0.39314,            0.040554,           0.0053759,                   0,          0.00099506,          0.00099506,          0.00099506
                  47,            0.037281,            0.013092,                   0,             0.78833,             0.71282,             0.73017,             0.38942,            0.040192,           0.0052517,                   0,          0.00099484,          0.00099484,          0.00099484
                  48,            0.036923,            0.012965,                   0,             0.78034,             0.73339,             0.73667,             0.39341,            0.040504,           0.0052029,                   0,          0.00099461,          0.00099461,          0.00099461
                  49,            0.036714,             0.01299,                   0,             0.78123,             0.72607,              0.7382,             0.40606,            0.038815,           0.0052263,                   0,          0.00099438,          0.00099438,          0.00099438
                  50,            0.036567,            0.013094,                   0,             0.80602,              0.7231,               0.743,             0.40494,            0.039278,            0.005194,                   0,          0.00099415,          0.00099415,          0.00099415
                  51,            0.036827,            0.013088,                   0,             0.79611,             0.73497,             0.74514,             0.40309,            0.039452,           0.0053151,                   0,          0.00099391,          0.00099391,          0.00099391
                  52,            0.036395,            0.012956,                   0,             0.77328,             0.73339,             0.73375,             0.40904,            0.038231,           0.0052323,                   0,          0.00099366,          0.00099366,          0.00099366
                  53,            0.036382,            0.012918,                   0,             0.77869,             0.73487,             0.74669,             0.40199,            0.039758,           0.0052112,                   0,          0.00099341,          0.00099341,          0.00099341
                  54,            0.036845,            0.013095,                   0,             0.78737,             0.73339,             0.74399,             0.41893,            0.037897,            0.005201,                   0,          0.00099315,          0.00099315,          0.00099315
                  55,            0.036431,            0.012966,                   0,             0.80984,             0.72389,             0.75005,             0.41183,            0.038972,           0.0051883,                   0,          0.00099289,          0.00099289,          0.00099289
                  56,            0.036969,            0.013072,                   0,             0.79299,             0.73037,             0.74873,             0.41263,            0.039148,           0.0051543,                   0,          0.00099263,          0.00099263,          0.00099263
                  57,             0.03641,            0.012818,                   0,             0.79379,             0.73092,             0.74563,             0.42789,            0.038056,           0.0051513,                   0,          0.00099236,          0.00099236,          0.00099236
                  58,            0.036861,            0.012893,                   0,             0.77936,             0.73655,             0.74048,             0.41538,            0.037879,           0.0051994,                   0,          0.00099208,          0.00099208,          0.00099208
                  59,            0.036607,            0.012943,                   0,             0.80836,             0.73085,             0.73715,             0.42288,            0.037351,           0.0051725,                   0,          0.00099181,          0.00099181,          0.00099181
                  60,            0.036508,            0.013098,                   0,             0.80692,             0.73497,             0.75604,             0.42834,              0.0376,           0.0052238,                   0,          0.00099152,          0.00099152,          0.00099152
                  61,            0.036523,            0.012929,                   0,             0.81423,             0.73168,             0.75403,             0.43156,            0.037719,           0.0051503,                   0,          0.00099123,          0.00099123,          0.00099123
                  62,            0.036496,            0.012879,                   0,             0.80016,             0.74288,             0.75489,             0.43197,            0.037721,           0.0050759,                   0,          0.00099094,          0.00099094,          0.00099094
                  63,            0.036214,            0.013003,                   0,             0.80823,             0.74525,              0.7595,             0.41902,            0.039003,           0.0051061,                   0,          0.00099064,          0.00099064,          0.00099064
                  64,            0.036203,            0.012885,                   0,             0.80787,              0.7352,             0.75012,             0.42901,            0.037605,           0.0051133,                   0,          0.00099034,          0.00099034,          0.00099034
                  65,            0.036176,            0.012876,                   0,             0.80368,             0.75396,             0.75786,             0.43522,            0.036879,           0.0051929,                   0,          0.00099003,          0.00099003,          0.00099003
                  66,            0.036281,            0.012811,                   0,             0.79148,             0.74525,             0.75213,             0.42876,            0.036733,           0.0052117,                   0,          0.00098972,          0.00098972,          0.00098972
                  67,             0.03636,            0.012899,                   0,             0.80418,             0.73497,             0.75526,             0.43671,            0.037007,           0.0051199,                   0,           0.0009894,           0.0009894,           0.0009894
                  68,            0.036616,             0.01275,                   0,             0.79787,             0.74635,             0.75502,             0.43308,             0.03744,           0.0050674,                   0,          0.00098908,          0.00098908,          0.00098908
                  69,            0.036252,            0.012872,                   0,             0.79245,             0.74209,             0.75662,             0.43747,            0.037139,           0.0050972,                   0,          0.00098875,          0.00098875,          0.00098875
                  70,            0.036332,            0.012804,                   0,             0.81155,              0.7393,             0.75608,             0.42601,            0.037606,           0.0051213,                   0,          0.00098842,          0.00098842,          0.00098842
                  71,            0.036251,            0.012802,                   0,             0.80757,              0.7413,             0.75142,             0.42742,             0.03705,           0.0050441,                   0,          0.00098808,          0.00098808,          0.00098808
                  72,            0.036149,             0.01281,                   0,             0.79775,              0.7458,             0.75763,             0.42856,              0.0368,           0.0050863,                   0,          0.00098774,          0.00098774,          0.00098774
                  73,            0.035971,            0.012739,                   0,             0.81424,              0.7413,             0.75544,             0.42427,            0.037593,            0.005109,                   0,          0.00098739,          0.00098739,          0.00098739
                  74,            0.036003,             0.01287,                   0,             0.81864,             0.75079,             0.76147,             0.43452,            0.036806,           0.0051616,                   0,          0.00098704,          0.00098704,          0.00098704
                  75,            0.036016,            0.012783,                   0,              0.8057,             0.75125,               0.761,             0.44672,            0.036368,           0.0051303,                   0,          0.00098668,          0.00098668,          0.00098668
                  76,            0.035937,            0.012896,                   0,             0.81989,             0.74921,             0.76122,             0.44094,            0.037164,           0.0050718,                   0,          0.00098632,          0.00098632,          0.00098632
                  77,            0.036013,            0.012908,                   0,             0.81906,             0.74051,             0.76071,             0.44564,            0.036785,           0.0050614,                   0,          0.00098596,          0.00098596,          0.00098596
                  78,             0.03588,            0.012962,                   0,             0.81597,             0.73972,             0.76153,             0.44693,            0.036792,            0.005047,                   0,          0.00098559,          0.00098559,          0.00098559
                  79,            0.035634,            0.012729,                   0,             0.80763,             0.74733,             0.76376,             0.44574,            0.036851,           0.0050646,                   0,          0.00098521,          0.00098521,          0.00098521
                  80,            0.035508,            0.012674,                   0,             0.81226,             0.74367,             0.76553,             0.44736,             0.03671,           0.0050529,                   0,          0.00098483,          0.00098483,          0.00098483
                  81,            0.035825,            0.012802,                   0,             0.81748,             0.73705,             0.76767,             0.44404,            0.036778,           0.0050723,                   0,          0.00098445,          0.00098445,          0.00098445
                  82,            0.035822,            0.012628,                   0,             0.79905,             0.75817,             0.76471,             0.43999,            0.037107,           0.0050554,                   0,          0.00098406,          0.00098406,          0.00098406
                  83,            0.035697,            0.012977,                   0,             0.80386,             0.75791,             0.76625,             0.44155,            0.037065,           0.0050382,                   0,          0.00098367,          0.00098367,          0.00098367
                  84,            0.035612,             0.01285,                   0,             0.81298,             0.74284,             0.76776,             0.44293,            0.037297,           0.0050356,                   0,          0.00098327,          0.00098327,          0.00098327
