               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11964,            0.029363,            0.055883,           0.0015891,             0.10769,             0.01052,           0.0025329,             0.11997,             0.01018,            0.057811,             0.09703,               3e-05,               3e-05
                   1,             0.11718,            0.029127,            0.054935,            0.001581,             0.12308,           0.0096717,           0.0016711,              0.1183,            0.010437,            0.057547,             0.09307,          6.9931e-05,          6.9931e-05
                   2,             0.11644,            0.030182,            0.054066,           0.0013962,             0.12308,           0.0080787,             0.00167,             0.11643,            0.010758,            0.057169,             0.08911,          0.00010978,          0.00010978
                   3,             0.11352,            0.031015,            0.053323,           0.0012403,             0.12308,           0.0070014,           0.0011802,              0.1138,            0.011182,            0.056662,             0.08515,          0.00014955,          0.00014955
                   4,             0.11179,            0.031332,            0.052282,           0.0013784,             0.15385,           0.0072439,            0.001054,             0.11039,            0.011752,            0.056034,            0.081189,          0.00018925,          0.00018925
                   5,             0.10955,            0.029356,            0.051364,           0.0011229,             0.13846,           0.0043939,          0.00082827,             0.10746,            0.012347,            0.055368,            0.077229,          0.00022886,          0.00022886
                   6,             0.10668,            0.033117,            0.050851,           0.0010245,             0.13846,           0.0044283,          0.00059779,             0.10436,              0.0126,            0.054691,            0.073268,           0.0002684,           0.0002684
                   7,             0.10462,            0.032786,            0.049566,          0.00094987,             0.13846,           0.0061415,          0.00077514,             0.10172,            0.013234,            0.053943,            0.069308,          0.00030785,          0.00030785
                   8,             0.10389,            0.035819,            0.048651,           0.0010127,             0.15385,           0.0047955,          0.00066124,            0.099299,            0.013331,            0.053202,            0.065347,          0.00034723,          0.00034723
                   9,             0.10104,            0.033158,            0.047674,           0.0010536,             0.16923,           0.0094327,           0.0012461,            0.097096,            0.013657,            0.052528,            0.061387,          0.00038653,          0.00038653
                  10,             0.10053,            0.037562,            0.046943,           0.0010152,             0.16923,             0.02175,           0.0026204,            0.095434,            0.013774,            0.051915,            0.057426,          0.00042574,          0.00042574
                  11,            0.097331,            0.035894,            0.046724,           0.0010874,             0.18462,            0.016496,           0.0031915,            0.093746,            0.013858,             0.05095,            0.053465,          0.00046488,          0.00046488
                  12,            0.097491,            0.038214,            0.045029,           0.0023695,             0.21795,            0.031149,           0.0053437,            0.092565,            0.014026,            0.050624,            0.049504,          0.00050394,          0.00050394
                  13,            0.097686,             0.03757,            0.044168,           0.0027267,             0.25128,            0.022907,           0.0043773,            0.091366,            0.014075,            0.050456,            0.045543,          0.00054292,          0.00054292
                  14,               0.101,            0.041859,            0.041893,           0.0028796,             0.28462,            0.025079,           0.0067694,             0.09006,            0.014192,            0.050127,            0.041582,          0.00058182,          0.00058182
                  15,            0.093645,            0.036819,            0.043864,           0.0027659,             0.28462,             0.02907,           0.0085612,            0.088759,            0.014291,            0.049859,            0.037621,          0.00062064,          0.00062064
                  16,            0.093938,            0.040866,            0.042203,             0.21931,             0.20256,            0.028149,            0.010587,            0.086779,            0.014179,            0.049704,            0.033659,          0.00065939,          0.00065939
                  17,            0.089909,            0.035939,            0.042155,             0.43336,            0.092308,            0.045869,            0.015242,            0.086669,            0.014133,            0.049227,            0.029698,          0.00069805,          0.00069805
                  18,            0.091261,            0.039738,            0.039625,             0.81988,            0.030769,            0.036692,            0.014388,            0.086174,            0.013774,            0.048682,            0.025737,          0.00073664,          0.00073664
                  19,            0.086713,             0.03641,            0.038228,             0.82175,            0.030769,            0.037134,            0.013829,            0.084699,            0.013753,            0.048219,            0.021775,          0.00077514,          0.00077514
                  20,            0.087863,            0.042067,            0.037364,             0.82273,              0.0494,            0.039131,            0.015881,            0.083577,            0.013399,            0.047912,            0.017814,          0.00081357,          0.00081357
                  21,            0.088154,             0.04525,            0.035735,             0.62976,             0.10769,            0.043781,            0.016569,            0.082402,            0.013285,            0.047922,            0.013852,          0.00085191,          0.00085191
                  22,            0.086559,            0.045352,            0.035451,             0.63289,            0.092308,            0.049553,            0.029513,            0.080624,            0.013013,            0.048227,           0.0098902,          0.00089018,          0.00089018
                  23,            0.084642,            0.040346,            0.034588,              0.6408,             0.10769,            0.058948,             0.02903,            0.079769,            0.012747,            0.048972,           0.0059284,          0.00092837,          0.00092837
                  24,            0.083247,            0.036732,            0.035827,             0.83919,            0.092308,            0.064261,            0.028037,            0.078465,            0.012885,            0.049694,           0.0019665,          0.00096648,          0.00096648
                  25,            0.081062,            0.033668,            0.035655,             0.85556,            0.076923,            0.073075,            0.025897,            0.078003,            0.013534,            0.050289,          0.00097525,          0.00097525,          0.00097525
                  26,            0.081394,            0.036491,            0.033362,             0.85834,            0.092308,            0.068764,            0.026309,            0.077562,             0.01443,            0.050567,          0.00097525,          0.00097525,          0.00097525
                  27,             0.08008,            0.030142,            0.033009,             0.87879,            0.092308,            0.085579,            0.038934,            0.076132,            0.015414,            0.050848,          0.00097426,          0.00097426,          0.00097426
                  28,            0.079721,            0.033973,            0.031976,             0.85045,             0.13846,            0.077028,            0.034295,            0.077241,            0.016034,            0.050964,          0.00097327,          0.00097327,          0.00097327
                  29,            0.074399,            0.029756,               0.035,             0.86059,            0.092308,            0.075587,            0.028301,            0.077647,            0.016098,             0.05074,          0.00097228,          0.00097228,          0.00097228
                  30,            0.079701,            0.034692,            0.030979,             0.88021,            0.092729,            0.095232,            0.042178,            0.075945,            0.015554,            0.050132,          0.00097129,          0.00097129,          0.00097129
                  31,            0.075661,            0.031877,            0.034116,             0.88886,             0.10769,             0.11007,            0.050564,            0.074969,            0.014636,            0.049049,           0.0009703,           0.0009703,           0.0009703
                  32,            0.073724,            0.031476,            0.032558,             0.88583,             0.13846,             0.15273,            0.069094,            0.073546,            0.013743,            0.047933,          0.00096931,          0.00096931,          0.00096931
